study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Kusumaningtyas_et_al_2018,Berau,B1,2013,5,24,2.42347,118.00072,NA,estuarine,field observation,forested,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Berau,B2,2013,5,24,2.39825,118.01372,NA,estuarine,field observation,forested,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Berau,B3,2013,5,25,2.3,118.089,NA,estuarine,field observation,forested,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Berau,B4,2013,5,26,2.19119,117.98017,NA,estuarine,field observation,forested,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,2016,12,26,-5.85578,106.60097,NA,saline,field observation,forested,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,2016,12,26,-5.85769,106.60175,NA,saline,field observation,forested,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C24,2016,11,26,-7.65858,108.83944,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,2016,12,11,-7.67747,108.84111,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,2016,11,27,-7.69103,108.84653,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,2016,11,26,-7.67964,108.81889,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,2016,12,12,-7.70969,108.88369,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,2016,12,11,-7.66731,108.86686,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,2016,11,27,-7.69103,108.84653,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,2016,12,11,-7.72961,108.98625,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E40,2016,12,4,-7.6755,109.0005,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,2016,12,4,-7.71125,108.92992,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E46,2016,12,3,-7.69653,108.95178,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E47,2016,12,3,-7.71831,108.95058,NA,estuarine,field observation,forested to shrub,field observation,mangrove,core depth limited by length of corer
