study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,delta_c13
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,0,5,1.12,0.0263,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.77
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,5,10,1.04,0.0446,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.86
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,10,15,1.14,0.0482,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.01
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,15,20,1.45,0.0507,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.19
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,20,25,2.38,0.0298,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.06
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,25,30,1.82,0.0351,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.58
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,30,35,1.29,0.0508,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,35,40,1.09,0.044000000000000004,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.94
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,40,45,1.51,0.0467,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.82
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,45,50,0.89,0.0492,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.93
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,50,55.00000000000001,1.25,0.0436,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.98
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,55.00000000000001,60,1.32,0.0292,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.74
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,60,65,0.75,0.0447,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.81
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,65,70,1.3,0.052300000000000006,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.79
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,70,75,1.65,0.040999999999999995,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.75
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,75,80,2,0.0126,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.9
Kusumaningtyas_et_al_2018,Berau,B1,single set of methods,80,85,2.08,0.0121,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,0,5,1.29,0.018600000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.83
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,5,10,0.42,0.0765,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.99
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,10,15,0.91,0.0553,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.15
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,15,20,0.9,0.0508,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.07
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,20,25,1.35,0.0475,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.04
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,25,30,1.08,0.0493,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.96
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,30,35,0.99,0.0704,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.06
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,35,40,1.06,0.0709,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.71
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,40,45,0.69,0.062400000000000004,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.77
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,45,50,0.92,0.0394,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.06
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,50,55.00000000000001,0.61,0.0713,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.69
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,55.00000000000001,60,0.62,0.0758,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.81
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,60,65,0.56,0.0776,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.57
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,65,70,1.02,0.0645,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.02
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,70,75,0.89,0.0507,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.79
Kusumaningtyas_et_al_2018,Berau,B3,single set of methods,75,80,1.02,0.040999999999999995,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.65
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,0,5,1.08,0.021,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.26
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,5,10,1.1,0.026099999999999998,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.44
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,10,15,1.38,0.020099999999999996,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.32
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,15,20,1.28,0.023399999999999997,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.26
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,20,25,2.39,0.0132,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.96
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,25,30,1.42,0.0187,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.18
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,30,35,2.92,0.0184,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.98
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,35,40,1.59,0.0216,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.78
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,40,45,1.54,0.025,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.79
