study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,volume,pages,journal
Nolte_2020,Nolte_2020_data,primary dataset,Misc,10.25573/SERC.11958996,https://smithsonian.figshare.com/articles/Dataset_Does_livestock_grazing_affect_sediment_deposition_and_accretion_rates_in_salt_marshes_/11958996,Stefanie Nolte,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",Dataset: Does livestock grazing affect sediment deposition and accretion rates in salt marshes?,The Smithsonian Institution,2020,CC BY 4.0,NA,NA,NA,NA
Nolte_2020,Nolte_et_al_2013_article,associated source,Article,10.1016/j.ecss.2013.10.026,https://doi.org/10.1016/j.ecss.2013.10.026,Stefanie Nolte and Frauke Müller and Mark Schuerch and Antonia Wanner and Peter Esselink and Jan P. Bakker and Kai Jensen,NA,Does livestock grazing affect sediment deposition and accretion rates in salt marshes?,Elsevier {BV},2013,NA,dec,135,296--305,"Estuarine, Coastal and Shelf Science"
