study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,age,method_id,cs137_unit,pb210_unit,ra226_unit
Nolte_2020,DSK,DSK_grazed_landward,0,1,0.518498518,0.08231974262,6.788,0.4466,68.75,6.305,24.665,1.286,44.085,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,9,10,0.598879985,0.0643611622,7.397,0.37,28.04,5.993,21.939999999999998,1.6175000000000002,6.100000000000001,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,10,11,0.684987638,0.07002123376,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA,NA
Nolte_2020,DSK,DSK_grazed_landward,11,12,0.561900633,0.07568130533,20.14,1.135,37.93,6.904,25.619999999999997,1.8315,12.310000000000002,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,12,13,0.572506278,0.07957606748,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA,NA
Nolte_2020,DSK,DSK_grazed_landward,13,14,0.532051769,0.08347082963,119,3.556,51.59,9.449,32.765,2.5,18.825000000000003,24,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,14,15,0.63266318,0.07028950018999999,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA,NA
Nolte_2020,DSK,DSK_grazed_landward,15,16,0.627556934,0.05710817074999999,30.36,1.503,36.81,8.037,30.314999999999998,2.2415000000000003,6.4950000000000045,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,16,17,0.621903658,0.06241839892,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA,NA
Nolte_2020,DSK,DSK_grazed_landward,17,18,0.592001763,0.06772862709,18.41,1.143,49.86,7.822,28.45,2.045,21.41,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,18,19,0.6610769,0.04739277089,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA,NA
Nolte_2020,DSK,DSK_grazed_landward,1,2,0.43750013,0.14322423969999998,6.788,0.4466,68.75,6.305,24.665,1.286,44.085,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,19,20,0.720237336,0.0270569147,9.125,0.9378,28.84,6.691,23.240000000000002,1.783,5.599999999999998,NA,single set of methods,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Nolte_2020,DSK,DSK_grazed_landward,20,21,0.696773733,0.03552295278,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,NA,NA,NA
