"[Abbreviations: ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram]",,,
Core ID,"Depth
 (cm)","Total Pb-210 
(dpm/g)","Total Pb-210 Error 
(+/- dpm/g)"
16CCT03-GB230M,0-1,1.06,0.033
16CCT03-GB230M,1-2,0.98,0.032
16CCT03-GB230M,2-3,0.88,0.029
16CCT03-GB230M,2-3a,0.86,0.029
16CCT03-GB230M,3-4,0.94,0.031
16CCT03-GB230M,4-5,1.04,0.033
16CCT03-GB230M,5-6,1.10,0.035
16CCT03-GB230M,6-7,1.14,0.036
16CCT03-GB230M,7-8,1.17,0.036
16CCT03-GB230M,8-9,1.20,0.047
16CCT03-GB230M,8-9a,1.20,0.037
16CCT03-GB230M,9-10,1.23,0.039
16CCT03-GB230M,10-11,1.09,0.035
16CCT03-GB230M,11-12,1.02,0.033
16CCT03-GB230M,12-13,0.94,0.031
16CCT03-GB230M,13-14,0.91,0.030
16CCT03-GB230M,13-14a,0.89,0.029
16CCT03-GB230M,14-15,0.84,0.029
16CCT03-GB230M,15-16,0.83,0.028
16CCT03-GB230M,16-17,0.70,0.026
16CCT03-GB230M,17-18,0.63,0.022
16CCT03-GB230M,17-18a,0.65,0.023
16CCT03-GB230M,18-19,0.54,0.021
16CCT03-GB230M,19-20,0.58,0.022
16CCT03-GB230M,21-22,0.35,0.016
16CCT03-GB230M,23-24,0.32,0.017
16CCT03-GB230M,25-26,0.32,0.017
16CCT03-GB230M,27-28,0.34,0.016
16CCT03-GB230M,27-28a,0.35,0.015
16CCT03-GB230M,29-30,0.42,0.018
,,,
16CCT03-GB231M,0-1,0.35,0.015
16CCT03-GB231M,1-2,0.50,0.020
16CCT03-GB231M,2-3,0.59,0.022
16CCT03-GB231M,3-4,0.61,0.022
16CCT03-GB231M,4-5,0.59,0.022
16CCT03-GB231M,5-6,0.69,0.025
16CCT03-GB231M,5-6a,0.65,0.024
16CCT03-GB231M,6-7,0.62,0.023
16CCT03-GB231M,7-8,0.60,0.023
16CCT03-GB231M,8-9,0.62,0.024
16CCT03-GB231M,9-10,0.63,0.022
16CCT03-GB231M,10-11,0.73,0.025
16CCT03-GB231M,10-11a,0.73,0.025
16CCT03-GB231M,11-12,0.54,0.020
