"[Abbreviations: ID, identification; NAD83, North American Datum of 1983]",,,
Site ID,"Date & Time 
Collected",Latitude (NAD83),Longitude (NAD83)
16CCT04-GB300,08/03/2016 10:41,30.382,-88.39803
16CCT04-GB301,08/03/2016 10:53,30.38213,-88.39794
16CCT04-GB302,08/03/2016 10:57,30.38217,-88.39818
16CCT04-GB303,08/03/2016 11:01,30.3825,-88.39833
16CCT04-GB304,08/03/2016 12:12,30.37054,-88.39778
16CCT04-GB305,08/03/2016 12:19,30.37039,-88.39805
16CCT04-GB306,08/03/2016 12:27,30.37032,-88.39817
16CCT04-GB307,08/03/2016 12:29,30.37023,-88.39804
16CCT04-GB308,08/03/2016 12:41,30.36996,-88.39793
16CCT04-GB309,08/03/2016 12:46,30.36928,-88.39783
16CCT04-GB310,08/03/2016 13:08,30.36791,-88.39778
16CCT04-GB311,08/03/2016 13:13,30.36795,-88.39797
16CCT04-GB312,08/03/2016 13:17,30.36801,-88.39807
16CCT04-GB313,08/03/2016 13:19,30.36772,-88.39787
16CCT04-GB314,08/03/2016 13:23,30.36753,-88.39775
16CCT04-GB315,08/03/2016 13:27,30.3662,-88.39714
16CCT04-GB316,08/03/2016 13:32,30.3662,-88.39734
16CCT04-GB317,08/03/2016 13:40,30.37777,-88.41087
16CCT04-GB318,08/03/2016 13:42,30.3778,-88.41107
16CCT04-GB319,08/03/2016 13:45,30.37782,-88.41124
16CCT04-GB320,08/03/2016 13:47,30.37791,-88.4113
