Saltmarsh_ID,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture
Aberlady Bay,2019,56.022622,-2.869309,NT4591281420,345912,681420,Syringe,0-10,1.35,6.56,1.25,Sandy
Aberlady Bay,2019,56.022698,-2.869026,NT4593081428,345930,681428,Syringe,0-10,1.43,4.79,1.85,Sandy
Aberlady Bay,2019,56.023257,-2.868471,NT4596681490,345966,681490,Syringe,0-10,1.29,11.97,1.9,Sandy
Aberlady Bay,2019,56.02342,-2.868163,NT4598581508,345985,681508,Syringe,0-10,1.4,12.52,2.55,Sandy
Aberlady Bay,2019,56.023522,-2.867744,NT4601181519,346011,681519,Syringe,0-10,1.23,11.52,3.39,Sandy
Annan,2019,54.9708,-3.2647,NY1913864752,319138,564752,Syringe,0-10,1.14,9.39,7.17,Sandy
Annan,2019,54.9698,-3.2639,NY1918764640,319187,564640,Syringe,0-10,1.05,8.66,7.07,Sandy
Annan,2019,54.9712,-3.2654,NY1909464797,319094,564797,Syringe,0-10,0.4,9.19,20.6,Not Sandy
Annan,2019,54.9711,-3.2654,NY1909464786,319094,564786,Syringe,0-10,0.54,10.02,22.1,Not Sandy
Annan,2019,54.9697,-3.2633,NY1922664628,319226,564628,Syringe,0-10,1.4,6.49,2.19,Sandy
Ardelve,2019,57.28130278,-5.533855556,NG8709726716,187097,826716,Syringe,0-10,0.25,13.82,44.1,Not Sandy
Ardelve,2019,57.2812,-5.533833333,NG8709826704,187098,826704,Syringe,0-10,0.24,18.23,36.49,Not Sandy
Ardelve,2019,57.28144722,-5.53365,NG8711026731,187110,826731,Syringe,0-10,0.16,29.36,58.1,Not Sandy
Ardelve,2019,57.28132222,-5.533666667,NG8710826717,187108,826717,Syringe,0-10,0.17,16.13,52.88,Not Sandy
Ardelve,2019,57.28148611,-5.533491667,NG8712026735,187120,826735,Syringe,0-10,0.18,22.83,63.15,Not Sandy
Ardmore,2019,55.973184,-4.6924957,NS3207578850,232075,678850,Syringe,0-10,0.37,23.35,30.54,Not Sandy
Ardmore,2019,55.973241,-4.6924737,NS3207778856,232077,678856,Syringe,0-10,0.52,5.24,16.41,Not Sandy
Ardmore,2019,55.973103,-4.6925247,NS3207378841,232073,678841,Syringe,0-10,0.22,21.69,57.93,Not Sandy
Ardmore,2019,55.972979,-4.6925622,NS3207078827,232070,678827,Syringe,0-10,0.26,17.85,36.02,Not Sandy
Ardmore,2019,55.97288,-4.6925864,NS3206878816,232068,678816,Syringe,0-10,0.23,16.95,52.48,Not Sandy
Belhaven,2018,56.00373111,-2.6013844,NT6259479140,362594,679140,Gouge,0-10,0.56,7.18,NA,Not Sandy
Belhaven,2018,56.00373111,-2.6013844,NT6259479140,362594,679140,Gouge,0-10,0.45,9.2,NA,Not Sandy
Belhaven,2018,56.00373111,-2.6013844,NT6259479140,362594,679140,Gouge,0-10,0.28,8.51,NA,Not Sandy
Belhaven,2018,56.00355049,-2.60121371,NT6260579119,362605,679119,Gouge,0-10,0.28,8.32,NA,Not Sandy
Belhaven,2018,56.00355049,-2.60121371,NT6260579119,362605,679119,Gouge,0-10,0.55,7.93,NA,Not Sandy
Belhaven,2018,56.00355049,-2.60121371,NT6260579119,362605,679119,Gouge,0-10,0.54,7.4,NA,Not Sandy
Belhaven,2018,56.00337505,-2.60114122,NT6260979100,362609,679100,Gouge,0-10,0.27,13.26,NA,Not Sandy
Belhaven,2018,56.00337505,-2.60114122,NT6260979100,362609,679100,Gouge,0-10,0.3,9.73,NA,Not Sandy
Belhaven,2018,56.00337505,-2.60114122,NT6260979100,362609,679100,Gouge,0-10,0.61,8.15,NA,Not Sandy
Belhaven,2018,56.00305859,-2.60098691,NT6261879065,362618,679065,Gouge,0-10,0.43,7.91,NA,Not Sandy
Belhaven,2018,56.00305859,-2.60098691,NT6261879065,362618,679065,Gouge,0-10,0.47,7.76,NA,Not Sandy
Belhaven,2018,56.00305859,-2.60098691,NT6261879065,362618,679065,Gouge,0-10,0.7,6.77,NA,Not Sandy
Belhaven,2018,56.00283584,-2.600737,NT6263479040,362634,679040,Gouge,0-10,0.3,12.93,NA,Not Sandy
Belhaven,2018,56.00283584,-2.600737,NT6263479040,362634,679040,Gouge,0-10,0.35,11.23,NA,Not Sandy
Belhaven,2018,56.00283584,-2.600737,NT6263479040,362634,679040,Gouge,0-10,0.77,7.02,NA,Not Sandy
Belhaven,2018,56.00241896,-2.60026555,NT6266378993,362663,678993,Gouge,0-10,0.51,10.02,NA,Not Sandy
Belhaven,2018,56.00241896,-2.60026555,NT6266378993,362663,678993,Gouge,0-10,0.44,12.29,NA,Not Sandy
Belhaven,2018,56.00241896,-2.60026555,NT6266378993,362663,678993,Gouge,0-10,0.51,8.89,NA,Not Sandy
Belhaven,2018,56.00325372,-2.59876978,NT6275779085,362757,679085,Gouge,0-10,0.57,NA,NA,Not Sandy
Belhaven,2018,56.00319275,-2.5989909,NT6274379078,362743,679078,Gouge,0-10,0.46,NA,NA,Not Sandy
Belhaven,2018,56.00314484,-2.59941866,NT6271679073,362716,679073,Gouge,0-10,0.51,NA,NA,Not Sandy
Belhaven,2018,56.00309173,-2.59983048,NT6269079068,362690,679068,Gouge,0-10,0.31,NA,NA,Not Sandy
Belhaven,2018,56.00307417,-2.60026727,NT6266379066,362663,679066,Gouge,0-10,0.19,NA,NA,Not Sandy
Belhaven,2018,56.00307417,-2.60026727,NT6266379066,362663,679066,Gouge,0-10,0.71,NA,NA,Not Sandy
Belhaven,2018,56.00310657,-2.60085342,NT6262779070,362627,679070,Gouge,0-10,0.45,NA,NA,Not Sandy
Belhaven,2018,56.00310657,-2.60085342,NT6262779070,362627,679070,Gouge,0-10,0.94,NA,NA,Not Sandy
Belhaven,2018,56.00316974,-2.60141202,NT6259279077,362592,679077,Gouge,0-10,0.28,NA,NA,Not Sandy
Belhaven,2018,56.00316974,-2.60141202,NT6259279077,362592,679077,Gouge,0-10,0.7,NA,NA,Not Sandy
Belhaven,2018,56.00312718,-2.60187292,NT6256379073,362563,679073,Gouge,0-10,0.35,NA,NA,Not Sandy
Belhaven,2018,56.00312718,-2.60187292,NT6256379073,362563,679073,Gouge,0-10,0.35,NA,NA,Not Sandy
Belhaven,2018,56.00309109,-2.6020246,NT6255479069,362554,679069,Gouge,0-10,0.2,NA,NA,Not Sandy
Belhaven,2018,56.00388108,-2.60157871,NT6258279156,362582,679156,Gouge,0-10,0.32,NA,NA,Not Sandy
