study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,14,cm,0.451,Radabaugh et al. 2017,0.19,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,12.1,cm,0.451,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,13.8,cm,0.451,Radabaugh et al. 2017,0.16,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,10,cm,0.451,Radabaugh et al. 2017,0.12,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,14,cm,0.451,Radabaugh et al. 2017,0.15,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9.8,cm,0.451,Radabaugh et al. 2017,0.1,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,12,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,13,cm,0.451,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,12,cm,0.451,Radabaugh et al. 2017,0.18,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,13.6,cm,0.451,Radabaugh et al. 2017,0.19,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,12.4,cm,0.451,Radabaugh et al. 2017,0.22,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,13,cm,0.451,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,11,cm,0.451,Radabaugh et al. 2017,0.2,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,12.8,cm,0.451,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,11,cm,0.451,Radabaugh et al. 2017,0.13,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,11.7,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,10.3,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,10.5,cm,0.451,Radabaugh et al. 2017,0.17,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,13,cm,0.451,Radabaugh et al. 2017,0.18,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,10.5,cm,0.451,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,11.5,cm,0.451,Radabaugh et al. 2017,0.15,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,10,cm,0.451,Radabaugh et al. 2017,0.11,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9,cm,0.451,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8.7,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.1,cm,0.451,Radabaugh et al. 2017,0.13,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8.1,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8.8,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.1,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.5,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9.4,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,11.5,cm,0.451,Radabaugh et al. 2017,0.27,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8.5,cm,0.451,Radabaugh et al. 2017,0.1,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,11,cm,0.451,Radabaugh et al. 2017,0.17,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9.5,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.7,cm,0.451,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.7,cm,0.451,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9,cm,0.451,Radabaugh et al. 2017,0.11,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.5,cm,0.451,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.3,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.2,cm,0.451,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.7,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.2,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,8,cm,0.451,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.5,cm,0.451,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.7,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6,cm,0.451,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.3,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,9.7,cm,0.451,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.1,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.8,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.1,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.7,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.3,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.6,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.7,cm,0.451,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.5,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.7,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7,cm,0.451,Radabaugh et al. 2017,0.08,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.5,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.6,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,7.3,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.3,cm,0.451,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.6,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,6.6,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5,cm,0.451,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.8,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,4.4,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.3,cm,0.451,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Monanthochloe,littoralis,1,5.4,cm,0.451,Radabaugh et al. 2017,0.07,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,27.6,cm,0.407,Radabaugh et al. 2017,0.7,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,27.9,cm,0.407,Radabaugh et al. 2017,0.76,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,26.5,cm,0.407,Radabaugh et al. 2017,0.63,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,26.5,cm,0.407,Radabaugh et al. 2017,0.99,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,28.2,cm,0.407,Radabaugh et al. 2017,0.73,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,26,cm,0.407,Radabaugh et al. 2017,0.72,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,28.7,cm,0.407,Radabaugh et al. 2017,0.93,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,28.1,cm,0.407,Radabaugh et al. 2017,0.57,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,25.6,cm,0.407,Radabaugh et al. 2017,0.71,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,25.8,cm,0.407,Radabaugh et al. 2017,0.61,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,26.7,cm,0.407,Radabaugh et al. 2017,0.49,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,25.6,cm,0.407,Radabaugh et al. 2017,0.43,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,26.5,cm,0.407,Radabaugh et al. 2017,0.79,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,25.1,cm,0.407,Radabaugh et al. 2017,0.6,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,25.3,cm,0.407,Radabaugh et al. 2017,0.75,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,25,cm,0.407,Radabaugh et al. 2017,0.52,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,24,cm,0.407,Radabaugh et al. 2017,0.5,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,24.2,cm,0.407,Radabaugh et al. 2017,0.52,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,24.3,cm,0.407,Radabaugh et al. 2017,0.59,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,24,cm,0.407,Radabaugh et al. 2017,0.4,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,23.7,cm,0.407,Radabaugh et al. 2017,0.52,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,24,cm,0.407,Radabaugh et al. 2017,0.53,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,23.7,cm,0.407,Radabaugh et al. 2017,0.48,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,23.1,cm,0.407,Radabaugh et al. 2017,1.03,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,23.1,cm,0.407,Radabaugh et al. 2017,0.52,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,23.5,cm,0.407,Radabaugh et al. 2017,0.54,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,21.5,cm,0.407,Radabaugh et al. 2017,0.26,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,22.5,cm,0.407,Radabaugh et al. 2017,0.59,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,20.5,cm,0.407,Radabaugh et al. 2017,0.53,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,22.2,cm,0.407,Radabaugh et al. 2017,0.58,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,22.7,cm,0.407,Radabaugh et al. 2017,0.4,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,21.7,cm,0.407,Radabaugh et al. 2017,0.38,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,21,cm,0.407,Radabaugh et al. 2017,0.33,g,yes
