study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_sample_mass,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type
Veldkornet_2016_PhD,Veldkornet_2016_PhD,other shallow corer,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,10,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
Veldkornet_et_al_2016,Veldkornet_et_al_2016,none specified,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,10,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
Bezuidenhout_et_al_2011,Bezuidenhout_et_al_2011,none specified,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,NA,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
Rajkaran_and_Adams_2011,Rajkaran_and_Adams_2011,none specified,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,NA,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
Hoppe-Speer_et_al_2013,Hoppe-Speer_et_al_2013,gouge auger,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,NA,not specified,600,8,NA,not specified,NA,NA,NA,NA,NA
Mbense_et_al_2016,Mbense_et_al_2016,gouge auger,roots and rhizomes separated,NA,not specified,NA,NA,NA,NA,not specified,600,8,15,not specified,NA,NA,NA,NA,NA
Verle_2013,Verle_2013,other shallow corer,roots and rhizomes included,sediment not sieved,not specified,105,24,NA,NA,not specified,NA,5,NA,not specified,NA,NA,NA,NA,NA
Adams_and_Human_2016,Adams_and_Human_2016,gouge auger,roots and rhizomes separated,sediment not sieved,not specified,100,48,NA,15,not specified,600,8,10,not specified,NA,NA,NA,NA,NA
Bekker_2015,Bekker_2015,none specified,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Brown_and_Rajkaran_2020,Brown_and_Rajkaran_2020,none specified,roots and rhizomes included,sediment not sieved,not specified,65,48,NA,10,not specified,550,5,NA,not specified,NA,NA,NA,NA,NA
Peer_et_al_2018,Peer_et_al_2018,none specified,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Johnson_et_al_2020,Johnson_et_al_2020,russian corer,roots and rhizomes included,sediment not sieved,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Els_2019,Els_2019,russian corer,roots and rhizomes included,sediment not sieved,not specified,60,72,NA,NA,not specified,NA,NA,NA,not specified,measured,TRUE,direct acid treatment,EA,NA
Vromans_2010,Vromans_2010,other shallow corer,roots and rhizomes separated,sediment not sieved,not specified,100,48,NA,10,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
Hoppe-Speer_et_al_2013,Hoppe-Speer_et_al_2013,none specified,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,10,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
Geldenhyus_et_al_2016,Geldenhyus_et_al_2016,none specified,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Rautenbach_2015,Rautenbach_2015,other shallow corer,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,10,not specified,500,8,NA,not specified,NA,NA,NA,NA,NA
Lemley_2018,Lemley_2018,other shallow corer,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Wooldridge_et_al_2016,Wooldridge_et_al_2016,none specified,roots and rhizomes included,sediment not sieved,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Matabane_2018,Matabane_2018,none specified,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,10,not specified,550,12,NA,not specified,NA,NA,NA,NA,NA
Els_2017,Els_2017,other shallow corer,roots and rhizomes included,sediment not sieved,not specified,60,72,NA,NA,not specified,450,8,NA,time approximate,NA,NA,NA,local regression,NA
Mbense_2019,Mbense_2019,none specified,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,NA
Raw_et_al_2019,Raw_et_al_2019,russian corer,roots and rhizomes included,sediment not sieved,not specified,100,72,NA,NA,not specified,550,6,NA,not specified,modeled,NA,NA,local regression,NA
Human_et_al_2022,Human_et_al_2022,russian corer,roots and rhizomes included,NA,corer limits compaction,NA,72,30,NA,not specified,NA,NA,NA,not specified,measured,TRUE,direct acid treatment,EA,organic carbon
Naidoo_2014,Naidoo_2014,other shallow corer,roots and rhizomes included,sediment not sieved,not specified,100,48,NA,10,not specified,550,8,NA,not specified,NA,NA,NA,NA,NA
