study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-1-core-1,Adams_and_Human_2016,50,55,NA,0.01707007305
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-1-core-1,Adams_and_Human_2016,0,5,NA,0.03052698784
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-2-core-1,Adams_and_Human_2016,50,55,NA,0.09274233649
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-2-core-1,Adams_and_Human_2016,0,5,NA,0.16420994400000002
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-3-core-1,Adams_and_Human_2016,50,55,NA,0.09132384843
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-3-core-1,Adams_and_Human_2016,0,5,NA,0.1532893521
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-4-core-1,Adams_and_Human_2016,50,55,NA,0.04640211139
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Black pipe-4-core-1,Adams_and_Human_2016,0,5,NA,0.1622411398
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-1-core-1,Adams_and_Human_2016,50,55,NA,0.08749645064999999
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-1-core-1,Adams_and_Human_2016,0,5,NA,0.08570778676
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-2-core-1,Adams_and_Human_2016,50,55,NA,0.09044320173
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-2-core-1,Adams_and_Human_2016,0,5,NA,0.0870633289
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-3-core-1,Adams_and_Human_2016,50,55,NA,0.09151412188
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-3-core-1,Adams_and_Human_2016,0,5,NA,0.1008475283
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-4-core-1,Adams_and_Human_2016,50,55,NA,NA
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc center-4-core-1,Adams_and_Human_2016,0,5,NA,0.1020710158
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-1-core-1,Adams_and_Human_2016,50,55,NA,0.08749645064999999
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-1-core-1,Adams_and_Human_2016,0,5,NA,0.1152420946
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-2-core-1,Adams_and_Human_2016,50,55,NA,0.09044320173
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-2-core-1,Adams_and_Human_2016,0,5,NA,0.1128894578
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-3-core-1,Adams_and_Human_2016,50,55,NA,0.09151412188
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-3-core-1,Adams_and_Human_2016,0,5,NA,0.1131682903
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-4-core-1,Adams_and_Human_2016,50,55,NA,NA
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Back channel-4-core-1,Adams_and_Human_2016,0,5,NA,0.1112513618
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-1-core-1,Adams_and_Human_2016,50,55,NA,0.06868520792
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-1-core-1,Adams_and_Human_2016,0,5,NA,0.08243159103
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-2-core-1,Adams_and_Human_2016,50,55,NA,0.05320140259
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-2-core-1,Adams_and_Human_2016,0,5,NA,0.09879644674
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-3-core-1,Adams_and_Human_2016,50,55,NA,0.07746317965
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-3-core-1,Adams_and_Human_2016,0,5,NA,0.09487620921
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-4-core-1,Adams_and_Human_2016,50,55,NA,NA
Adams_and_Human_2016,St Lucia,Adams_and_Human_2016_St Lucia-Croc memorial-4-core-1,Adams_and_Human_2016,0,5,NA,NA
Bekker_2015,Knysna,Knysna-Bassia diffusa-Intertidal-surface sample-1,Bekker_2015,0,5,NA,0.04832736621999999
Bekker_2015,Knysna,Knysna-Bassia diffusa-Intertidal-surface sample-2,Bekker_2015,0,5,NA,0.1198145147
Bekker_2015,Knysna,Knysna-Bassia diffusa-Intertidal-surface sample-3,Bekker_2015,0,5,NA,0.1486095274
Bekker_2015,Knysna,Knysna-Bassia diffusa-Intertidal-surface sample-4,Bekker_2015,0,5,NA,0.5451295371
Bekker_2015,Knysna,Knysna-Disphyma crassifolium-Supratidal-surface sample-1,Bekker_2015,0,5,NA,0.03574371999
Bekker_2015,Knysna,Knysna-Disphyma crassifolium-Supratidal-surface sample-2,Bekker_2015,0,5,NA,0.04495238857
Bekker_2015,Knysna,Knysna-Disphyma crassifolium-Supratidal-surface sample-3,Bekker_2015,0,5,NA,0.04521962438
Bekker_2015,Knysna,Knysna-Disphyma crassifolium-Supratidal-surface sample-4,Bekker_2015,0,5,NA,0.07339264434000001
Bekker_2015,Knysna,Knysna-Disphyma crassifolium-Supratidal-surface sample-5,Bekker_2015,0,5,NA,0.227743521
Bekker_2015,Knysna,Knysna-Salicornia tegetaria-Intertidal-surface sample-1,Bekker_2015,0,5,NA,0.08482496622999999
Bekker_2015,Knysna,Knysna-Salicornia tegetaria-Intertidal-surface sample-2,Bekker_2015,0,5,NA,0.1877012271
Bekker_2015,Knysna,Knysna-Salicornia tegetaria-Intertidal-surface sample-3,Bekker_2015,0,5,NA,0.2325956469
Bekker_2015,Knysna,Knysna-Spartina maritima-Intertidal-surface sample-1,Bekker_2015,0,5,NA,0.02342370287
Bekker_2015,Knysna,Knysna-Spartina maritima-Intertidal-surface sample-2,Bekker_2015,0,5,NA,0.02868938236
Bekker_2015,Knysna,Knysna-Spartina maritima-Intertidal-surface sample-3,Bekker_2015,0,5,NA,0.02923832383999999
Bekker_2015,Knysna,Knysna-Spartina maritima-Intertidal-surface sample-4,Bekker_2015,0,5,NA,0.05186580288
Bekker_2015,Knysna,Knysna-Tri_bul-Intertidal-surface sample-1,Bekker_2015,0,5,NA,0.02566033812
Bekker_2015,Knysna,Knysna-Tri_bul-Intertidal-surface sample-2,Bekker_2015,0,5,NA,0.07507529007
Bekker_2015,Knysna,Knysna-Tri_bul-Intertidal-surface sample-3,Bekker_2015,0,5,NA,0.1098990446
Bekker_2015,Knysna,Knysna-Tri_bul-Intertidal-surface sample-4,Bekker_2015,0,5,NA,0.3391118978
Bekker_2015,Knysna,Knysna-Spartina maritima-Intertidal-surface sample-5,Bekker_2015,0,5,NA,0.02329627814
Bekker_2015,Knysna,Knysna-Zostera capensis-Submerged-surface sample-1,Bekker_2015,0,5,NA,0.01573514410999999
Bekker_2015,Knysna,Knysna-Zostera capensis-Submerged-surface sample-2,Bekker_2015,0,5,NA,0.0206884439
Bekker_2015,Knysna,Knysna-Zostera capensis-Submerged-surface sample-3,Bekker_2015,0,5,NA,0.02365637683
Bekker_2015,Knysna,Knysna-Zostera capensis-Submerged-surface sample-4,Bekker_2015,0,5,NA,0.02433742675
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 1-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 1-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 1-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 1-surface sample 4,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 2-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 2-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 2-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Seekoei,Seekoei-Sporobolus virginicus-Winter-Transect 2-surface sample 4,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 1 Zone b-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.01128251626
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 1 Zone b-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,0.01592631342
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 1 Zone b-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,0.0193531389
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 2 Zone b-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.01024155088
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 2 Zone b-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,0.01680200386
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 2 Zone b-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,0.02739025696
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Winter-Transect 1 Zone b-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.01892787259
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Winter-Transect 1 Zone b-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,0.02836597463
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Winter-Transect 1 Zone b-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Winter-Transect 2 Zone b-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.02925066002
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Winter-Transect 2 Zone b-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,0.03574124866
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Winter-Transect 2 Zone b-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Summer-Transect 1 Zone c-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.00801996696
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Summer-Transect 1 Zone c-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,0.00841025281
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Summer-Transect 1 Zone c-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,0.01692380888
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Summer-Transect 2 Zone c-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.00621887517
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Summer-Transect 2 Zone c-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,0.01438368266
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Summer-Transect 2 Zone c-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,0.02052421894
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Winter-Transect 1 Zone c-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,0.01210420665
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Winter-Transect 1 Zone c-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Winter-Transect 1 Zone c-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Winter-Transect 2 Zone c-surface sample 1,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Winter-Transect 2 Zone c-surface sample 2,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Trig_sp-Winter-Transect 2 Zone c-surface sample 3,Bezuidenhout_et_al_2011,0,5,NA,NA
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 1 Zone b-surface sample 4,Bezuidenhout_et_al_2011,0,5,NA,0.1043
Bezuidenhout_et_al_2011,Kromme,Kromme-Salicornia decumbens-Summer-Transect 1 Zone b-surface sample 5,Bezuidenhout_et_al_2011,0,5,NA,0.1177
