study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,journal,year,keywords,publisher,copyright
Adams_and_Human_2016,Adams_and_Human_2016,associated source,Article,Investigation into the mortality of mangroves at St. Lucia Estuary,"J.B. Adams, L.R.D. Human",http://dx.doi.org/10.1016/j.sajb.2016.03.018,http://dx.doi.org/10.1016/j.sajb.2016.03.018,South African Journal of Botany,2016,NA,NA,NA
Bezuidenhout_et_al_2011,Bezuidenhout_et_al_2011,associated source,Misc,MACROPHYTES AS INDICATORS OF PHYSICO-CHEMICAL FACTORS IN SOUTH AFRICAN ESTUARIES,Chantel Bezuidenhout,NA,NA,Standard Theses,2011,NA,NA,NA
Brown_and_Rajkaran_2020,Brown_and_Rajkaran_2020,associated source,Misc,"The phylogeography, biomass allocation and phenology of Salicornia tegetaria (S. Steffen, Mucina & G. Kadereit) Piirainen & G. Kadereit, an endemic salt marsh species in South Africa","Catherine E. Brown, Anusha Rajkaran",NA,https://etd.uwc.ac.za/xmlui/handle/11394/6391,Standard Theses,2020,NA,NA,NA
Els_2017,Els_2017,associated source,Misc,Carbon storage of Zostera capensis in the Knysna Estuary,Jessica Els,NA,NA,Standard Theses,2017,NA,NA,NA
Els_2019,Els_2019,associated source,Misc,Carbon and nutrient storage of the Swartkops Estuary salt marsh and seagrass habitats,Jessica Els,NA,NA,Standard Theses,2019,NA,NA,NA
Geldenhyus_et_al_2016,Geldenhyus_et_al_2016,associated source,Article,Understanding the creek dynamics and environmental characteristics that determine the distribution of mangrove and salt marsh communities at Nahoon Estuary,"Chanel Geldenhuys, Phumlile Cotiyane, Anusha Rajkaran",http://dx.doi.org/10.1016/j.sajb.2016.04.013,http://dx.doi.org/10.1016/j.sajb.2016.04.013,South African Journal of Botany,2016,NA,NA,NA
Hoppe-Speer_et_al_2013,Hoppe-Speer_et_al_2013,associated source,Article,"Response of mangroves to drought and non-tidal conditions in St Lucia Estuary, South Africa","SCL Hoppe-Speer, JB Adams and A Rajkaran",https://doi.org/10.2989/16085914.2012.759095,https://doi.org/10.2989/16085914.2012.759095,African Journal of Aquatic Science,2013,NA,NA,NA
Johnson_et_al_2020,Johnson_et_al_2020,associated source,Article,First report on carbon storage in a warm-temperate mangrove forest in South Africa,"Jaime L. Johnson, Jacqueline L. Raw, Janine B. Adams",https://doi.org/10.1016/j.ecss.2019.106566,https://doi.org/10.1016/j.ecss.2019.106566,"Estuarine, Coastal and Shelf Science",2020,NA,NA,NA
Lemley_2018,Lemley_2018,associated source,Misc,ESTUARINE MICROALGAL BLOOM DYNAMICS AT MULTIPLE TEMPORAL SCALES,Daniel Allen Lemley,NA,NA,Standard Theses,2018,NA,NA,NA
Matabane_2018,Matabane_2018,associated source,Misc,Tolerance of salt marsh ecotone species to salinity and inundation,Rebotile Matabane,NA,NA,Standard Theses,2018,NA,NA,NA
Mbense_et_al_2016,Mbense_et_al_2016,associated source,Article,Rapid colonization of degraded mangrove habitat by succulent salt marsh,"S. Mbense, A. Rajkaran, U. Bolosha, J. Adams",http://dx.doi.org/10.1016/j.sajb.2016.06.011,http://dx.doi.org/10.1016/j.sajb.2016.06.011,South African Journal of Botany,2016,NA,NA,NA
Peer_et_al_2018,Peer_et_al_2018,associated source,Article,Latitudinal gradients and poleward expansion of mangrove ecosystems in South Africa: 50 years after Macnae’s first assessment,"N Peer, A Rajkaran, NAF Miranda, RH Taylor, B Newman, F Porri, JL Raw, SP Mbense, JB Adams & R Perissinotto",https://doi.org/10.2989/1814232X.2018.1466728,https://doi.org/10.2989/1814232X.2018.1466728,African Journal of Marine Science,2018,NA,NA,NA
Rajkaran_and_Adams_2011,Rajkaran_and_Adams_2011,associated source,Misc,A status assessment of mangrove forests in South Africa and the utilization of mangroves at Mngazana Estuary (PhD Disseration),Anusha Rajkaran,NA,NA,Standard Theses,2011,NA,NA,NA
Rautenbach_2015,Rautenbach_2015,associated source,Misc,PRESENT STATE OF MACROPHYTES AND RESPONSES TO MANAGEMENT SCENARIOS AT THE ST. LUCIA AND MFOLOZI ESTUARIES,Kelly Rautenbach,NA,NA,Standard Theses,2015,NA,NA,NA
Raw_et_al_2019,Raw_et_al_2019,associated source,Article,A comparison of soil carbon pools across a mangrove-salt marsh ecotone at the southern African warm-temperate range limit,"J.L. Raw, C.L. Julie, J.B. Adams",https://doi.org/10.1016/j.sajb.2019.11.005,https://doi.org/10.1016/j.sajb.2019.11.005,South African Journal of Botany,2019,NA,NA,NA
Veldkornet_et_al_2016,Veldkornet_et_al_2016,associated source,Article,The distribution of salt marsh macrophyte species in relation to physicochemical variables,"D.A. Veldkornet, A.J. Potts, J.B. Adams",http://dx.doi.org/10.1016/j.sajb.2016.08.008,http://dx.doi.org/10.1016/j.sajb.2016.08.008,South African Journal of Botany,2016,NA,NA,NA
Veldkornet_2016_PhD,Veldkornet_2016_PhD,associated source,Misc,Estuarine Species and Habitats: Distribution and Connectivity,Dimitri Veldkornet,NA,NA,Standard Theses,2016,NA,NA,NA
