Site,Latitude,Longitude,Core,Depth,BD_reported_g_cm3,OC_perc
La Encrucijada,15.03188056,-92.70791111,1,0-15,0.77,0.78
La Encrucijada,15.03188056,-92.70791111,1,15-30,0.60,2.77
La Encrucijada,15.03188056,-92.70791111,1,30-50,0.54,12.54
La Encrucijada,15.03188056,-92.70791111,1,50-100,0.80,1.73
La Encrucijada,15.0323186,-92.70890655,2,0-15,0.30,9.17
La Encrucijada,15.0323186,-92.70890655,2,15-30,0.30,12.40
La Encrucijada,15.0323186,-92.70890655,2,30-50,0.20,27.68
La Encrucijada,15.0323186,-92.70890655,2,50-100,0.54,4.46
La Encrucijada,15.03238417,-92.70855934,3,0-15,0.10,14.56
La Encrucijada,15.03238417,-92.70855934,3,15-30,0.60,2.30
La Encrucijada,15.03238417,-92.70855934,3,30-50,0.62,4.75
La Encrucijada,15.03238417,-92.70855934,3,50-100,0.70,3.17
La Encrucijada,15.03238417,-92.70855934,4,0-15,0.14,22.30
La Encrucijada,15.03238417,-92.70855934,4,15-30,0.61,1.66
La Encrucijada,15.03238417,-92.70855934,4,30-50,0.70,5.02
La Encrucijada,15.03238417,-92.70855934,4,50-100,0.40,6.17
La Encrucijada,15.03238417,-92.70855934,5,0-15,0.12,27.77
La Encrucijada,15.03238417,-92.70855934,5,15-30,0.33,7.27
La Encrucijada,15.03238417,-92.70855934,5,30-50,0.59,15.98
La Encrucijada,15.03238417,-92.70855934,5,50-100,0.61,6.34
La Encrucijada,15.03263889,-92.70883056,6,0-15,0.32,12.78
La Encrucijada,15.03263889,-92.70883056,6,15-30,0.63,4.35
La Encrucijada,15.03263889,-92.70883056,6,30-50,0.52,11.50
La Encrucijada,15.03263889,-92.70883056,6,50-100,0.49,2.29
