study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,delta_c13,age,age_se
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,0,2,Aug_Marsh_2,0.08808746331556667,0.050199999999999995,0.2204799367986139,0.0164832296889592,3.1499073811055522,0.16465589773867287,3.938472001763374,0.11362278842265258,0.8233139509328545,0.1166470929266746,-20.49,10.763477663424638,4.650086186614463
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,2,4,Aug_Marsh_4,0.12485553428651851,0.054400000000000004,0.1888498714473613,0.014429778606653456,1.2366650627386668,0.20991497332913456,1.9712781743313799,0.07671720049044561,0.7484645327730401,0.19286575626161154,-20.88,22.21845404708191,6.215596041956796
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,4,6,Aug_Marsh_6,0.2145020677492633,0.0466,0.1743450712181885,0.005501098178624569,0.9050977364537086,0.14807667404832636,1.5870259199452148,0.028300792410255897,0.6927528982458174,0.1435424273412593,-20.88,44.835920128826835,12.011962708611842
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,6,8,Aug_Marsh_8,0.22853369907386686,0.0323,0.23681909584622324,0.01781462105053212,0.6970485030007264,0.17538237322481068,1.5020823143304225,0.0754823683595662,0.8137228404582243,0.1558823882823528,-20.63,85.98441016041818,41.17240928475533
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,8,10,Aug_Marsh_10,0.25438827901457156,0.034,0.07619763428647872,0.010086457260028964,0.07277055387944908,0.08837205954366803,0.8440160586048253,0.05610173627847557,0.7722016643031241,0.06677078178958862,-20.12,121.1262401777234,99.43418135517118
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,10,12,Aug_Marsh_12,0.35144039567641266,0.0191,0.04745300876496539,0.00620114316806232,0.051582005315182956,0.09358887337507106,0.9143340539783184,0.043622072228539824,0.8634384907426601,0.0813905445927097,-19.39,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,12,14,Aug_Marsh_14,0.3792438133010901,0.011699999999999999,0.051446186315656235,0.008382588409232655,-0.1424179196803421,0.14517067166933809,1.051213857760482,0.06069576973794996,1.2007556253248606,0.13982704840135057,-20.49,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,14,16,Aug_Marsh_16,0.3422158973056085,0.015300000000000001,0.011554252730567902,0.004669607084643037,-0.021052212191540496,0.0961488666477394,1.0830850212544558,0.058592085850321204,1.103849986322742,0.07457222622549711,-21.11,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,16,18,Aug_Marsh_18,0.42458677008152185,0.0086,NA,NA,NA,NA,NA,NA,NA,NA,-20.28,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,18,20,Aug_Marsh_20,0.4582367007581174,0.0109,NA,NA,NA,NA,NA,NA,NA,NA,-21.06,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,20,22,Aug_Marsh_22,0.29778239811103063,0.0158,NA,NA,NA,NA,NA,NA,NA,NA,-21.02,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,22,24,Aug_Marsh_24,0.32922364607912374,0.0149,NA,NA,NA,NA,NA,NA,NA,NA,-20.58,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,24,26,Aug_Marsh_26,0.3123337194846936,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,-20.76,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,26,28,Aug_Marsh_28,0.39834242260402264,0.0138,NA,NA,NA,NA,NA,NA,NA,NA,-21.32,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,28,30,Aug_Marsh_30,0.4755163948893421,0.0187,NA,NA,NA,NA,NA,NA,NA,NA,-22.28,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,30,32,Aug_Marsh_32,0.46460290385909486,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,-22.05,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,32,34,Aug_Marsh_34,0.40678738590123775,0.0194,NA,NA,NA,NA,NA,NA,NA,NA,-21.73,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,34,36,Aug_Marsh_36,0.5269657097462218,0.0174,NA,NA,NA,NA,NA,NA,NA,NA,-22.46,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,36,38,Aug_Marsh_38,0.5758165743578044,0.0105,NA,NA,NA,NA,NA,NA,NA,NA,-21.91,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,single set of methods,38,40,Aug_Marsh_40,0.4565477080986744,0.012199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,-22.06,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,0,2,Aug_Mangrove_2,0.10479549839282604,0.0417,0.1860311209699349,0.020801140654080945,2.840827153346472,0.35488212443902384,4.285167163652469,0.1629317045920166,1.470160195521194,0.3116338118428617,-24.65,4.705131938753744,2.832284513925039
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,2,4,Aug_Mangrove_4,0.14172077560361837,0.0493,0.22163778290013006,0.022200104300296467,2.715812229870204,0.339775534900847,4.009539207779617,0.15482549653508923,1.3193293072620715,0.298847892524329,-25.04,11.716254669451192,3.0794925475308195
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,4,6,Aug_Mangrove_6,0.22009653112738767,0.0509,0.23342755687253142,0.025329837379523015,2.1594821767856014,0.33077549682056123,3.583315072019064,0.16456534672839124,1.4443731538811082,0.28330052450427473,-24.98,22.216903437633217,3.3611671126274123
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,6,8,Aug_Mangrove_8,0.16617089318674005,0.037200000000000004,0.14068507648514192,0.013447129865931032,1.5950979741106364,0.2449434953593082,3.0190666392741616,0.1025524735036367,1.439275506071356,0.21985072535380037,-24.94,31.784486949669283,3.8263821090893972
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,8,10,Aug_Mangrove_10,0.1494108891045747,0.04190000000000001,0.2032215504786163,0.012833761207408423,2.255052280277034,0.16606634525837233,3.774990490320786,0.09111499470837998,1.5406249775820466,0.13701253339394598,-24.64,46.8433419385469,5.459891471561078
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,10,12,Aug_Mangrove_12,0.14979545974087868,0.043,0.14600320102709893,0.012810511334516026,0.7717600320178888,0.2918460753907966,2.2191762561344146,0.08249787019317796,1.454952605814025,0.27697088737089154,-25.11,54.37501673864049,5.932843267646736
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,12,14,Aug_Mangrove_14,0.21440852354043266,0.0377,0.17807384959110037,0.012543111673244931,0.858390343834064,0.18316002085825156,2.456161649691384,0.07770040269164238,1.606661227393887,0.1637649762029119,-25.09,71.6278738953375,8.5089598805274
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,14,16,Aug_Mangrove_16,0.14443485688483101,0.0353,0.08464661093973853,0.01316645216918189,1.1092889727367845,0.15346961227029343,2.5767933455023724,0.11793942085553809,1.4792737231183375,0.09563515011848503,-24.77,105.90181007306725,22.663562604426684
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,16,18,Aug_Mangrove_18,0.1770012338091377,0.0366,0.09123464458490166,0.01071570151619072,0.4982265920476504,0.3134181795349805,2.1622855842137776,0.08541617240087965,1.6694292039621195,0.2980416922313838,-24.55,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,18,20,Aug_Mangrove_20,0.19724056276975568,0.025099999999999997,0.031485559106463085,0.0062547851233454655,-0.46211950543398367,0.12802579915949808,1.2883216427600617,0.06315402388289923,1.7462800359403348,0.11003784842469284,-24.42,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,20,22,Aug_Mangrove_22,0.29266604957804093,0.0207,0.021010472514701596,0.005490318417225962,-0.9363211553495187,0.17920636212594457,0.6403418950668399,0.04835163243879176,1.5664917355357868,0.17053766996420092,-24.14,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,22,24,Aug_Mangrove_24,0.21554144784738208,0.0166,NA,NA,NA,NA,NA,NA,NA,NA,-23.86,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,24,26,Aug_Mangrove_26,0.253000706583583,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,-23.66,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,26,28,Aug_Mangrove_28,0.28183051205515264,0.0204,NA,NA,NA,NA,NA,NA,NA,NA,-24,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,single set of methods,28,30,Aug_Mangrove_30,0.1932324532663851,0.0285,NA,NA,NA,NA,NA,NA,NA,NA,-23.98,NA,NA
