study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,2017,4,11,full profiles omitted,29.728055555555557,-81.24527777777777,handheld,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,2017,4,11,full profiles omitted,29.72861111111111,-81.24111111111111,handheld,NA,estuarine,field observation,emergent,measurement,mid,field observation
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,2017,4,11,full profiles omitted,29.72888888888889,-81.24333333333334,handheld,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove,2018,5,1,full profiles omitted,29.0775,-82.81583333333333,handheld,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,2018,5,1,full profiles omitted,29.096944444444443,-82.82083333333333,handheld,NA,estuarine,field observation,emergent,measurement,high,field observation
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Transition,2018,5,1,full profiles omitted,29.09638888888889,-82.82088888888889,handheld,NA,estuarine,field observation,scrub shrub,measurement,mid,field observation
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove_replicate,2018,5,1,full profiles omitted,29.0775,-82.81583,other low resolution,Replicate core located several feet from Waccasassa_Bay_Mangrove core location,estuarine,field observation,scrub shrub,measurement,mid,field observation
