study_id,site_id,core_id,year,month,day,latitude,longitude,position_accuracy,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Rovai_et_al_2022,SC1,S25L1MG1,2012,10,15,-27.452245,-48.522762,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC1,S25L1MG2,2012,10,15,-27.452245,-48.522762,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC1,S25L1MG3,2012,10,15,-27.452245,-48.522762,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC2,S25L2MG1,2012,10,15,-26.183504,-48.623635,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC2,S25L2MG2,2012,10,15,-26.183504,-48.623635,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC2,S25L2MG3,2012,10,15,-26.183504,-48.623635,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC3,S25L3MG1,2012,10,15,-25.870301,-48.630632,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC3,S25L3MG2,2012,10,15,-25.870301,-48.630632,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SC3,S25L3MG3,2012,10,15,-25.870301,-48.630632,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA1,S10L1MG1,2012,11,29,-17.769699,-39.332558,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA1,S10L1MG2,2012,11,29,-17.769699,-39.332558,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA1,S10L1MG3,2012,11,29,-17.769699,-39.332558,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA2,S10L2MG1,2012,11,29,-17.788452,-39.331621,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA2,S10L2MG2,2012,11,29,-17.788452,-39.331621,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA2,S10L2MG3,2012,11,29,-17.788452,-39.331621,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA3,S10L3MG1,2012,11,29,-17.773427,-39.215733,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA3,S10L3MG2,2012,11,29,-17.773427,-39.215733,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,BA3,S10L3MG3,2012,11,29,-17.773427,-39.215733,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA1,S0L1MG1,2012,10,18,-0.667411,-48.0314,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA1,S0L1MG2,2012,10,18,-0.667411,-48.0314,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA1,S0L1MG3,2012,10,18,-0.667411,-48.0314,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA2,S0L2MG1,2012,10,18,-0.637209,-47.561023,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
