Site,Date_collected,Year_collected,Plot,Latitude,Longitude,Core,Depth_cm,Depth_OM_cm,BD_reported_g_cm3,OC_perc
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S1,19.79358333,-87.5743,1,0-15,81,0.77,0.78
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S1,19.79358333,-87.5743,1,15-30,81,0.60,2.77
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S1,19.79358333,-87.5743,1,30-50,81,0.54,12.54
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S1,19.79358333,-87.5743,1,50-81,81,0.80,1.73
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S2,19.79363333,-87.57433333,2,0-15,116,0.30,9.17
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S2,19.79363333,-87.57433333,2,15-30,116,0.30,12.40
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S2,19.79363333,-87.57433333,2,30-50,116,0.20,27.68
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S2,19.79363333,-87.57433333,2,50-100,116,0.54,4.46
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S3,19.79373333,-87.57438333,3,0-15,56.5,0.10,14.56
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S3,19.79373333,-87.57438333,3,15-30,56.5,0.60,2.30
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S3,19.79373333,-87.57438333,3,30-50,56.5,0.62,4.75
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S3,19.79373333,-87.57438333,3,50-56.5,56.5,0.70,3.17
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S4,19.79381667,-87.57441667,4,0-15,170,0.14,22.30
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S4,19.79381667,-87.57441667,4,15-30,170,0.61,1.66
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S4,19.79381667,-87.57441667,4,30-50,170,0.70,5.02
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S4,19.79381667,-87.57441667,4,50-100,170,0.40,6.17
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S5,19.79391667,-87.57445,5,0-15,134,0.12,27.77
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S5,19.79391667,-87.57445,5,15-30,134,0.33,7.27
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S5,19.79391667,-87.57445,5,30-50,134,0.59,15.98
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S5,19.79391667,-87.57445,5,50-100,134,0.61,6.34
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S6,19.794,-87.5745,6,0-15,95,0.32,12.78
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S6,19.794,-87.5745,6,15-30,95,0.63,4.35
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S6,19.794,-87.5745,6,30-50,95,0.52,11.50
Sian kaan Tular 1,"August 12th, 2011",2011,Tul1S6,19.794,-87.5745,6,50-95,95,0.49,2.29
