study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_peak_age,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,0,2,L1,0.28070482234217237,0.08324,1964,0.13539624729488278,picocuriesPerGram,9.296486079783683,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,2,4,L1,0.20861153562883636,0.0958,1964,0.19461172376641253,picocuriesPerGram,7.801808663022377,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,4,6,L1,0.21225217590452933,0.10791,1964,0.2960634591591105,picocuriesPerGram,7.866843694606361,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,6,8,L1,0.22512402453116648,0.10636,1964,0.193165422337963,picocuriesPerGram,6.3480087307945645,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,8,10,L1,0.2820108930424858,0.0863,1964,0.2532470749026479,picocuriesPerGram,5.993338411693601,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,10,12,L1,0.24785320471019176,0.10001,1964,0.23210086803715435,picocuriesPerGram,6.252621933715758,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,12,14,L1,0.18432327295766515,0.09892,1964,0.23638030073646493,picocuriesPerGram,6.762400732793701,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,14,16,L1,0.28088596465661514,0.08527,1964,0.27896710199843977,picocuriesPerGram,6.999264958578071,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,16,18,L1,0.329121093471887,0.07857,1964,0.33301011879014986,picocuriesPerGram,5.7710423647840825,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,18,20,L1,0.27505776960503003,0.07518,1964,0.3396567829983349,picocuriesPerGram,5.135659393586795,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,20,22,L1,0.294984562628533,0.06634999999999999,1964,0.2863272582589286,picocuriesPerGram,3.278918252050668,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,22,24,L1,0.3676482658717457,0.05429,1964,0.19816572093619247,picocuriesPerGram,2.485172870757787,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,24,26,L1,0.2393078686748777,0.05406,1964,0.1842799644149092,picocuriesPerGram,3.164200497736038,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,26,28,L1,0.3707013504682559,0.04695,1964,0.11601471520232032,picocuriesPerGram,2.123973668606159,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_L1,single set of methods,28,30,L1,0.2546895626087621,0.04557999999999999,1964,0.05697007047703704,picocuriesPerGram,2.666203907876543,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_P1,single set of methods,0,2,P1,0.2326036337682502,0.06328,1964,0.09045461367785812,picocuriesPerGram,8.222122557736455,disintegrationsPerMinutePerGram
Loomis_and_Craft_2024,Alt,Alt_Salt_P1,single set of methods,2,4,P1,0.2409646388617254,0.05157,1964,0.09953331437140804,picocuriesPerGram,7.232442211266762,disintegrationsPerMinutePerGram
