BlueCarbonID,CMA,Location,Park,NearbyPark,North,East,Site,Habitat,Replicate,Depth_cm,Dry_weight_g,Height_cm,Volume_cm3,DBD_g_cm3,TC_mg_g,OC_mg_g,IC_mg_g,TN_mg_g,Percent_C,mg_Corg_cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1342,C,AIR,,Angahook-Lorne State Park Reserve,-38.466617,144.096633,3,SM,3,0_2,18.14,2,39.27,0.46,186.11,194.85,,11.68,19.48,90.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1343,C,AIR,,Angahook-Lorne State Park Reserve,-38.466617,144.096633,3,SM,3,14_16,47.28,2,39.27,1.20,30.00,32.10,,1.73,3.21,38.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1344,C,AIR,,Angahook-Lorne State Park Reserve,-38.466617,144.096633,3,SM,3,28_30,59.56,2,39.27,1.52,14.45,16.34,,0.99,1.63,24.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1371,C,AIR,,Angahook-Lorne State Park Reserve,-38.466717,144.097000,2,SM,2,0_2,6.23,2,39.27,0.16,383.94,401.42,,19.68,40.14,63.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1372,C,AIR,,Angahook-Lorne State Park Reserve,-38.466717,144.097000,2,SM,2,14_16,33.52,2,39.27,0.85,44.40,43.58,,3.41,4.36,37.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1373,C,AIR,,Angahook-Lorne State Park Reserve,-38.466717,144.097000,2,SM,2,28_30,70.99,2,39.27,1.81,9.14,9.84,,0.65,0.98,17.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1578,C,AIR,,Angahook-Lorne State Park Reserve,-38.466667,144.097733,1,SM,1,0_2,9.22,2,39.27,0.23,254.23,262.39,,15.63,26.24,61.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1579,C,AIR,,Angahook-Lorne State Park Reserve,-38.466667,144.097733,1,SM,1,14_16,58.95,2,39.27,1.50,9.97,11.05,,0.99,1.11,16.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1580,C,AIR,,Angahook-Lorne State Park Reserve,-38.466667,144.097733,1,SM,1,28_30,70.67,2,39.27,1.80,3.89,3.61,,0.21,0.36,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1473,PPW,ALT,Point Cook Coastal Park,,-37.897267,144.784100,2,SM,2,0_2,12.07,2,39.27,0.31,162.37,156.89,,11.21,15.69,48.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1474,PPW,ALT,Point Cook Coastal Park,,-37.897267,144.784100,2,SM,2,14_16,47.32,2,39.27,1.20,39.48,28.63,10.93,2.38,2.86,34.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1475,PPW,ALT,Point Cook Coastal Park,,-37.897267,144.784100,2,SM,2,28_30,47.25,2,39.27,1.20,56.27,4.72,55.99,0.84,0.47,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1476,PPW,ALT,Point Cook Coastal Park,,-37.896517,144.784100,3,SM,3,0_2,15.21,2,39.27,0.39,112.95,99.65,,9.16,9.96,38.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1477,PPW,ALT,Point Cook Coastal Park,,-37.896517,144.784100,3,SM,3,14_16,40.37,2,39.27,1.03,41.44,38.95,,3.85,3.89,40.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1478,PPW,ALT,Point Cook Coastal Park,,-37.896517,144.784100,3,SM,3,28_30,38.08,2,39.27,0.97,60.12,7.36,45.49,0.57,0.74,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1713,PPW,ALT,Point Cook Coastal Park,,-37.897183,144.783467,1,SM,1,0_2,8.82,2,39.27,0.22,160.66,155.32,21.28,11.10,15.53,34.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1714,PPW,ALT,Point Cook Coastal Park,,-37.897183,144.783467,1,SM,1,14_16,18.16,2,39.27,0.46,65.38,38.22,19.83,4.09,3.82,17.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1715,PPW,ALT,Point Cook Coastal Park,,-37.897183,144.783467,1,SM,1,28_30,35.01,2,39.27,0.89,53.22,11.81,33.89,1.30,1.18,10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1395,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265483,144.497350,4,MG,1,0_2,17.70,2,39.27,0.45,53.64,48.65,,4.56,4.87,21.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1396,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265483,144.497350,4,MG,1,14_16,17.84,2,39.27,0.45,58.05,59.01,,4.97,5.90,26.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1397,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265483,144.497350,4,MG,1,28_30,20.45,2,39.27,0.52,42.67,39.47,,2.83,3.95,20.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1401,C,BAH,Lake Connewarre Wildlife Reserve,,-38.262767,144.492017,6,MG,3,0_2,32.36,2,39.27,0.82,51.38,22.17,30.61,2.50,2.22,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1402,C,BAH,Lake Connewarre Wildlife Reserve,,-38.262767,144.492017,6,MG,3,14_16,24.17,2,39.27,0.62,26.06,22.11,6.10,2.38,2.21,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1403,C,BAH,Lake Connewarre Wildlife Reserve,,-38.262767,144.492017,6,MG,3,28_30,24.19,2,39.27,0.62,24.18,21.34,4.55,1.80,2.13,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1413,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265417,144.497017,5,MG,2,0_2,37.53,2,39.27,0.96,51.81,15.36,41.23,1.75,1.54,14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1414,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265417,144.497017,5,MG,2,14_16,15.70,2,39.27,0.40,57.47,57.28,,4.40,5.73,22.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
