Sample,Full core ID,Core abbreviations,Wetland type,Date of collection,Latitude,Longitude,,,,
SGN4E-1,Six Gill Slough North 4E,SG4,salt marsh,7/22/2015,47.09291,-122.70657,,,,
SGN4E-2,,,salt marsh,,,,,,,
SGN4E-3,,,salt marsh,,,,,,,
SGN4E-4,,,salt marsh,,,,,,,
SGN5M-1,Six Gill Slough North 5M,SG5,salt marsh,7/22/2015,47.0929,-122.70676,,,,
SGN5M-2,,,salt marsh,,,,,,,
SGN5M-3,,,salt marsh,,,,,,,
SGN5M-4,,,salt marsh,,,,,,,
SGN6W-1,Six Gill Slough North 6W,SG6,salt marsh,7/22/2015,47.09288,-122.70704,,,,
SGN6W-2,,,salt marsh,,,,,,,
SGN6W-3,,,salt marsh,,,,,,,
SGN6W-4,,,salt marsh,,,,,,,
SGS10E-1,Six Gill Slough South 10E,SG10,salt marsh,7/23/2015,47.08907,-122.70853,,,,
SGS10E-2,,,salt marsh,,,,,,,
SGS10E-3b,,,salt marsh,,,,,,,
SGS10E-4,,,salt marsh,,,,,,,
SGS11M-1,Six Gill Slough South 11M,SG11,salt marsh,7/23/2015,47.08911,-122.70872,,,,
SGS11M-2,,,salt marsh,,,,,,,
SGS11M-3,,,salt marsh,,,,,,,
SGS11M-4,,,salt marsh,,,,,,,
SGS12W-1,Six Gill Slough South 12W,SG12,salt marsh,7/23/2015,47.08904,-122.70891,,,,
SGS12W-2,,,salt marsh,,,,,,,
SGS12W-3,,,salt marsh,,,,,,,
SGS12W-4,,,salt marsh,,,,,,,
,,,salt marsh,,,,,,,
,,,salt marsh,,,,,,,
ASN14-1,Animal Slough North Core 14,AS14,salt marsh,4/10/2017,47.09662,-122.69857,,,,
ASN14-2,,,salt marsh,,,,,,,
ASN14-3,,,salt marsh,,,,,,,
ASN14-4,,,salt marsh,,,,,,,
ASN15-1,Animal Slough North Core 15,AS15,salt marsh,4/10/2017,47.09661,-122.69878,,,,
ASN15-2,,,salt marsh,,,,,,,
ASN15-3,,,salt marsh,,,,,,,
ASN15-4,,,salt marsh,,,,,,,
ASN16-1b,Animal Slough North Core 16,AS16,salt marsh,4/10/2017,47.09662,-122.69900,,,,
ASN16-2,,,salt marsh,,,,,,,
ASN16-3,,,salt marsh,,,,,,,
ASN16-4,,,salt marsh,,,,,,,
ASS7E-1,Animal Slough South Core 7E,AS7,salt marsh,7/22/2015,47.09329,-122.70051,,,,
ASS7E-2,,,salt marsh,,,,,,,
ASS7E-3,,,salt marsh,,,,,,,
ASS7E-4,,,salt marsh,,,,,,,
ASS8M-1,Animal Slough South Core 8M,AS8,salt marsh,7/22/2015,47.09333,-122.70072,,,,
ASS8M-2,,,salt marsh,,,,,,,
ASS8M-3,,,salt marsh,,,,,,,
ASS8M-4,,,salt marsh,,,,,,,
ASS9W-1,Animal Slough South Core 9W,AS9,salt marsh,7/22/2015,47.09337,-122.70092,,,,
ASS9W-2,,,salt marsh,,,,,,,
ASS9W-3,,,salt marsh,,,,,,,
ASS9W-4,,,salt marsh,,,,,,,
