core_id,depth_max,dry_bulk_density,percent_carbon,total_pb210_activity,total_pb210_sd,ra226_activity,ra226_activity_sd,excess_pb210_activity,excess_pb210_activity_sd
Core SG4,2,0.62,2.73,,,,,,
Core SG4,4,0.633,3.49,,,,,,
Core SG4,6,0.476,4.96,,,,,,
Core SG4,8,0.29,8.08,,,,,,
Core SG4,10,0.236,13.97,,,,,,
Core SG4,12,0.28,,,,,,,
Core SG4,14,0.321,8.62,,,,,,
Core SG4,16,0.536,9.03,,,,,,
Core SG4,18,0.779,3.58,,,,,,
Core SG4,20,0.761,,,,,,,
Core SG4,22,0.645,4.94,,,,,,
Core SG4,24,0.65,,,,,,,
Core SG4,26,1.002,2.12,,,,,,
Core SG5,2,0.652,2.45,,,,,,
Core SG5,4,0.698,2.43,,,,,,
Core SG5,6,0.681,2.48,,,,,,
Core SG5,8,0.524,4.78,,,,,,
Core SG5,10,0.265,5.54,,,,,,
Core SG5,12,0.192,,,,,,,
Core SG5,14,0.325,11.02,,,,,,
Core SG5,16,0.333,,,,,,,
Core SG5,18,0.423,7.61,,,,,,
Core SG5,20,0.763,,,,,,,
Core SG5,22,0.895,2.48,,,,,,
Core SG5,24,1.018,,,,,,,
Core SG5,26,0.994,,,,,,,
Core SG5,28,1.068,2.41,,,,,,
Core SG6,2,0.741,2.97,,,,,,
Core SG6,4,0.665,2.64,,,,,,
Core SG6,6,0.311,9.63,,,,,,
Core SG6,8,0.309,11.79,,,,,,
Core SG6,10,0.32,11.06,,,,,,
Core SG6,12,0.375,,,,,,,
Core SG6,14,0.442,6.12,,,,,,
Core SG6,16,0.683,,,,,,,
Core SG6,18,0.902,2.56,,,,,,
Core SG6,20,1.112,,,,,,,
Core SG6,22,0.944,2.16,,,,,,
Core SG6,24,0.978,,,,,,,
Core SG6,26,0.869,1.89,,,,,,
Core SG10,2,0.673,3,,,,,,
Core SG10,4,0.743,2.65,,,,,,
Core SG10,6,0.285,9.94,,,,,,
Core SG10,8,0.2,11.35,,,,,,
Core SG10,10,0.149,25.38,,,,,,
Core SG10,12,0.204,,,,,,,
Core SG10,14,0.272,20.22,,,,,,
Core SG10,16,0.553,,,,,,,
Core SG10,18,0.67,3.8,,,,,,
Core SG10,20,0.608,,,,,,,
Core SG10,22,0.686,5.19,,,,,,
Core SG10,24,0.652,,,,,,,
Core SG10,26,0.662,,,,,,,
Core SG10,28,0.791,4.2,,,,,,
Core SG10,30,0.851,,,,,,,
Core SG10,32,0.795,,,,,,,
Core SG10,34,0.98,3.5,,,,,,
Core SG10,36,0.738,,,,,,,
Core SG10,38,0.867,3.58,,,,,,
Core SG11,2,0.642,3.59,,,,,,
Core SG11,4,0.179,16.23,,,,,,
Core SG11,6,0.152,27.63,,,,,,
Core SG11,8,0.195,18.29,,,,,,
Core SG11,10,0.175,23.57,,,,,,
Core SG11,12,0.434,,,,,,,
Core SG11,14,0.853,1.88,,,,,,
Core SG11,16,0.491,,,,,,,
Core SG11,18,0.542,5.88,,,,,,
Core SG11,20,0.911,,,,,,,
Core SG11,22,0.893,2.5,,,,,,
Core SG11,24,0.962,,,,,,,
Core SG11,26,0.943,,,,,,,
Core SG11,28,1.031,1.97,,,,,,
Core SG11,30,1.012,,,,,,,
Core SG11,32,0.969,,,,,,,
Core SG11,34,0.892,2.2,,,,,,
Core SG11,36,1.016,,,,,,,
