"ID","SUBPID","SAMP","MIND","MAXD","INTD","AREA","VOL","DWT","BD","C","N","C_CONT","N_CONT","CNR"
1,1,1,0.00,15.00,15.00,,,,1.07,0.96,0.09,15.49,1.45,10.66
2,1,2,15.00,30.00,15.00,,,,1.16,0.50,0.05,8.81,0.92,9.55
3,1,3,30.00,45.00,15.00,,,,1.00,0.60,0.06,8.99,0.83,10.77
4,1,4,45.00,110.00,65.00,,,,0.85,1.37,0.08,75.96,4.19,18.13
5,1,5,110.00,185.00,75.00,,,,0.99,0.87,0.06,64.50,4.38,14.72
6,1,6,185.00,200.00,15.00,,,,1.02,0.82,0.06,12.54,0.87,14.37
7,2,1,0.00,15.00,15.00,,,,0.64,1.57,0.15,15.00,1.45,10.31
8,2,2,15.00,30.00,15.00,,,,0.56,1.76,0.15,14.73,1.21,12.15
9,2,3,30.00,45.00,15.00,,,,0.68,1.59,0.14,16.20,1.41,11.51
10,2,4,45.00,110.00,65.00,,,,0.73,1.43,0.11,68.11,5.32,12.80
11,2,5,110.00,185.00,75.00,,,,0.91,1.17,0.10,79.91,6.96,11.48
12,2,6,185.00,200.00,15.00,,,,0.84,1.02,0.09,12.81,1.15,11.10
13,3,1,0.00,15.00,15.00,,,,0.67,2.10,0.14,21.02,1.42,14.78
14,3,2,15.00,30.00,15.00,,,,0.85,1.91,0.09,24.27,1.17,20.73
15,3,3,30.00,45.00,15.00,,,,0.95,1.83,0.08,26.05,1.14,22.85
16,3,4,45.00,110.00,65.00,,,,1.24,1.28,0.06,102.73,4.82,21.33
17,3,5,110.00,185.00,75.00,,,,0.99,1.04,0.06,77.58,4.53,17.13
18,3,6,185.00,200.00,15.00,,,,1.33,0.74,0.04,14.70,0.77,19.00
19,4,1,0.00,15.00,15.00,,,,0.66,1.83,0.15,18.11,1.47,12.35
20,4,2,15.00,30.00,15.00,,,,0.71,1.61,0.13,17.14,1.37,12.47
21,4,3,30.00,45.00,15.00,,,,0.76,1.48,0.12,16.77,1.36,12.29
22,4,4,45.00,110.00,65.00,,,,0.79,1.24,0.10,63.22,5.11,12.38
23,4,5,110.00,185.00,75.00,,,,0.88,1.77,0.12,116.39,8.01,14.52
24,4,6,185.00,200.00,15.00,,,,0.82,1.32,0.10,16.30,1.23,13.20
25,5,1,0.00,15.00,15.00,,,,0.45,1.59,0.13,10.68,0.85,12.50
26,5,2,15.00,30.00,15.00,,,,0.46,1.60,0.13,11.06,0.92,12.02
27,5,3,30.00,45.00,15.00,,,,0.58,1.67,0.13,14.42,1.13,12.76
28,5,4,45.00,110.00,65.00,,,,0.50,1.52,0.13,49.68,4.36,11.39
29,5,5,110.00,185.00,75.00,,,,0.58,1.49,0.12,64.69,5.30,12.20
30,5,6,185.00,200.00,15.00,,,,0.43,1.61,0.15,10.42,0.95,10.94
31,6,1,0.00,15.00,15.00,,,,0.76,1.27,0.10,14.42,1.16,12.46
32,6,2,15.00,30.00,15.00,,,,0.87,1.67,0.11,21.72,1.41,15.35
33,6,3,30.00,45.00,15.00,,,,0.76,2.02,0.12,23.06,1.35,17.04
34,6,4,45.00,110.00,65.00,,,,0.91,1.67,0.08,98.45,4.83,20.40
35,6,5,110.00,185.00,75.00,,,,1.08,1.09,0.06,88.01,4.89,18.00
36,6,6,185.00,200.00,15.00,,,,1.02,0.88,0.05,13.50,0.78,17.28
37,7,1,0.00,15.00,15.00,,,,0.64,1.61,0.13,15.54,1.29,12.01
38,7,2,15.00,30.00,15.00,,,,0.65,2.27,0.12,22.21,1.15,19.33
39,7,3,30.00,45.00,15.00,,,,0.62,2.20,0.13,20.32,1.17,17.37
40,7,4,45.00,110.00,65.00,,,,0.72,1.60,0.09,74.76,4.34,17.22
41,7,5,110.00,185.00,75.00,,,,1.20,1.14,0.06,102.27,5.28,19.36
