ID,SITE_NAME,SITECD,MAX_LAT,MIN_LAT,MAX_LON,MIN_LON,COUNTRYID,SITE_DESCRIPTION,CITID
1,Cayambe Coca National Park,CC,,,,,60,,
2,Antisana Ecological Reserve,AN,,,,,60,,
3,Likupang Barat,LB,,,,,96,,
4,Tangkasi,TK,,,,,96,,
5,Arakan,AK,,,,,96,,
6,Sondakan,SK,,,,,96,,
7,Tongkaina,TO,,,,,96,,
8,Bango,BG,,,,,96,,
9,Yap,YAP,,,,,137,,
10,Sajama,SJ,,,,,25,,
11,Tuni,TN,,,,,25,,
12,Chingaza,CG,,,,,44,,
13,Los Nevados,LN,,,,,44,,
14,Paramo de Guerrero,PG,,,,,44,,
15,Pastoruri,PT,,,,,162,,
16,Peru_Kahuish,PK,,,,,162,,
17,Quilcayhuanca,QH,,,,,162,,
18,Huascaran National Park,HNP,-9.68,-9.68,-77.23,-77.24,162,,
19,Zambezi River Delta,ZRD,-18.74,-18.89,36.3,36.11,143,"Objective Mangrove Inventory, Zambezi River Delta",
20,Rufiji River Delta,RRD,-7.76,-7.85,39.37,39.23,201,"Objective Mangrove Inventory, Rufiji River Delta",
21,Prey Nob,PN,,,,,35,,
22,Koh Kohng,KK,,,,,35,,
23,Srae Ambel,SA,,,,,35,,
