Site,Status,ID,Date,Lat,Lon,Depth_mid,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,Age,Age_e,VAR,MAR,CAR,Year,LOI
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,0.5,-77.6,0.1542,5.8632,0.3066,1.0363,0.0871,4.8269,0.3188,0,0,0,0,26.36,1.47,2.3,1.8,4.4,675,178,2013.6,52.2624
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,1.5,-78.6,0.2267,4.9199,0.2716,0.5207,0.076,4.3991,0.282,0,0,0,0,    ,   ,5.6,2,3,679,,2010.3,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,2.5,-79.6,0.2153,4.3535,0.2595,0.3886,0.0668,3.9649,0.2679,0,0,0,0,18.64,1.02,8.8,2.1,3.2,681,127,2007.1,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,3.5,-80.6,0.2311,4.1246,0.1856,0.3683,0.0434,3.7564,0.1906,0,0,0,0,    ,   ,12.4,2.3,2.8,647,,2003.5,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,4.5,-81.6,0.303,2.6846,0.1409,0.2716,0.0397,2.413,0.1464,0,0,0,0,16.09,0.87,15.7,2.6,3,904,145,2000.2,33.5478
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,5.5,-82.6,0.2963,2.375,0.1349,0.308,0.0353,2.0669,0.1394,0,0,0,0,    ,   ,18.8,2.8,3.2,955,,1997.1,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,6.5,-83.6,0.3897,1.449,0.0911,0.2272,0.0265,1.2218,0.0949,0,0,0,0,9.72,0.5,21.4,3,3.8,1477,143,1994.4,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,7.5,-84.6,0.5119,1.204,0.0679,0.1835,0.0181,1.0205,0.0703,0,0,0,0,    ,   ,24.6,3.2,3.2,1616,,1991.3,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,8.5,-85.6,0.4533,1.1891,0.0844,0.2302,0.0217,0.959,0.0872,0,0,0,0,11.67,0.56,27.5,3.5,3.5,1564,182,1988.4,16.0823
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,9.5,-86.6,0.3707,1.5144,0.103,0.2868,0.0324,1.2276,0.108,0,0,0,0,    ,   ,30.9,3.9,3,1109,,1985,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,10.5,-87.6,0.656,1.0008,0.0639,0.2071,0.0181,0.7938,0.0664,0,0,0,0,6.08,0.32,35.2,4.4,2.3,1523,92,1980.7,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,11.5,-88.6,0.3053,1.8971,0.1208,0.3629,0.0368,1.5342,0.1263,0,0,0,0,    ,   ,39.6,5.1,2.3,688,,1976.3,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,12.5,-89.6,0.6779,0.7916,0.0541,0.2202,0.0172,0.5714,0.0567,0,0,0,0,10.13,0.33,43.8,5.8,2.4,1614,163,1972.1,16.4744
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,13.5,-90.6,0.4631,0.7823,0.0718,0.1929,0.0206,0.5893,0.0747,0,0,0,0,    ,   ,47.1,6.4,3,1391,,1968.8,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,14.5,-91.6,0.6966,0.9514,0.0685,0.158,0.0193,0.7934,0.0712,0,0,0,0,5.89,0.23,55.2,8.3,1.2,868,51,1960.7,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,15.5,-92.6,0.6939,0.6984,0.06,0.196,0.0163,0.5024,0.0622,0,0,0,0,    ,   ,61.5,10.1,1.6,1095,,1954.4,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,16.5,-93.6,0.8481,0.5583,0.0449,0.1689,0.0147,0.3894,0.0473,0,0,0,0,3.5,0.18,68.9,12.8,1.3,1141,40,1947,6.5883
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,17.5,-94.6,0.849,0.595,0.0471,0.1973,0.014,0.3977,0.0491,0,0,0,0,    ,   ,78.9,17.6,1,853,,1937,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,18.5,-95.6,0.8291,0.4649,0.047,0.1802,0.0144,0.2848,0.0491,0,0,0,0,3.01,0.16,88.3,23.7,1.1,881,26,1927.6,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,19.5,-96.6,0.7339,0.3483,0.0536,0.1617,0.0173,0.1866,0.0563,0,0,0,0,    ,   ,95.3,29.7,1.4,1039,,1920.5,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,20.5,-97.6,1.0143,0.425,0.0331,0.1697,0.0095,0.2553,0.0344,0,0,0,0,3.15,0.16,   ,   ,  ,,,   ,5.0233
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,21.5,-98.6,0.9573,0.2726,0.0278,0.1547,0.0096,0.1179,0.0294,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,22.5,-99.6,0.9071,0.2681,0.0308,0.1901,0.0107,0.078,0.0326,0,0,0,0,1.8,0.09,   ,   ,  ,,,   ,     
Fort de Soto,Mangrove,FDS,10/19/2015,27.6275,-82.715883,23.5,-100.6,0.9254,0.3084,0.0398,0.185,0.0124,0.1235,0.0417,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,0.5,145.7,0.0742,8.9149,0.4912,1.5491,0.1685,7.3658,0.5193,0,0,0,0,35.1,1.54,1.7,1.4,6,448,157,2014.2,72.5481
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,1.5,144.7,0.1072,9.812,0.4651,1.3791,0.1287,8.4329,0.4826,0,0,0,0,    ,   ,3.8,1.5,4.6,497,,2012.1,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,2.5,143.7,0.1117,8.4471,0.4038,1.4527,0.1194,6.9944,0.4211,0,0,0,0,33.48,1.38,5.8,1.6,5,562,188,2010.1,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,3.5,142.7,0.1237,10.1143,0.5047,1.2908,0.126,8.8235,0.5202,0,0,0,0,    ,   ,8.8,1.7,3.3,412,,2007.1,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,4.5,141.7,0.1105,9.7929,0.4799,1.2098,0.127,8.5832,0.4964,0,0,0,0,32.46,1.42,11.7,1.9,3.5,387,125,2004.2,66.0388
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,5.5,140.7,0.1291,7.5838,0.4148,1.1301,0.1325,6.4536,0.4355,0,0,0,0,    ,   ,14.4,2,3.7,472,,2001.5,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,6.5,139.7,0.1243,8.6589,0.4433,1.5161,0.1366,7.1428,0.4639,0,0,0,0,31.78,1.32,17.6,2.2,3.1,389,123,1998.3,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,7.5,138.7,0.14,8.7095,0.4303,1.4222,0.1354,7.2874,0.4511,0,0,0,0,    ,   ,21.7,2.5,2.4,340,,1994.2,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,8.5,137.7,0.1678,5.9559,0.3585,0.9025,0.105,5.0533,0.3736,0,0,0,0,26.2,1.17,25.6,2.8,2.6,433,113,1990.3,46.1542
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,9.5,136.7,0.1797,6.6541,0.3786,0.8648,0.0954,5.7893,0.3905,0,0,0,0,    ,   ,31.1,3.3,1.8,327,,1984.8,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,10.5,135.7,0.1977,4.9922,0.2686,0.8179,0.0815,4.1743,0.2807,0,0,0,0,20.57,0.89,36.2,3.8,1.9,384,79,1979.7,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,11.5,134.7,0.1428,6.3259,0.3511,0.864,0.0943,5.4619,0.3635,0,0,0,0,    ,   ,42,4.6,1.7,248,,1973.9,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,12.5,133.7,0.1474,5.2835,0.2494,0.9729,0.0766,4.3106,0.2609,0,0,0,0,22.25,0.89,47.6,5.5,1.8,263,58,1968.3,43.0931
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,13.5,132.7,0.205,3.8977,0.1746,0.9412,0.0599,2.9565,0.1846,0,0,0,0,    ,   ,54.1,6.7,1.5,318,,1961.8,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,14.5,131.7,0.1918,2.8037,0.1626,0.6055,0.0558,2.1982,0.1719,0,0,0,0,    ,   ,59.5,7.9,1.9,355,,1956.4,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,15.5,130.7,0.2496,2.5862,0.1278,0.6936,0.0442,1.8927,0.1352,0,0,0,0,16.32,0.59,66.9,9.9,1.4,338,55,1949,24.4986
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,16.5,129.7,0.5833,1.4463,0.0788,0.5924,0.0278,0.8539,0.0836,0,0,0,0,4.54,0.17,   ,   ,  ,,26,   ,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,17.5,128.7,0.8093,1.0859,0.0532,0.6022,0.0217,0.4837,0.0575,0,0,0,0,1.74,0.09,   ,   ,  ,,13,   ,4.8487
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,18.5,127.7,0.9021,1.1047,0.0525,0.635,0.0201,0.4698,0.0562,0,0,0,0,1.08,0.06,   ,   ,  ,,,   ,     
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,19.5,126.7,1.1253,1.0636,0.0544,0.7883,0.0204,0.2753,0.0581,0,0,0,0,0.78,0.04,   ,   ,  ,,,   ,2.4717
E.G. Simmons,Young Mangrove,EGSA,10/21/2015,27.742156,-82.4676,20.5,125.7,0.8139,1.1431,0.0655,0.8915,0.0264,0.2516,0.0706,0,0,0,0,1.13,0.04,   ,   ,  ,,,   ,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,0.5,145.7,0.0244,8.6265,0.867,2.4546,0.2928,6.1719,0.9151,0,0,18.4,3.07,    ,   ,2.2,1.7,4.6,112,,2013.7,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,1.5,144.7,0.1405,8.2217,0.43,1.5472,0.1159,6.6745,0.4453,0,0,0,0,23.87,1.47,4.5,1.8,4.2,596,142,2011.4,50.1165
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,2.5,143.7,0.1379,8.6114,0.3944,1.4147,0.1184,7.1968,0.4118,0,0,0,0,    ,   ,7.2,1.9,3.7,511,,2008.7,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,3.5,142.7,0.13,9.4759,0.4539,1.4033,0.1465,8.0726,0.477,0,0,0,0,29.05,1.55,10.3,2,3.2,416,121,2005.5,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,4.5,141.7,0.1248,7.4482,0.4022,1.464,0.136,5.9842,0.4246,0,0,0,0,    ,   ,12.8,2.1,4.1,515,,2003.1,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,5.5,140.7,0.1844,5.015,0.2588,0.8728,0.0803,4.1422,0.2709,0,0,0,0,27.13,1.08,15.4,2.3,3.7,688,186,2000.4,53.0093
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,6.5,139.7,0.236,4.2196,0.2283,0.8624,0.0706,3.3573,0.239,0,0,0,0,    ,   ,18.5,2.5,3.3,776,,1997.4,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,7.5,138.7,0.2561,3.9876,0.246,0.6651,0.0717,3.3225,0.2563,0,0,0,0,16.91,0.65,22.1,2.7,2.8,707,119,1993.8,     
