study_id,site_id,core_id,live_rhizomes,live_roots,detritus,aboveground_stem_length,aboveground_mass
Deegan_et_al_2012,CL-R,CL-R13,5.191,1.684,8.071,157.2,12.36
Deegan_et_al_2012,CL-R,CL-R18,3.538,0.922,2.01,170.2,21.046
Deegan_et_al_2012,CL-R,CL-R24,1.212,1.172,7.859999999999999,154.8,15.766
Deegan_et_al_2012,CL-R,CL-R30,4.518,2.004,7.4110000000000005,200,24.49
Deegan_et_al_2012,CL-R,CL-R36,5.008,1.967,8.818999999999999,188,13.09
Deegan_et_al_2012,CL-R,CL-R40,3.911,1.008,9.785,139.8,12.182
Deegan_et_al_2012,NE-L,NE-L13,5.712,1.431,12.988,156.3,17.626
Deegan_et_al_2012,NE-L,NE-L2,2.784,0.619,15.843,183.7,18.841
Deegan_et_al_2012,NE-L,NE-L23,1.117,1.036,9.593,122.6,13.319
Deegan_et_al_2012,NE-L,NE-L29,5.614,1.786,20.582,142.1,15.205
Deegan_et_al_2012,NE-L,NE-L38,5.087000000000001,1.9340000000000002,9.437,139.7,14.814
Deegan_et_al_2012,NE-L,NE-L50,7.393,3.679,10.574,156.5,17
Deegan_et_al_2012,SW-L,SW-L45,1.324,0.471,13.002,176.5,13.674
Deegan_et_al_2012,SW-L,SW-L50,0,0.177,5.047,143.5,10.433
Deegan_et_al_2012,SW-L,SW-L56,4.5409999999999995,1.151,8.422,184,21.317
Deegan_et_al_2012,SW-L,SW-L71,5.847,2.2239999999999998,6.414,136.8,16.308
Deegan_et_al_2012,SW-L,SW-L77,4.705,1.251,9.928,142.2,15.503
Deegan_et_al_2012,SW-L,SW-L80,4.877,4.198,5.08,167.2,14.26
Deegan_et_al_2012,SW-R,SW-R1,1.7429999999999999,0.599,7.128,161.9,14.212
Deegan_et_al_2012,SW-R,SW-R13,4.683,1.9100000000000001,16.97,165.8,16.543
Deegan_et_al_2012,SW-R,SW-R28,1.54,0.14600000000000002,7.864,139.4,14.654
Deegan_et_al_2012,SW-R,SW-R33,4.767,1.156,5.167,134.6,12.892
Deegan_et_al_2012,SW-R,SW-R37,3.638,2.465,3.795,158,15.897
Deegan_et_al_2012,SW-R,SW-R8,0.657,0.27,11.081,146.2,13.506
Deegan_et_al_2012,WE-L,WE-L35,2.655,1.6889999999999998,16.799,164.2,13.293
Deegan_et_al_2012,WE-L,WE-L40,9.802,2.293,24.286,152,13.937
Deegan_et_al_2012,WE-L,WE-L45,0.381,0.037,3.063,174.7,19.206
Deegan_et_al_2012,WE-L,WE-L63,2.108,0.519,2.446,120.6,13.206
Deegan_et_al_2012,WE-L,WE-L68,1.63,3.188,9.546,152.4,13.416
Deegan_et_al_2012,WE-L,WE-L72,2.426,0.853,9.284,154.5,15.557
Deegan_et_al_2012,WE-R,WE-R1,2.188,0.965,20.781,168.2,13.794
Deegan_et_al_2012,WE-R,WE-R11,5.151,1.922,13.012,105.8,12.44
Deegan_et_al_2012,WE-R,WE-R23,1.023,0.46199999999999997,5.992,166.9,20.016
Deegan_et_al_2012,WE-R,WE-R27,5.736,3.149,22.661,177.1,13.386
Deegan_et_al_2012,WE-R,WE-R32,5.494,1.138,5.969,161.6,16.994
Deegan_et_al_2012,WE-R,WE-R5,5.2379999999999995,3.375,24.766,151.4,15.303
