Sample_ID,Marsh_type,U_depth_cm,L_depth_cm,TOC_perc
1a,Low,0,3,5.4
NA,Low,3,40,3.75
NA,Low,40,70,3
NA,Low,70,100,3.26
1b,Low,0,10,4.09
NA,Low,10,45,4.21
NA,Low,45,70,4.58
NA,Low,70,100,5.38
1c,Low,0,3,7.73
NA,Low,3,40,7.32
NA,Low,40,70,5.67
NA,Low,70,100,7.13
2a,NA,0,18,2.78
NA,NA,18,30,3.53
NA,NA,30,60,2.51
NA,NA,60,100,3
2b,NA,0,5,5.57
NA,NA,5,23,3.2
NA,NA,23,50,1.08
NA,NA,50,85,1.14
NA,NA,85,100,0.51
2c,NA,0,5,6.53
NA,NA,5,30,2.51
NA,NA,30,62,1.52
NA,NA,62,100,0.87
2d,NA,0,5,6.95
NA,NA,5,20,4.66
NA,NA,20,55,1.82
NA,NA,55,100,0.78
3a,Low,0,4,3.95
NA,Low,4,20,0.76
NA,Low,20,36,0.18
NA,Low,36,60,1.36
NA,Low,60,80,1.69
NA,Low,80,100,1.07
3b,NA,0,5,3.8
NA,NA,5,20,1.82
NA,NA,20,50,1.18
NA,NA,50,100,0.59
3c,NA,0,20,2.94
NA,NA,20,90,0.86
NA,NA,90,100,1.18
4a,Low,0,10,2.21
NA,Low,10,20,0.47
NA,Low,20,40,1.37
NA,Low,40,70,0.85
NA,Low,70,100,0.41
4b,Low,0,10,1.27
NA,Low,10,20,2.13
NA,Low,20,34,1.19
NA,Low,34,45,1.79
NA,Low,45,70,1.82
NA,Low,70,100,0.86
4c,Low,0,17,4.1
NA,Low,17,40,2.12
NA,Low,40,50,1.81
NA,Low,50,70,2.25
NA,Low,70,100,2.72
4d,NA,0,9,4.56
NA,NA,9,26,2.01
NA,NA,26,39,3.05
NA,NA,39,54,2.04
NA,NA,54,71,1.49
NA,NA,71,100,1.04
4e,NA,0,6,5.18
NA,NA,6,15,2.96
NA,NA,15,26,2.71
NA,NA,26,33,1.51
NA,NA,33,40,2.1
NA,NA,40,49,1.75
NA,NA,49,63,3.19
NA,NA,63,80,3.92
NA,NA,80,100,3.18
5a,Low,0,10,2.38
NA,Low,10,20,0.97
NA,Low,20,46,0.44
NA,Low,46,55,0.2
NA,Low,55,70,0.15
NA,Low,70,100,0.17
5b,Low,0,12,1.53
NA,Low,12,30,0.52
NA,Low,30,50,0.29
NA,Low,50,70,0.28
NA,Low,70,100,0.18
5c,Low,0,6,2.3
NA,Low,6,10,0.51
NA,Low,10,30,0.75
NA,Low,30,57,0.76
NA,Low,57,75,0.23
NA,Low,75,100,0.22
5d,Low,0,2,4.44
NA,Low,2,13,1.51
NA,Low,13,28,1.18
NA,Low,28,45,0.58
NA,Low,45,100,0.57
5e,NA,0,5,3.92
NA,NA,5,18,1.5
NA,NA,18,40,1.05
NA,NA,40,80,1.55
NA,NA,80,100,0.64
5f,Low,0,1,3.48
NA,Low,1,3,1.35
NA,Low,3,6,1.99
NA,Low,6,12,0.58
NA,Low,12,40,0.62
NA,Low,40,100,0.6
5g,NA,0,5,5.99
NA,NA,5,18,1.89
NA,NA,18,50,1.44
NA,NA,50,70,0.99
NA,NA,70,100,0.44
