study_id,site_id,core_id,year,latitude,longitude,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Morgan_et_al_2024,Saco_River,SRF_Q1,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q2,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q3,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q4,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q5,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q6,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q7,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q8,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q9,1997,43.40666667,-70.54138888888889,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q1,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q2,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q3,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q4,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q5,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q6,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q7,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q9,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q8,1997,43.44944444444444,-70.36416666666666,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q1,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q2,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q3,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q4,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q5,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q6,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q7,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q8,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,York_River,YRF_Q9,1997,43.13611111111111,-70.65361111111112,polyhaline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Inner_Cutts_Cove,ICCF_Q1,1997,43.08555555555556,-70.76638888888888,polyhaline,measurement,emergent,measurement,marsh,not specified
