study_id,site_id,site_description,site_latitude_max,site_longitude_max,salinity_class
Morgan_et_al_2024,Saco_River,"Saco River, Biddeford, ME",43.40666667,-70.54138888888889,saline
Morgan_et_al_2024,Biddeford_Pool_Fringing,"Biddeford Pool, Biddeford, ME",43.44944444444444,-70.36416666666666,polyhaline
Morgan_et_al_2024,York_River,"York River, York, ME",43.13611111111111,-70.65361111111112,polyhaline
Morgan_et_al_2024,Inner_Cutts_Cove,"Inner Cutts Cove, Portsmouth, NH",43.08555555555556,-70.76638888888888,polyhaline
Morgan_et_al_2024,Little_Harbor,"Little Harbor, Rye, NH",43.05583333333333,-70.73138888888889,saline
Morgan_et_al_2024,Biddeford_Pool_Meadow,"Biddeford Pool, Biddeford, ME",43.45416666666667,-70.37472222222222,estuarine
Morgan_et_al_2024,Mousam_River,"Mousam River, Kennebunk, ME",43.346944444444446,-70.51083333333334,saline
Morgan_et_al_2024,Little_River,"Little River, Wells, ME",43.34,-70.54416666666667,saline
Morgan_et_al_2024,Drakes_Island,"Drake's Island, Wells, ME",43.32694444444445,-70.56277777777777,saline
Morgan_et_al_2024,Seavey_Creek,"Seavey Creek, Rye, NH",43.04805555555556,-70.72361111111111,saline
