study_id,site_id,plot_id,plot_center_latitude,plot_center_longitude,salinity_class,year,field_or_manipulation_code,habitat,aboveground_biomass,plant_plot_detail_present,soil_core_present
Morgan_et_al_2024,Saco_River,SRF_Q1,43.460436,-70.386058,saline,1997,field,marsh,5.09424,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q2,43.460436,-70.386058,saline,1997,field,marsh,0.39647999999999983,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q3,43.460436,-70.386058,saline,1997,field,marsh,0.7444799999999999,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q4,43.460436,-70.386058,saline,1997,field,marsh,2.2904,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q5,43.460436,-70.386058,saline,1997,field,marsh,2.6912000000000003,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q6,43.460436,-70.386058,saline,1997,field,marsh,5.7528,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q7,43.460436,-70.386058,saline,1997,field,marsh,1.996,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q8,43.460436,-70.386058,saline,1997,field,marsh,3.98848,no,yes
Morgan_et_al_2024,Saco_River,SRF_Q9,43.460436,-70.386058,saline,1997,field,marsh,6.69456,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q1,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q2,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q3,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q4,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q5,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q6,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q7,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Saco_River,UNEF_Q8,43.460436,-70.386058,saline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q1,43.449944,-70.363794,polyhaline,1997,field,marsh,4.3094399999999995,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q2,43.449944,-70.363794,polyhaline,1997,field,marsh,1.02816,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q3,43.449944,-70.363794,polyhaline,1997,field,marsh,1.7003199999999998,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q4,43.449944,-70.363794,polyhaline,1997,field,marsh,2.28224,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q5,43.449944,-70.363794,polyhaline,1997,field,marsh,1.22032,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q6,43.449944,-70.363794,polyhaline,1997,field,marsh,2.804,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q7,43.449944,-70.363794,polyhaline,1997,field,marsh,0.8984000000000001,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q9,43.449944,-70.363794,polyhaline,1997,field,marsh,2.8376,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q2,43.449944,-70.363794,polyhaline,1997,field,marsh,NA,no,yes
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q3,43.449944,-70.363794,polyhaline,1997,field,marsh,NA,no,yes
