study_id,site_id,core_id,species_code,code_type
Eagle_et_al_2021,Martin Peña West,MPW1,Rhizophora mangle,Genus species
Eagle_et_al_2021,Martin Peña West,MPW1,Laguncularia racemosa,Genus species
Eagle_et_al_2021,Martin Peña West,MPW1,Avicennia germinans,Genus species
Eagle_et_al_2021,Martin Peña East,MPE1,Rhizophora mangle,Genus species
Eagle_et_al_2021,Martin Peña East,MPE1,Laguncularia racemosa,Genus species
Eagle_et_al_2021,Martin Peña East,MPE1,Avicennia germinans,Genus species
Eagle_et_al_2021,Martin Peña East,MPE2,Rhizophora mangle,Genus species
Eagle_et_al_2021,Martin Peña East,MPE2,Laguncularia racemosa,Genus species
Eagle_et_al_2021,Martin Peña East,MPE2,Avicennia germinans,Genus species
Eagle_et_al_2021,Torrecilla Lagoon,TORR1,Rhizophora mangle,Genus species
Eagle_et_al_2021,Torrecilla Lagoon,TORR1,Laguncularia racemosa,Genus species
Eagle_et_al_2021,Torrecilla Lagoon,TORR1,Avicennia germinans,Genus species
Eagle_et_al_2021,Torrecilla Lagoon,TORR2,Rhizophora mangle,Genus species
Eagle_et_al_2021,Torrecilla Lagoon,TORR2,Laguncularia racemosa,Genus species
Eagle_et_al_2021,Torrecilla Lagoon,TORR2,Avicennia germinans,Genus species
Eagle_et_al_2021,San José Lagoon,SJ1,Rhizophora mangle,Genus species
Eagle_et_al_2021,San José Lagoon,SJ1,Laguncularia racemosa,Genus species
Eagle_et_al_2021,San José Lagoon,SJ1,Avicennia germinans,Genus species
Eagle_et_al_2021,San José Lagoon,SJ2,Rhizophora mangle,Genus species
Eagle_et_al_2021,San José Lagoon,SJ2,Laguncularia racemosa,Genus species
Eagle_et_al_2021,San José Lagoon,SJ2,Avicennia germinans,Genus species
Eagle_et_al_2021,Piñones,PIN1,Avicennia germinans,Genus species
Eagle_et_al_2021,Piñones,PIN2,Avicennia germinans,Genus species
