study_id,site_id,core_id,year,month,day,latitude,longitude,position_accuracy,position_method,position_notes,vegetation_class,habitat,inundation_notes,core_length_flag
Eagle_et_al_2021,Martin Peña West,MPW1,2016,3,5,18.43308,-66.05859,5,other moderate resolution,cellphone GPS,forested,mangrove,"Dredged canal, relative flushing at this site is medium to high",core depth limited by length of corer
Eagle_et_al_2021,Martin Peña East,MPE1,2016,3,5,18.42839,-66.03943,5,other moderate resolution,cellphone GPS,forested,mangrove,"Clogged canal, relative flushing at this site is low",core depth limited by length of corer
Eagle_et_al_2021,Martin Peña East,MPE2,2016,3,5,18.42839,-66.03943,5,other moderate resolution,cellphone GPS,forested,mangrove,"Clogged canal, relative flushing at this site is low",core depth limited by length of corer
Eagle_et_al_2021,Torrecilla Lagoon,TORR1,2016,3,3,18.43973,-65.98142,5,other moderate resolution,cellphone GPS,forested,mangrove,Relative flushing at this site is medium to high,core depth limited by length of corer
Eagle_et_al_2021,Torrecilla Lagoon,TORR2,2016,3,3,18.43973,-65.98142,5,other moderate resolution,cellphone GPS,forested,mangrove,Relative flushing at this site is medium to high,core depth limited by length of corer
Eagle_et_al_2021,San José Lagoon,SJ1,2016,3,3,18.42991,-66.03431,5,other moderate resolution,cellphone GPS,forested,mangrove,Relative flushing at this site is medium,core depth limited by length of corer
Eagle_et_al_2021,San José Lagoon,SJ2,2016,3,3,18.42991,-66.03431,5,other moderate resolution,cellphone GPS,forested,mangrove,Relative flushing at this site is medium,core depth limited by length of corer
Eagle_et_al_2021,Piñones,PIN1,2016,3,6,18.44027,-65.95644,5,other moderate resolution,cellphone GPS,forested,mangrove,Relative flushing at this site is low,core depth limited by length of corer
Eagle_et_al_2021,Piñones,PIN2,2016,3,6,18.44027,-65.95644,5,other moderate resolution,cellphone GPS,forested,mangrove,Relative flushing at this site is low,core depth limited by length of corer
