study_id,site_id,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method
Gundersen_et_al_2024,BN,35.9496,35.9328,-76.3828,-76.3877,oligohaline,measurement
Gundersen_et_al_2024,PH,35.9903,35.9872,-76.07,-76.0726,oligohaline,measurement
Gundersen_et_al_2024,BH,35.915,35.9101,-75.9256,-75.9403,oligohaline,measurement
Gundersen_et_al_2024,PP,35.7703,35.7681,-75.7414,-75.7686,mesohaline,measurement
