study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit
Gundersen_et_al_2024,BN,BN1,single set of methods,0,2,0.09,0.51,0,0,becquerelPerKilogram,83.58,6.69,133.58,3.55,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,2,4,0.12,NA,46.83,6,becquerelPerKilogram,66.63,6.5,116.63,3.18,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,4,6,0.13,NA,46.67,2.17,becquerelPerKilogram,66.66,6.51,116.66,3.2,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,6,8,0.19,NA,44.33,2.67,becquerelPerKilogram,41.01,6.32,91.01,2.79,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,8,10,0.15,0.49,45.83,4.17,becquerelPerKilogram,27.79,6.11,77.79,2.28,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,10,12,0.16,NA,25.33,2,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,12,14,0.19,NA,24.83,4,becquerelPerKilogram,6.71,5.91,56.71,1.67,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,16,18,0.15,NA,NA,NA,NA,0,5.85,45.34,1.45,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,20,22,0.14,NA,NA,NA,NA,0,5.89,48.35,1.59,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,24,26,0.11,NA,NA,NA,NA,7.32,6.31,57.32,2.78,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN1,single set of methods,28,30,0.14,0.53,NA,NA,NA,0,6.05,47.36,2.11,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,0,2,0.22,0.21,NA,NA,NA,200.18,6.62,226.85,6.62,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,2,4,0.24,NA,NA,NA,NA,230.25,7.48,256.92,7.48,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,4,6,0.24,NA,33.67,2.33,becquerelPerKilogram,234.14,7.5,260.8,7.5,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,6,8,0.27,NA,NA,NA,NA,202.99,6.83,229.65,6.83,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,8,10,0.25,0.19,NA,NA,NA,181.42,6.4,208.09,6.4,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,10,12,0.24,NA,30.33,1.17,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,12,14,0.27,NA,NA,NA,NA,183.82,6.06,210.49,6.06,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,16,18,0.25,NA,NA,NA,NA,157.58,5.72,184.24,5.72,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,20,22,0.26,NA,56.17,2.5,becquerelPerKilogram,138.91,5.13,165.57,5.13,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,24,26,0.31,NA,64,2.33,becquerelPerKilogram,130.68,5.02,157.35,5.02,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,26,28,0.34,NA,74.83,1.83,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,28,30,0.3,0.16,66,1.83,becquerelPerKilogram,76.77,3.5,103.44,3.5,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN2,single set of methods,30,32,0.28,NA,77.67,2.67,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,32,34,0.25,NA,70.67,1.83,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,34,36,0.24,NA,60.83,1.5,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,40,42,0.23,NA,27.33,1.17,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,44,46,0.19,NA,7.83,1.33,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,46,48,0.22,NA,4.17,1.67,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,0,2,0.33,0.47,NA,NA,NA,104.53,9.34,124.53,4.21,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,2,4,0.36,NA,NA,NA,NA,108.89,9.56,128.89,4.68,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,4,6,0.44,NA,0.83,2.67,becquerelPerKilogram,114.27,9.68,134.27,4.92,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,6,8,0.4,NA,NA,NA,NA,107.1,9.68,127.1,4.93,becquerelPerKilogram
