study_id,site_id,core_id,species_code,code_type
Gundersen_et_al_2024,BN,BN1,Nyssa aquatica,Genus species
Gundersen_et_al_2024,BN,BN1,Taxodium distichum,Genus species
Gundersen_et_al_2024,BN,BN1,Acer rubrum,Genus species
Gundersen_et_al_2024,BN,BN2,Nyssa sylvatica,Genus species
Gundersen_et_al_2024,BN,BN2,Acer rubrum,Genus species
Gundersen_et_al_2024,BN,BN3,Phragmites australis,Genus species
Gundersen_et_al_2024,PH,PH1,Pinus serotina,Genus species
Gundersen_et_al_2024,PH,PH1,Nyssa sylvatica,Genus species
Gundersen_et_al_2024,PH,PH2,Pinus serotina,Genus species
Gundersen_et_al_2024,PH,PH3,Sporobolus sp.,Genus
Gundersen_et_al_2024,PH,PH4,Pinus sp.,Genus
Gundersen_et_al_2024,PH,PH4,Taxodium distichum,Genus
Gundersen_et_al_2024,BH,BH1,Pinus taeda,Genus species
Gundersen_et_al_2024,BH,BH1,Nyssa sylvatica,Genus species
Gundersen_et_al_2024,BH,BH2,Cladium sp.,Genus
Gundersen_et_al_2024,BH,BH3,Cladium sp.,Genus
Gundersen_et_al_2024,BH,BH3,Phragmities australis,Genus
Gundersen_et_al_2024,PP,PP1,Pinus taeda,Genus species
Gundersen_et_al_2024,PP,PP2,Ilex glabra,Genus species
Gundersen_et_al_2024,PP,PP2,Myrica cefirea,Genus species
Gundersen_et_al_2024,PP,PP3,Spartina sp.,Genus
