"study_id","site_id","core_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon_measured","fraction_carbon_modeled","fraction_nitrogen","C_to_N_ratio","carbon_stock","carbon_density","depth_interval_notes"
"sanborn_and_coxson_2020","BC14-22","391",10,17,"391a",0.24,0.1795,NA,0.00918,19.5533769063181,7.3236,0.04308,"Ah horizon"
"sanborn_and_coxson_2020","BC14-22","391",35,42,"391b",0.51,0.0609,NA,0.00423,14.3971631205674,10.24947,0.031059,"Cg1 horizon"
"sanborn_and_coxson_2020","BC14-22","391",60,67,"391c",0.82,0.0264,NA,0.00189,13.968253968254,7.5768,0.021648,"Cg2 horizon"
"sanborn_and_coxson_2020","BC14-23","392",8,15,"392a",0.5,0.0657,NA,0.0041,16.0243902439024,4.9275,0.03285,"Ah horizon"
"sanborn_and_coxson_2020","BC14-23","392",NA,NA,"392b",NA,NA,0.0078,0.00056,13.9285714285714,1.17,0.0039,"Extrapolated depth interval: 15-45; Cg1 horizon"
"sanborn_and_coxson_2020","BC14-23","392",NA,NA,"392c",NA,NA,0.0095,0.00052,18.2692307692308,2.1375,0.00475,"Extrapolated depth interval: 45-90; Cg2 horizon"
"sanborn_and_coxson_2020","BC14-25","393",10,17,"393a",1.24,0.0133,NA,0.00076,17.5,4.9476,0.016492,"Cg1 horizon"
"sanborn_and_coxson_2020","BC14-25","393",NA,NA,"393b",NA,NA,0.0286,0.00084,34.047619047619,7.0928,0.035464,"Extrapolated depth interval: 30-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC14-26","394",1,8,"394a",0.46,0.0633,NA,0.00427,14.824355971897,3.78534,0.029118,"Ah horizon"
"sanborn_and_coxson_2020","BC14-26","394",30,37,"394b",0.73,0.0356,NA,0.00233,15.2789699570815,16.11256,0.025988,"Cg horizon"
"sanborn_and_coxson_2020","BC14-27","395",0,7,"395a",0.22,0.1841,NA,0.01093,16.843549862763,4.0502,0.040502,"Ah horizon"
"sanborn_and_coxson_2020","BC14-27","395",35,42,"395b",0.26,0.0873,NA,0.00461,18.9370932754881,14.7537,0.022698,"Cg horizon"
