"study_id","site_id","core_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon_measured","fraction_carbon_modeled","fraction_nitrogen","C_to_N_ratio","carbon_stock","carbon_density","depth_interval_notes"
"sanborn_and_coxson_2020","BC14-28","396",10,17,"396a",0.31,0.1277,NA,0.00782,16.3299232736573,9.10501,0.039587,"Ah horizon"
"sanborn_and_coxson_2020","BC14-28","396",42,49,"396b",0.4,0.0809,NA,0.00459,17.6252723311547,15.2092,0.03236,"Cg horizon"
"sanborn_and_coxson_2020","BC14-29","397",8,15,"397a",0.59,0.0403,NA,0.00272,14.8161764705882,4.7554,0.023777,"Ah horizon"
"sanborn_and_coxson_2020","BC14-29","397",35,42,"397b",0.64,0.0317,NA,0.0019,16.6842105263158,7.1008,0.020288,"AC horizon"
"sanborn_and_coxson_2020","BC14-29","397",65,72,"397c",0.8,0.0269,NA,0.00154,17.4675324675325,7.532,0.02152,"C horizon"
"sanborn_and_coxson_2020","BC14-30","398",10,17,"398a",1.09,0.0142,NA,0.00091,15.6043956043956,3.8695,0.015478,"AC horizon"
"sanborn_and_coxson_2020","BC14-30","398",NA,NA,"398b",NA,NA,0.0118,0.00078,15.1282051282051,1.99125,0.013275,"Extrapolated depth interval: 25-40; Cg1 horizon"
"sanborn_and_coxson_2020","BC14-30","398",65,72,"398c",1.16,0.0127,NA,0.00082,15.4878048780488,5.8928,0.014732,"Cg2 horizon"
"sanborn_and_coxson_2020","BC14-31","399",25,32,"399a",0.59,0.0455,NA,0.00289,15.7439446366782,12.08025,0.026845,"AC horizon"
"sanborn_and_coxson_2020","BC14-31","399",65,72,"399b",0.78,0.026,NA,0.00151,17.2185430463576,7.098,0.02028,"Cg horizon"
"sanborn_and_coxson_2020","BC17-08","400",0,7,"400a",0.55,0.0466,NA,0.00319,14.6081504702194,3.0756,0.02563,"Om horizon"
"sanborn_and_coxson_2020","BC17-08","400",NA,NA,"400b",NA,NA,0.0359,0.00247,14.5344129554656,6.01325,0.024053,"Extrapolated depth interval: 12-37; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-08","400",50,57,"400c",0.79,0.0372,NA,0.00212,17.5471698113208,7.347,0.029388,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-08","400",75,82,"400d",0.91,0.0248,NA,0.00169,14.6745562130178,5.642,0.022568,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-08","400",NA,NA,"400e",NA,NA,0.0266,0.00153,17.3856209150327,3.14678,0.024206,"Extrapolated depth interval: 87-100; Cg4 horizon"
"sanborn_and_coxson_2020","BC17-09","401",0,7,"401a",0.72,0.0305,NA,0.00185,16.4864864864865,5.49,0.02196,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-09","401",NA,NA,"401b",NA,NA,0.013,0.00074,17.5675675675676,3.36375,0.013455,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-09","401",50,57,"401c",1.35,0.0107,NA,6e-04,17.8333333333333,3.61125,0.014445,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-09","401",80,87,"401d",1.35,0.0096,NA,0.00055,17.4545454545455,3.24,0.01296,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-10","402",0,7,"402a",1.1,0.0092,NA,0.00059,15.5932203389831,2.53,0.01012,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-10","402",NA,NA,"402b",NA,NA,0.0095,0.00055,17.2727272727273,2.8975,0.01159,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-10","402",50,57,"402c",1.34,0.0077,NA,0.00049,15.7142857142857,2.5795,0.010318,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-10","402",80,87,"402d",1.08,0.0102,NA,6e-04,17,2.754,0.011016,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-11","403",0,7,"403a",0.24,0.1504,NA,0.00891,16.8799102132435,9.024,0.036096,"Om horizon"
"sanborn_and_coxson_2020","BC17-11","403",NA,NA,"403b",NA,NA,0.0492,0.00307,16.0260586319218,6.3345,0.025338,"Extrapolated depth interval: 25-50; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-11","403",50,57,"403c",0.79,0.0337,NA,0.00241,13.9834024896266,6.65575,0.026623,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-11","403",80,87,"403d",0.92,0.0302,NA,0.00178,16.9662921348315,6.946,0.027784,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-12","404",0,7,"404a",0.55,0.056,NA,0.00355,15.7746478873239,7.7,0.0308,"Om horizon"
"sanborn_and_coxson_2020","BC17-12","404",NA,NA,"404b",NA,NA,0.0474,0.00251,18.8844621513944,6.636,0.026544,"Extrapolated depth interval: 25-50; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-12","404",50,57,"404c",0.57,0.0424,NA,0.00217,19.5391705069124,6.042,0.024168,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-12","404",80,87,"404d",0.72,0.0354,NA,0.00174,20.3448275862069,6.372,0.025488,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-13","405",0,7,"405a",1.22,0.0116,NA,7e-04,16.5714285714286,3.538,0.014152,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-13","405",NA,NA,"405b",NA,NA,0.0086,0.00053,16.2264150943396,2.709,0.010836,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-13","405",50,57,"405c",1.3,0.0084,NA,0.00051,16.4705882352941,2.73,0.01092,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-13","405",80,87,"405d",1.34,0.0089,NA,0.00052,17.1153846153846,2.9815,0.011926,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-14","406",0,7,"406a",1.23,0.0183,NA,0.00096,19.0625,5.62725,0.022509,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-14","406",NA,NA,"406b",NA,NA,0.0076,0.00032,23.75,2.451,0.009804,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-14","406",50,57,"406c",1.35,0.0094,NA,0.00051,18.4313725490196,3.1725,0.01269,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-14","406",75,82,"406d",1.21,0.0101,NA,0.00055,18.3636363636364,3.05525,0.012221,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-15","407",0,7,"407a",0.6,0.0384,NA,0.00238,16.1344537815126,5.76,0.02304,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-15","407",NA,NA,"407b",NA,NA,0.0251,0.00161,15.5900621118012,5.051375,0.0202055,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-15","407",50,57,"407c",1.01,0.0234,NA,0.00132,17.7272727272727,5.9085,0.023634,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-15","407",90,97,"407d",1.46,0.0114,NA,0.00061,18.6885245901639,4.161,0.016644,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-16","408",20,27,"408a",0.18,0.2503,NA,0.01308,19.1360856269113,18.0216,0.045054,"Om horizon"
"sanborn_and_coxson_2020","BC17-16","408",50,57,"408b",0.36,0.0728,NA,0.00419,17.3747016706444,9.1728,0.026208,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-16","408",80,87,"408c",0.31,0.067,NA,0.00394,17.005076142132,5.1925,0.02077,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-17","409",10,17,"409a",0.34,0.1187,NA,0.00659,18.0121396054628,10.0895,0.040358,"Om horizon"
"sanborn_and_coxson_2020","BC17-17","409",NA,NA,"409b",NA,NA,0.0723,0.0043,16.8139534883721,8.224125,0.0328965,"Extrapolated depth interval: 25-50; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-17","409",50,57,"409c",0.57,0.0425,NA,0.00266,15.9774436090226,6.05625,0.024225,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-17","409",80,87,"409d",0.82,0.0284,NA,0.00173,16.4161849710983,5.822,0.023288,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-18","410",0,7,"410a",0.51,0.0485,NA,0.00286,16.958041958042,6.18375,0.024735,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-18","410",NA,NA,"410b",NA,NA,0.0326,0.00187,17.4331550802139,5.17525,0.020701,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-18","410",50,57,"410c",0.76,0.0541,NA,0.00277,19.5306859205776,10.279,0.041116,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-18","410",80,87,"410d",1.26,0.0127,NA,0.00068,18.6764705882353,4.0005,0.016002,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-19","411",0,7,"411a",1.31,0.0144,NA,0.00071,20.2816901408451,4.716,0.018864,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-19","411",NA,NA,"411b",NA,NA,0.0128,0.00061,20.9836065573771,4.032,0.016128,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-19","411",50,57,"411c",1.21,0.0085,NA,0.00039,21.7948717948718,2.57125,0.010285,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-19","411",90,97,"411d",1.24,0.0084,NA,4e-04,21,2.604,0.010416,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-20","412",10,17,"412a",0.3,0.1079,NA,0.00683,15.7979502196193,8.0925,0.03237,"Om horizon"
"sanborn_and_coxson_2020","BC17-20","412",NA,NA,"412b",NA,NA,0.0549,0.00405,13.5555555555556,7.27425,0.029097,"Extrapolated depth interval: 25-50; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-20","412",50,57,"412c",0.76,0.0362,NA,0.00243,14.8971193415638,6.878,0.027512,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-20","412",80,87,"412d",0.69,0.0399,NA,0.00237,16.8354430379747,6.88275,0.027531,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-21","413",0,7,"413a",0.44,0.0593,NA,0.0036,16.4722222222222,3.9138,0.026092,"Om horizon"
"sanborn_and_coxson_2020","BC17-21","413",40,47,"413b",0.87,0.0306,NA,0.00203,15.0738916256158,9.3177,0.026622,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-21","413",NA,NA,"413c",NA,NA,0.0182,0.00127,14.3307086614173,4.16325,0.016653,"Extrapolated depth interval: 50-75; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-21","413",80,87,"413d",0.96,0.0224,NA,0.00136,16.4705882352941,5.376,0.021504,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-22","414",0,7,"414a",0.15,0.189,NA,0.01127,16.7701863354037,7.0875,0.02835,"Om1 horizon"
"sanborn_and_coxson_2020","BC17-22","414",25,32,"414b",0.22,0.191,NA,0.01049,18.2078169685415,10.505,0.04202,"Om2 horizon"
"sanborn_and_coxson_2020","BC17-22","414",NA,NA,"414c",NA,NA,0.0945,0.00492,19.2073170731707,7.205625,0.0288225,"Extrapolated depth interval: 50-75; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-22","414",80,87,"414d",0.39,0.0882,NA,0.00405,21.7777777777778,8.5995,0.034398,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-23","415",0,7,"415a",0.45,0.0557,NA,0.00339,16.4306784660767,2.5065,0.025065,"Om horizon"
"sanborn_and_coxson_2020","BC17-23","415",NA,NA,"415b",NA,NA,0.0431,0.00248,17.3790322580645,3.68505,0.024567,"Extrapolated depth interval: 10-25; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-23","415",NA,NA,"415c",NA,NA,0.0269,0.00165,16.3030303030303,4.64025,0.018561,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-23","415",50,57,"415d",0.81,0.0289,NA,0.0016,18.0625,5.85225,0.023409,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-23","415",80,87,"415e",0.96,0.0236,NA,0.00133,17.7443609022556,5.664,0.022656,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-24","416",10,17,"416a",0.33,0.1545,NA,0.00834,18.5251798561151,12.74625,0.050985,"Om horizon"
"sanborn_and_coxson_2020","BC17-24","416",NA,NA,"416b",NA,NA,0.0557,0.00353,15.7790368271955,8.912,0.035648,"Extrapolated depth interval: 25-50; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-24","416",50,57,"416c",0.95,0.0388,NA,0.00268,14.4776119402985,9.215,0.03686,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-24","416",90,97,"416d",0.85,0.0389,NA,0.00236,16.4830508474576,8.26625,0.033065,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-25","417",0,7,"417a",0.54,0.0632,NA,0.00345,18.3188405797101,3.4128,0.034128,"Om horizon"
"sanborn_and_coxson_2020","BC17-25","417",35,42,"417b",0.65,0.0359,NA,0.00209,17.177033492823,9.334,0.023335,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-25","417",NA,NA,"417c",NA,NA,0.0307,0.00168,18.2738095238095,6.331875,0.0253275,"Extrapolated depth interval: 50-75; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-25","417",80,87,"417d",1,0.0145,NA,0.00076,19.0789473684211,3.625,0.0145,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-26","418",10,17,"418a",1.28,0.0142,NA,0.00076,18.6842105263158,4.544,0.018176,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-26","418",NA,NA,"418b",NA,NA,0.0119,0.00069,17.2463768115942,3.927,0.015708,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-26","418",68,75,"418c",1.36,0.0109,NA,0.00064,17.03125,3.706,0.014824,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-26","418",NA,NA,"418d",NA,NA,0.0104,0.00058,17.9310344827586,3.536,0.014144,"Extrapolated depth interval: 75-100; Cg4 horizon"
"sanborn_and_coxson_2020","BC17-27","419",NA,NA,"419a",NA,NA,0.0186,0.00074,25.1351351351351,6.231,0.024924,"Extrapolated depth interval: 0-25; Cg1 horizon"
"sanborn_and_coxson_2020","BC17-27","419",NA,NA,"419b",NA,NA,0.0401,0.00098,40.9183673469388,26.867,0.053734,"Extrapolated depth interval: 25-75; IIAhb horizon"
"sanborn_and_coxson_2020","BC17-27","419",75,82,"419c",1.34,0.0161,NA,0.00063,25.5555555555556,5.3935,0.021574,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-28","420",0,7,"420a",0.42,0.0583,NA,0.00394,14.7969543147208,2.4486,0.024486,"Om horizon"
"sanborn_and_coxson_2020","BC17-28","420",25,32,"420b",0.67,0.0453,NA,0.00278,16.294964028777,10.62285,0.030351,"Cg horizon"
"sanborn_and_coxson_2020","BC17-28","420",NA,NA,"420c",NA,NA,0.0121,0.00041,29.5121951219512,4.45885,0.008107,"Extrapolated depth interval: 45-100; IICg horizon"
"sanborn_and_coxson_2020","BC17-29","421",0,7,"421a",0.14,0.0946,NA,0.0055,17.2,3.311,0.013244,"Om1 horizon"
"sanborn_and_coxson_2020","BC17-29","421",25,32,"421b",0.38,0.1444,NA,0.00954,15.1362683438155,13.718,0.054872,"Om2 horizon"
"sanborn_and_coxson_2020","BC17-29","421",NA,NA,"421c",NA,NA,0.0244,0.00081,30.1234567901235,3.7088,0.009272,"Extrapolated depth interval: 50-90; Cg horizon"
"sanborn_and_coxson_2020","BC17-30","422",10,17,"422a",1.19,0.016,NA,0.00084,19.047619047619,4.76,0.01904,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-30","422",40,47,"422b",1.19,0.0161,NA,0.00084,19.1666666666667,4.78975,0.019159,"Cg2 horizon"
"sanborn_and_coxson_2020","BC17-30","422",NA,NA,"422c",NA,NA,0.0205,0.00105,19.5238095238095,6.81625,0.027265,"Extrapolated depth interval: 50-75; Cg3 horizon"
"sanborn_and_coxson_2020","BC17-30","422",80,87,"422d",1.47,0.0146,NA,0.00081,18.0246913580247,5.3655,0.021462,"Cg4 horizon"
"sanborn_and_coxson_2020","BC17-31","423",10,17,"423a",1.2,0.012,NA,0.00066,18.1818181818182,3.6,0.0144,"Cg1 horizon"
"sanborn_and_coxson_2020","BC17-31","423",NA,NA,"423b",NA,NA,0.0138,0.00068,20.2941176470588,4.5195,0.018078,"Extrapolated depth interval: 25-50; Cg2 horizon"
"sanborn_and_coxson_2020","BC17-31","423",50,57,"423c",1.42,0.0092,NA,0.00044,20.9090909090909,3.266,0.013064,"Cg3 horizon"
"sanborn_and_coxson_2020","BC17-31","423",80,87,"423d",1.18,0.0078,NA,0.00051,15.2941176470588,2.301,0.009204,"Cg4 horizon"
