"study_id","site_id","core_id","species_code","family","genus","species"
"sanborn_and_coxson_2020","BC14-22","391","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-22","391","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-22","391","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-22","391","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC14-22","391","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC14-22","391","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC14-22","391","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-22","391","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC14-23","392","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-23","392","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-23","392","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-23","392","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-23","392","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC14-23","392","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC14-25","393","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-26","394","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-26","394","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-26","394","DecCes",NA,"Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-26","394","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC14-26","394","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-26","394","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC14-26","394","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC14-27","395","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC14-27","395","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-27","395","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-27","395","ConGme",NA,"Conioselinum","gmelinii"
"sanborn_and_coxson_2020","BC14-27","395","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-27","395","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC14-27","395","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC14-27","395","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-27","395","SciMic","Cyperaceae","Scirpus","microcarpus"
"sanborn_and_coxson_2020","BC14-27","395","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC14-27","395","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC14-28","396","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC14-28","396","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-28","396","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-28","396","CasHye",NA,"Castilleja","hyetophila"
"sanborn_and_coxson_2020","BC14-28","396","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-28","396","FesRub",NA,"Festuca","rubra"
