study_id,site_id,core_id,core_year,pb210_cic_accretion_rate,pb210_cic_max_depth,pb210_cic_r2,pb210_cic_notes
Elsey-Quirk_et_al_2011,Little_Assawoman,Juncus_roemerianus_core,2008,1.8,40,0.89,From figure 4.
Elsey-Quirk_et_al_2011,Little_Assawoman,Spartina_alterniflora_core,2008,2.3,46,0.9,From figure 4.
