"[Abbreviations: ID, identification; cm, centimeter; ppm, parts per million]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core ID,"Depth
(cm)",Mode,"Phosphorus
(ppm)","Phosphorus
Standard Deviation
(ppm)","Sulfur
(ppm)","Sulfur
Standard Deviation
(ppm)","Chlorine
(ppm)","Chlorine
Standard Deviation
(ppm)","Potassium
(ppm)","Potassium
Standard Deviation
(ppm)","Calcium
(ppm)","Calcium
Standard Deviation
(ppm)","Titanium
(ppm)","Titanium
Standard Deviation
(ppm)","Vanadium
(ppm)","Vanadium
Standard Deviation
(ppm)","Chromium
(ppm)","Chromium
Standard Deviation
(ppm)","Manganese
(ppm)","Manganese
Standard Deviation
(ppm)","Iron
(ppm)","Iron
Standard Deviation
(ppm)","Cobalt
(ppm)","Cobalt
Standard Deviation
(ppm)","Nickel
(ppm)","Nickel
Standard Deviation
(ppm)","Copper
(ppm)","Copper
Standard Deviation
(ppm)","Zinc
(ppm)","Zinc
Standard Deviation
(ppm)","Arsenic
(ppm)","Arsenic
Standard Deviation
(ppm)","Selenium
(ppm)","Selenium
Standard Deviation
(ppm)","Bromine
(ppm)","Bromine
Standard Deviation
(ppm)","Rubidium
(ppm)","Rubidium
Standard Deviation
(ppm)","Strontium
(ppm)","Strontium
Standard Deviation
(ppm)","Zirconium
(ppm)","Zirconium
Standard Deviation
(ppm)","Molybdenum
(ppm)","Molybdenum
Standard Deviation
(ppm)","Rhodium
(ppm)","Rhodium
Standard Deviation
(ppm)","Palladium
(ppm)","Palladium
Standard Deviation
(ppm)","Silver
(ppm)","Silver
Standard Deviation
(ppm)","Cadmium
(ppm)","Cadmium
Standard Deviation
(ppm)","Tin
(ppm)","Tin
Standard Deviation
(ppm)","Antimony
(ppm)","Antimony
Standard Deviation
(ppm)","Barium
(ppm)","Barium
Standard Deviation
(ppm)","Platinum
(ppm)","Platinum
Standard Deviation
(ppm)","Gold
(ppm)","Gold
Standard Deviation
(ppm)","Mercury
(ppm)","Mercury
Standard Deviation
(ppm)","Lead
(ppm)","Lead
Standard Deviation
(ppm)"
GB53R,0,Soil,0,2435,1363,195,7887,170,1014,39,0,66,515,13,77,14,16,2,21,3,1683,27,0,28,0,14,0,6,16,1.6,0,3.1,0,2.9,1290,24,7.8,1,14.1,0.8,96.7,1.9,0,2.9,0,9,0,12,0,13,0,14,0,24,0,27,0,217,0,7,0,5.9,0,4,0,4.8
GB53R,2,Soil,0,2883,1824,246,7867,198,1311,53,0,78,897,20,143,21,9,3,10,3,2218,33,42,11,0,14,0,7,11.4,1.6,0,3.3,0,3.1,1170,24,11.2,1.1,16.6,0.9,225,4,0,3.6,0,9,0,13,0,14,0,16,0,27,0,30,0,250,0,7,0,6,0,4.9,0,5.1
GB53R,4,Soil,0,2932,1761,232,8802,201,1181,48,0,74,768,17,91,18,10,2,11,3,2019,31,0,32,0,15,0,7,7.7,1.5,0,3.3,0,3.1,1187,24,10.7,1.1,14.9,0.9,258,4,0,3.7,0,9,0,13,0,14,0,16,0,27,0,30,0,267,0,7,0,7,0,4.6,0,5.4
GB53R,6,Soil,0,2416,1750,207,7926,172,905,38,0,69,388,11,81,13,0,5.8,0,7,1633,27,0,28,0,13,0,7,10.9,1.5,0,3.3,0,2.8,1538,26,9.3,1.1,15.9,0.8,84.1,1.8,0,3,0,9,0,12,0,13,0,15,0,24,0,27,0,224,0,6,0,6,0,4.1,0,5
GB53R,8,Soil,0,2875,2167,250,6731,178,1771,59,0,83,1091,21,160,22,16,3,11,3,2443,35,35,12,0,15,0,7,13.7,1.7,0,3.4,0,3.2,1121,23,11.5,1.1,19.1,0.9,219,3,0,3.6,0,9,0,13,0,14,0,16,0,27,0,30,0,260,0,7,0,6,0,4.7,0,5.3
GB53R,10,Soil,0,2619,1853,227,6455,166,1447,51,0,78,964,19,150,20,10,2,9,3,2735,36,53,12,0,14,0,7,12.4,1.6,0,3.6,0,3,1007,21,8.3,1,16.8,0.8,129,2,0,3.1,0,9,0,13,0,13,0,15,0,25,0,28,0,248,0,7,0,5.8,0,4.4,8.6,1.8
GB53R,12,Soil,0,2571,1980,217,8290,176,771,35,76,24,345,11,55,13,6,2,0,7,2889,37,72,12,0,14,0,6,7.2,1.4,0,3.6,0,3,1160,22,9.1,1,14.3,0.8,75.3,1.7,3.4,1,0,9,0,12,0,13,0,15,0,24,0,27,0,222,0,7,0,5.9,0,3.7,8.7,1.8
GB53R,14,Soil,0,2556,2162,223,6906,163,879,38,0,69,526,13,63,14,0,5.9,0,7,1591,27,0,28,0,14,0,6,8.5,1.5,0,3.3,0,2.9,939,21,7.9,1,15.4,0.8,178,3,0,3.3,0,9,0,12,0,13,0,15,0,25,0,27,0,239,0,7,0,5.8,0,4.9,0,5.1
GB53R,16,Soil,0,2916,2074,237,5552,155,1776,57,0,79,918,19,106,19,13,3,13,3,3222,40,59,13,0,14,0,6,9.4,1.5,0,3.4,0,3,1047,21,9,1,15.9,0.8,114,2,0,3.1,0,9,0,12,0,13,0,15,0,25,0,27,0,249,0,7,0,6,0,4.2,8.6,1.8
GB53R,18,Soil,0,2474,1698,211,5632,148,1211,44,0,72,508,13,70,15,0,6,10,3,2361,32,36,11,0,13,0,6,8.9,1.4,0,3.2,0,2.8,959,20,6.9,1,13.9,0.8,53.1,1.4,0,2.7,0,9,0,12,0,12,0,14,0,23,0,25,0,228,0,6,0,5.4,0,4.3,8.3,1.7
