"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)","Averaged 
Sample Runs","Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
Standard Deviation 
(µm)","Skewness
(µm)","Skewness 
Standard Deviation
(µm)","Kurtosis
(µm)","Kurtosis
Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)"
14CCT01-GB36M,0-1,Sandy Mud,N=8,20.15,0.29,5.067,0.032,-0.493,0.008,0.816,0.004,5.633,0.021,2.341,0.009,0.493,0.008,0.816,0.004,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.45,0.02,35.91,0.71,102.78,0.22,30.9,0.4,69.1,0.4,0.0,0.0,0.0,5.1,25.8,22.1,10.2,8.5,8.2,7.0,13.1
14CCT01-GB36M,1-2,Sandy Mud,N=8,22.68,0.04,4.974,0.008,-0.530,0.002,0.854,0.002,5.462,0.003,2.314,0.002,0.530,0.002,0.854,0.002,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.57,0.00,41.47,0.13,108.84,0.30,35.1,0.1,64.9,0.1,0.0,0.0,0.0,6.1,29.0,21.4,9.7,7.9,7.5,6.4,12.0
14CCT01-GB36M,2-3,Sandy Mud,N=8,23.94,0.08,4.903,0.009,-0.546,0.001,0.877,0.001,5.384,0.005,2.294,0.003,0.546,0.001,0.877,0.001,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.65,0.01,44.06,0.13,111.15,0.39,36.9,0.1,63.1,0.1,0.0,0.0,0.0,6.5,30.3,21.3,9.4,7.5,7.2,6.1,11.5
14CCT01-GB36M,3-4,Sandy Mud,N=8,29.45,0.14,4.626,0.009,-0.593,0.003,1.024,0.004,5.086,0.007,2.210,0.003,0.593,0.003,1.024,0.004,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.02,0.03,54.52,0.15,121.63,0.87,43.9,0.1,56.1,0.1,0.0,0.0,0.0,9.1,34.8,20.7,8.2,6.4,6.0,5.1,9.8
14CCT01-GB36M,4-5,Sandy Mud,N=8,27.51,3.41,4.746,0.278,-0.565,0.023,0.981,0.104,5.195,0.180,2.244,0.085,0.565,0.023,0.981,0.104,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.90,0.29,50.04,5.22,119.02,3.53,41.1,3.4,58.9,3.4,0.0,0.0,0.0,8.5,32.6,20.7,9.0,6.9,6.4,5.5,10.5
14CCT01-GB36M,5-6,Sandy Mud,N=8,28.22,1.13,4.609,0.086,-0.580,0.015,1.020,0.050,5.148,0.058,2.204,0.027,0.580,0.015,1.020,0.050,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.98,0.07,51.49,2.14,117.61,0.49,41.4,1.4,58.6,1.4,0.0,0.0,0.0,8.1,33.2,22.3,8.6,6.4,6.1,5.3,9.9
14CCT01-GB36M,6-7,Muddy Sand,N=8,52.96,7.58,2.838,0.251,-0.539,0.036,2.308,0.267,4.254,0.208,1.499,0.128,0.539,0.036,2.308,0.267,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,7.84,2.91,65.09,4.10,113.21,3.22,53.3,5.1,46.7,5.1,0.0,0.0,0.0,6.7,46.6,27.1,5.9,3.1,2.5,2.3,5.6
14CCT01-GB36M,7-8,Muddy Sand,N=8,61.35,1.60,2.515,0.056,-0.520,0.014,2.538,0.024,4.027,0.038,1.330,0.032,0.520,0.014,2.538,0.024,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,11.12,1.31,70.64,0.64,115.60,0.67,60.2,0.8,39.8,0.8,0.0,0.0,0.0,7.0,53.2,23.9,4.5,2.5,2.2,2.0,4.6
14CCT01-GB36M,8-9,Sandy Mud,N=8,32.55,1.25,4.033,0.128,-0.629,0.010,1.283,0.044,4.942,0.055,2.011,0.046,0.629,0.010,1.283,0.044,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.55,0.21,57.03,0.12,110.28,0.28,44.9,0.1,55.1,0.1,0.0,0.0,0.0,5.9,39.0,23.4,8.6,5.4,4.8,4.6,8.3
14CCT01-GB36M,9-10,Sandy Mud,N=8,30.94,1.72,3.922,0.093,-0.592,0.013,1.232,0.064,5.017,0.080,1.971,0.034,0.592,0.013,1.232,0.064,Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.65,0.18,51.26,2.54,104.20,1.35,39.6,2.1,60.4,2.1,0.0,0.0,0.0,4.7,34.9,26.1,10.2,6.3,5.2,4.5,8.1
