study_id,site_id,core_id,genus,species
Thom_1992,Nisqually_River_Delta,ND3,Carex,lyngbyei
Thom_1992,Elk_River_Prev_Diked,ED1,Distichlis,spicata
Thom_1992,Elk_River_Not_Diked,ER1,Distichlis,spicata
Thom_1992,Nisqually_River_Delta,ND2,Distichlis,spicata
Thom_1992,Nisqually_River_Delta,ND4,Distichlis,spicata
Thom_1992,Salmon_River,SR1,Distichlis,spicata
Thom_1992,Salmon_River,SR2,Distichlis,spicata
Thom_1992,South_Slough,SS1,Potentilla,sp
Thom_1992,Elk_River_Prev_Diked,ED1,Salicornia,virginica
Thom_1992,Padilla_Bay,PB3,Salicornia,virginica
Thom_1992,Salmon_River,SR1,Salicornia,virginica
Thom_1992,Salmon_River,SR2,Salicornia,virginica
Thom_1992,Washington_Harbor,WH1,Salicornia,virginica
Thom_1992,Nisqually_River_Delta,ND1,Triglochin,maritimum
Thom_1992,Nisqually_River_Delta,ND2,Triglochin,maritimum
Thom_1992,Nisqually_River_Delta,ND3,Triglochin,maritimum
Thom_1992,Nisqually_River_Delta,ND4,Triglochin,maritimum
