Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Burke et al 2022,Rogerstown Esturay,1,Saltmarsh,53.50372,-6.17011,estimated from GE,Ireland,2021,0,0.05,LOI,31.33,0.22,57.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,1,Saltmarsh,53.50372,-6.17011,estimated from GE,Ireland,2021,0.075,0.125,LOI,18.57,0.32,37.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,1,Saltmarsh,53.50372,-6.17011,estimated from GE,Ireland,2021,0.2,0.25,LOI,5.72,0.90,13.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,1,Saltmarsh,53.50372,-6.17011,estimated from GE,Ireland,2021,0.375,0.425,LOI,2.75,0.93,6.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,1,Saltmarsh,53.50372,-6.17011,estimated from GE,Ireland,2021,0.625,0.675,LOI,1.56,1.18,3.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,2,Saltmarsh,53.50359,-6.17014,estimated from GE,Ireland,2021,0,0.05,LOI,9.10,0.42,20.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,2,Saltmarsh,53.50359,-6.17014,estimated from GE,Ireland,2021,0.075,0.125,LOI,6.00,0.60,13.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,2,Saltmarsh,53.50359,-6.17014,estimated from GE,Ireland,2021,0.2,0.25,LOI,2.49,0.98,6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,2,Saltmarsh,53.50359,-6.17014,estimated from GE,Ireland,2021,0.36,0.41,LOI,0.81,1.38,2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,3,Saltmarsh,53.50344,-6.17039,estimated from GE,Ireland,2021,0,0.05,LOI,4.61,0.39,10.8,(0.4*%LOI)+0.0025*(%LOI^2)
