"","site_id","core_id","depth_min","depth_max","mid_point","dry_bulk_density","fraction_organic_matter","fraction_nitrogen","fraction_carbon","carbon_density","TC instead of TOC?","core_date","DBD_measured_or_modeled","OC_measured_or_modeled","CD_measured_or_modeled"
"1","ESY16 Port Aransas","M0967",0,5,"2.5000000000000001E-2",0.19,0.322,0.0105263157894737,0.161,"2.5999999999999999E-2","Y",NA,"measured","modeled","measured"
"2","ESY16 Port Aransas","M0967",5,15,"0.1",0.25,0.307,0.0092,0.1535,"3.1E-2","Y",NA,"measured","modeled","measured"
"3","ESY16 Port Aransas","M0967",15,30,"0.22499999999999998",0.29,0.276,0.00689655172413793,0.138,"0.03","Y",NA,"measured","modeled","measured"
"4","ESY16 Port Fourchon","M0968",0,5,"2.5000000000000001E-2",0.43,0.119,0.00302325581395349,0.0595,"0.02","Y",NA,"measured","modeled","measured"
"5","ESY16 Port Fourchon","M0968",5,15,"0.1",0.54,0.135,0.00314814814814815,0.0675,"2.9000000000000001E-2","Y",NA,"measured","modeled","measured"
"6","ESY16 Port Fourchon","M0968",15,30,"0.22499999999999998",0.57,0.117,0.00228070175438597,0.0585,"2.4E-2","Y",NA,"measured","modeled","measured"
"7","ESY16 Cedar Key","M0969",0,5,"2.5000000000000001E-2",0.64,0.073,0.00203125,0.0365,"2.1000000000000001E-2","Y",NA,"measured","modeled","measured"
"8","ESY16 Cedar Key","M0969",5,15,"0.1",0.93,0.036,0.000752688172043011,0.018,"1.2999999999999999E-2","Y",NA,"measured","modeled","measured"
"9","ESY16 Cedar Key","M0969",15,30,"0.22499999999999998",1.2,0.019,0.000333333333333333,0.0095,"7.0000000000000001E-3","Y",NA,"measured","modeled","measured"
"10","GLC03CL Rookery Bay 1","M0973",0,1,"5.0000000000000001E-3",1.6191,NA,NA,0,"2.4E-2","unknown",NA,"modeled","modeled","measured"
"11","GLC03CL Rookery Bay 2","M0974",0,1,"5.0000000000000001E-3",1.6191,NA,NA,0,"3.3000000000000002E-2","unknown",NA,"modeled","modeled","measured"
