"","study_id","site_id","core_id","species_code"
"1","MX_edaf_puntos",NA,"M1680",NA
"2","MX_edaf_puntos",NA,"M1681",NA
"3","MX_edaf_puntos",NA,"M1682",NA
"4","MX_edaf_puntos",NA,"M1683",NA
"5","MX_edaf_puntos",NA,"M1684",NA
"6","MX_edaf_puntos",NA,"M1685",NA
"7","MX_edaf_puntos",NA,"M1686",NA
"8","MX_edaf_puntos",NA,"M1687",NA
"9","MX_edaf_puntos",NA,"M1688",NA
"10","MX_edaf_puntos",NA,"M1689",NA
"11","MX_perfilv12",NA,"M1690",NA
"12","MX_perfilv12",NA,"M1691",NA
"13","MX_perfilv12",NA,"M1692",NA
"14","MX_perfilv12",NA,"M1693",NA
"15","MX_perfilv12",NA,"M1694",NA
"16","MX_perfilv12",NA,"M1695",NA
"17","MX_perfilv12",NA,"M1696",NA
"18","MX_perfilv12",NA,"M1697",NA
"19","MX_perfilv12",NA,"M1698",NA
"20","MX_perfilv12",NA,"M1699",NA
"21","MX_perfilv12",NA,"M1700",NA
"22","MX_perfilv12",NA,"M1701",NA
"23","MX_perfilv12",NA,"M1702",NA
"24","MX_perfilv12",NA,"M1703",NA
"25","MX_perfilv12",NA,"M1704",NA
"26","MX_perfilv12",NA,"M1705",NA
"27","AfSPDB",NA,"M1706",NA
"28","AU_NatSoil",NA,"M1707",NA
"29","AU_NatSoil",NA,"M1708",NA
"30","AU_NatSoil",NA,"M1709",NA
"31","NCSS",NA,"M1710",NA
"32","AfSPDB",NA,"M1711",NA
"33","WISE",NA,"M1712",NA
"34","WISE",NA,"M1713",NA
"35","WISE",NA,"M1714",NA
"36","AfSPDB",NA,"M1715",NA
"37","AfSIS_Sentinel_Sites",NA,"M1716",NA
"38","AfSIS_Sentinel_Sites",NA,"M1717",NA
"39","AfSIS_Sentinel_Sites",NA,"M1718",NA
"40","AfSIS_Sentinel_Sites",NA,"M1719",NA
"41","AfSIS_Sentinel_Sites",NA,"M1720",NA
"42","AfSIS_Sentinel_Sites",NA,"M1721",NA
"43","AfSIS_Sentinel_Sites",NA,"M1722",NA
"44","AfSIS_Sentinel_Sites",NA,"M1723",NA
"45","AfSIS_Sentinel_Sites",NA,"M1724",NA
"46","AfSIS_Sentinel_Sites",NA,"M1725",NA
"47","AfSIS_Sentinel_Sites",NA,"M1726",NA
"48","AfSIS_Sentinel_Sites",NA,"M1727",NA
"49","AfSIS_Sentinel_Sites",NA,"M1728",NA
"50","AfSIS_Sentinel_Sites",NA,"M1729",NA
"51","AfSIS_Sentinel_Sites",NA,"M1730",NA
"52","AfSIS_Sentinel_Sites",NA,"M1731",NA
"53","NCSS",NA,"M1732",NA
"54","RadamBrasil",NA,"M1733",NA
"55","RadamBrasil",NA,"M1734",NA
"56","NCSS",NA,"M1735",NA
"57","NCSS",NA,"M1736",NA
"58","NCSS",NA,"M1737",NA
"59","NCSS",NA,"M1738",NA
"60","NCSS",NA,"M1739",NA
"61","NCSS",NA,"M1740",NA
"62","RadamBrasil",NA,"M1741",NA
"63","RadamBrasil",NA,"M1742",NA
"64","Kauffmann_et_al_2011","Airai State","M0001",NA
"65","Kauffmann_et_al_2011","Airai State","M0002",NA
"66","Kauffmann_et_al_2011","Airai State","M0003",NA
"67","Kauffmann_et_al_2011","Yap","M0004",NA
"68","Kauffmann_et_al_2011","Yap","M0005",NA
"69","Kauffmann_et_al_2011","Yap","M0006",NA
"70","Kauffmann_et_al_2014","Montecristi Province","M0007",NA
"71","Kauffmann_et_al_2014","Montecristi Province","M0008",NA
"72","Kauffmann_et_al_2014","Montecristi Province","M0009",NA
"73","Kauffmann_et_al_2014","Montecristi Province","M0010",NA
"74","Kauffmann_et_al_2014","Montecristi Province","M0011",NA
"75","Kauffmann_et_al_2014","Montecristi Province","M0012",NA
"76","Kauffmann_et_al_2014","Montecristi Province","M0013",NA
"77","Kauffmann_et_al_2014","Montecristi Province","M0014",NA
"78","Kauffmann_et_al_2014","Montecristi Province","M0015",NA
"79","Alongi_et_al_1999","Hinchinbrook","M0016",NA
"80","Alongi_et_al_1999","Hinchinbrook","M0017",NA
"81","Chen_and_Twilley_1999","Everglades","M0018",NA
"82","Chen_and_Twilley_1999","Everglades","M0019",NA
"83","Chen_and_Twilley_1999","Everglades","M0020",NA
"84","Chen_and_Twilley_1999","Everglades","M0021",NA
"85","Alongi_1996","Hinchinbrook","M0022",NA
"86","Alongi_1996","Hinchinbrook","M0023",NA
"87","Alongi_1996","Hinchinbrook","M0024",NA
"88","Alongi_1996","Hinchinbrook","M0025",NA
"89","Alongi_et_al_2000","Port Headland","M0026","Rhizophora stylosa"
"90","Alongi_et_al_2000","Port Headland","M0027","Avicennia marina"
"91","Alongi_et_al_2000","Dampier","M0028","Rhizophora stylosa"
"92","Alongi_et_al_2000","Dampier","M0029","Avicennia marina"
"93","Alongi_et_al_2000","Cape Range National Park","M0030","Rhizophora stylosa"
"94","Alongi_et_al_2000","Cape Range National Park","M0031","Avicennia marina"
"95","Matsui_1998","Hinchinbrook","M0032",NA
"96","Matsui_1998","Hinchinbrook","M0033",NA
"97","Matsui_1998","Hinchinbrook","M0034",NA
"98","Matsui_1998","Hinchinbrook","M0035",NA
"99","Matsui_1998","Hinchinbrook","M0036",NA
"100","Matsui_1998","Hinchinbrook","M0037",NA
"101","Matsui_1998","Hinchinbrook","M0038",NA
"102","Matsui_1998","Hinchinbrook","M0039",NA
"103","Matsui_1998","Hinchinbrook","M0040",NA
"104","Matsui_1998","Hinchinbrook","M0041",NA
"105","Matsui_1998","Hinchinbrook","M0042",NA
"106","Matsui_1998","Hinchinbrook","M0043",NA
"107","Matsui_1998","Hinchinbrook","M0044",NA
"108","Matsui_1998","Hinchinbrook","M0045",NA
"109","Matsui_1998","Hinchinbrook","M0046",NA
"110","Matsui_1998","Hinchinbrook","M0047",NA
"111","Matsui_1998","Hinchinbrook","M0048",NA
"112","Matsui_1998","Hinchinbrook","M0049",NA
"113","Matsui_1998","Hinchinbrook","M0050",NA
"114","Matsui_1998","Hinchinbrook","M0051",NA
"115","Matsui_1998","Hinchinbrook","M0052",NA
"116","Matsui_1998","Hinchinbrook","M0053",NA
"117","Matsui_1998","Hinchinbrook","M0054",NA
"118","Matsui_1998","Hinchinbrook","M0055",NA
"119","Matsui_1998","Hinchinbrook","M0056",NA
"120","Matsui_1998","Hinchinbrook","M0057",NA
"121","Matsui_1998","Hinchinbrook","M0058",NA
"122","Matsui_1998","Hinchinbrook","M0059",NA
"123","Matsui_1998","Hinchinbrook","M0060",NA
"124","Matsui_1998","Hinchinbrook","M0061",NA
"125","Matsui_1998","Hinchinbrook","M0062",NA
"126","Matsui_1998","Hinchinbrook","M0063",NA
"127","Matsui_1998","Hinchinbrook","M0064",NA
"128","Matsui_1998","Hinchinbrook","M0065",NA
"129","Matsui_1998","Hinchinbrook","M0066",NA
"130","Matsui_1998","Hinchinbrook","M0067",NA
"131","Matsui_1998","Hinchinbrook","M0068",NA
"132","Mckee_et_al_2002","Twin Cays","M0069",NA
"133","Mckee_et_al_2002","Twin Cays","M0070",NA
"134","Mckee_et_al_2002","Twin Cays","M0071",NA
"135","Wooller_et_al_2003","Twin Cays","M0072",NA
"136","Wooller_et_al_2003","Twin Cays","M0073",NA
"137","Wooller_et_al_2003","Twin Cays","M0074",NA
"138","Wooller_et_al_2003","Twin Cays","M0075",NA
"139","Wooller_et_al_2003","Twin Cays","M0076",NA
"140","Wooller_et_al_2003","Twin Cays","M0077",NA
"141","Wooller_et_al_2003","Twin Cays","M0078",NA
"142","Wooller_et_al_2003","Man of War Cay","M0079",NA
"143","Lacerda_et_al_1995","Sepetiba Bay","M0080","Rhizophora mangle"
"144","Lacerda_et_al_1995","Sepetiba Bay","M0081","Avicennia schaueriana"
"145","Jennerjahn_and_Ittekkot_2002","Sepetiba Bay","M0082",NA
"146","Jennerjahn_and_Ittekkot_1997","Mouth of Paraiba do Sul","M0083",NA
"147","Alongi_et_al_2005","Fujian Province","M0084","Kandelia candel"
"148","Alongi_et_al_2005","Fujian Province","M0085","Kandelia candel"
"149","Alongi_et_al_2005","Fujian Province","M0086","Kandelia candel"
