"","study_id","study_type","bibliography_id","doi"
"1","Abino_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"2","Adame_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"3","Adame_et_al_2015","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"4","Ajonina_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"5","Allen_et_al_2007","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"6","Alongi_1996","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"7","Alongi_et_al_1999","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"8","Alongi_et_al_2000","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"9","Alongi_et_al_2001","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"10","Alongi_et_al_2004","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"11","Alongi_et_al_2005","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"12","Alongi_et_al_2008","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"13","Andreetta_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"14","Andreetta_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"15","Ashton_and_Macintosh_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"16","Banerjee_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"17","Bouillon_et_al_2003","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"18","Breithaupt_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"19","Brunskill_et_al_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"20","Brunskill_et_al_2004","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"21","Bukoski_et_al_2017","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"22","Bulmer_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"23","Cahoon_and_Lynch_1997","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"24","Callaway_et_al_1997","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"25","Cardona_and_Botero_1998","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"26","Chanda_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"27","Chen_and_Twilley_1999","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"28","Chen_et_al_2010","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"29","Chen_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"30","Chen_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"31","Chen_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"32","Chmura_et_al_2003","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"33","DelVecchia_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"34","Dissanayake_and_Chandrasekara_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"35","Donato_et_al_2011","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"36","Donato_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"37","Dung_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"38","Dutta_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"39","Ezcurra_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"40","Ferreira_et_al_2007","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"41","Fujimoto_et_al_1999","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"42","Gillis_et_al_2017","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"43","Gleason_and_Ewel_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"44","Gomes_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"45","Gonneea_et_al_2004","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"46","He_et_al_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"47","Howe_et_al_2009","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"48","Jennerjahn_and_Ittekkot_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"49","Jones_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"50","Kao_et_al_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"51","Keuskamp_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"52","Kristensen_et_al_1992","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"53","Kristensen_et_al_2000","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"54","Lacerda_et_al_1995","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"55","Lallier-Verges_et_al_1998","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"56","Lang'at_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"57","Lee_and_Baker_1972","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"58","Leopold_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"59","Liu_et_al_2008","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"60","Liu_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"61","Livesley_and_Andrusiak_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"62","Loi_and_Ni_2015","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"63","Lovelock_et_al_2010","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"64","MacKenzie_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"65","Mao_et_al_2011","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"66","Mao_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"67","Marchand_et_al_2003","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"68","Marchand_et_al_2004","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"69","Marchio_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"70","Matsui_1998","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"71","McFadden_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"72","Mfilinge_et_al_2002","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"73","Middelburg_et_al_1996","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"74","Murdiyarso_et_al_2015","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"75","Naidoo_1980","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"76","Naidoo_and_Raiman_1982","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"77","Nam_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"78","Nsombo_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"79","Osland_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"80","Otero_et_al_2009","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"81","Pazi_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"82","Sahu_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"83","Saintilan_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"84","Sanders_et_al_2008","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"85","Sanders_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"86","Smoak_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"87","Stringer_et_al_2015","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"88","Tam_and_Wong_1998","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"89","Thompson_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"90","Tue_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"91","Twilley_et_al_1997","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"92","Vasconcelos_et_al_2014","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"93","Wang_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"94","Woodroffe_1985","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"95","Wooller_et_al_2003","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"96","Xia_et_al_2015","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"97","Xu_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"98","Yando_et_al_2016","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"99","Yang_et_al_2013","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"100","Zhang_et_al_2012","synthesis","Sanderman_2017","10.7910/dvn/ocyuit"
"101","Breithaupt_et_al_2014","article","Breithaupt_et_al_2014",NA
"102","Donato_et_al_2011","article","Donato_et_al_2011","10.1038/ngeo1123"
"103","Alongi_et_al_1999","article","Alongi_et_al_1999","10.1006/ecss.1998.0465"
"104","Chen_and_Twilley_1999","article","Chen_and_Twilley_1999","10.1007/bf00993000"
"105","Alongi_1996","article","Alongi_1996","10.1357/0022240963213475"
"106","Alongi_et_al_2000","article","Alongi_et_al_2000","10.1016/s0304-3770(00)00110-8"
"107","Matsui_1998","article","Matsui_1998","10.1023/a:1009959909208"
"108","Wooller_et_al_2003","article","Wooller_et_al_2003","10.1023/a:1026339517242"
"109","Lacerda_et_al_1995","article","Lacerda_et_al_1995","10.1006/ecss.1995.0048"
"110","Jennerjahn_and_Ittekkot_2002","article","Jennerjahn_and_Ittekkot_2002","10.1007/s00114-001-0283-x"
"111","Alongi_et_al_2005","article","Alongi_et_al_2005","10.1016/j.ecss.2005.01.004"
"112","Twilley_et_al_1997","article","Twilley_et_al_1997","10.1007/s004420050214"
"113","Marchand_et_al_2004","article","Marchand_et_al_2004","10.1016/j.margeo.2004.04.015"
"114","Marchand_et_al_2003","article","Marchand_et_al_2003","10.1016/s0272-7714(02)00134-8"
"115","Lallier-Verges_et_al_1998","article","Lallier-Verges_et_al_1998","10.1016/s0146-6380(98)00179-x"
"116","Bouillon_et_al_2003","article","Bouillon_et_al_2003","10.1023/a:1025411506526"
"117","Adame_et_al_2013","article","Adame_et_al_2013","10.1371/journal.pone.0056569"
"118","Andreetta_et_al_2014","article","Andreetta_et_al_2014","10.1016/j.seares.2013.08.010"
"119","Chen_et_al_2012","article","Chen_et_al_2012","10.1016/j.soilbio.2012.01.029"
"120","Chen_et_al_2014","article","Chen_et_al_2014","10.1016/j.scitotenv.2014.03.140"
"121","Dutta_et_al_2013","article","Dutta_et_al_2013","10.1016/j.atmosenv.2013.05.050"
"122","Gleason_and_Ewel_2002","article","Gleason_and_Ewel_2002","10.1111/j.1744-7429.2002.tb00530.x"
"123","Chanda_et_al_2013","article","Chanda_et_al_2013","10.1007/s12665-013-2962-2"
"124","Chen_et_al_2010","article","Chen_et_al_2010","10.1016/j.scitotenv.2010.03.007"
"125","Chen_et_al_2016","article","Chen_et_al_2016","10.5194/bg-2015-662"
"126","Allen_et_al_2007","article","Allen_et_al_2007","10.1016/j.soilbio.2006.09.013"
"127","Leopold_et_al_2013","article","Leopold_et_al_2013","10.1016/j.geoderma.2013.03.008"
"128","Liu_et_al_2014","article","Liu_et_al_2014","10.1016/j.jenvman.2013.11.037"
"129","Alongi_et_al_2000","article","Alongi_et_al_2000","10.3354/meps194087"
"130","Lovelock_et_al_2010","article","Lovelock_et_al_2010","10.1007/s10021-010-9329-2"
"131","MacKenzie_et_al_2016","article","MacKenzie_et_al_2016","10.1007/s11273-016-9481-3"
"132","Osland_et_al_2012","article","Osland_et_al_2012","10.1007/s10021-012-9551-1"
"133","Marchio_et_al_2016","article","Marchio_et_al_2016","10.3390/f7060116"
"134","Murdiyarso_et_al_2015","article","Murdiyarso_et_al_2015","10.1038/nclimate2734"
"135","Adame_et_al_2015","article","Adame_et_al_2015","10.5194/bg-12-3805-2015"
"136","Xia_et_al_2015","article","Xia_et_al_2015","10.1016/j.orggeochem.2015.04.003"
"137","Saintilan_et_al_2013","article","Saintilan_et_al_2013","10.1016/j.ecss.2013.05.010"
"138","McFadden_et_al_2016","article","McFadden_et_al_2016","10.1007/s11273-016-9480-4"
"139","Sahu_et_al_2016","article","Sahu_et_al_2016","10.18520/cs/v110/i12/2253-2260"
"140","Wang_et_al_2013","article","Wang_et_al_2013","10.1016/j.foreco.2013.08.045"
"141","Tue_et_al_2014","article","Tue_et_al_2014","10.1016/j.catena.2014.05.008"
"142","Livesley_and_Andrusiak_2012","article","Livesley_and_Andrusiak_2012","10.1016/j.ecss.2011.11.002"
"143","Ezcurra_et_al_2016","article","Ezcurra_et_al_2016","10.1073/pnas.1519774113"
"144","Howe_et_al_2009","article","Howe_et_al_2009","10.1016/j.ecss.2009.06.006"
"145","Thompson_et_al_2014","article","Thompson_et_al_2014","10.1016/j.ecoser.2014.03.004"
"146","Donato_et_al_2012","article","Donato_et_al_2012","10.1016/j.jenvman.2011.12.004"
"147","Bulmer_et_al_2016","article","Bulmer_et_al_2016","10.3389/fmars.2016.00150"
"148","Gomes_et_al_2016","article","Gomes_et_al_2016","10.5935/1806-6690.20160072"
"149","Nsombo_et_al_2016","article","Nsombo_et_al_2016","10.5897/ajest2015.1956"
"150","Fujimoto_et_al_1999","article","Fujimoto_et_al_1999","10.1046/j.1440-1703.1999.00313.x"
"151","Ajonina_et_al_2014","incollection","Ajonina_et_al_2014","10.1007/978-3-319-06388-1_12"
"152","Alongi_et_al_2008","article","Alongi_et_al_2008","10.3354/meps07661"
