"","study_id","site_id","core_id","species_code"
"1","NCSS","C1512W04","M1710",NA
"2","WISE","CU0040","M1713",NA
"3","NCSS","S1977-FL071-S36_005","M1735",NA
"4","NCSS","S1977-FL071-S36_006","M1736",NA
"5","NCSS","S1978-FL015-S08_005","M1737",NA
"6","NCSS","S1982-FL061-S31_001","M1738",NA
"7","NCSS","S1988-FL087-S44_003","M1739",NA
"8","NCSS","S1988-FL087-S44_004","M1740",NA
"9","Chen_and_Twilley_1999","RC99_S1","M0018",NA
"10","Chen_and_Twilley_1999","RC99_S3","M0019",NA
"11","Chen_and_Twilley_1999","RC99_S4","M0020",NA
"12","Chen_and_Twilley_1999","RC99_S6","M0021",NA
"13","Bianchi_et_al_2012","TSB12_HI_Mangrove_1","M0199",NA
"14","Bianchi_et_al_2012","TSB12_HI_Mangrove_2","M0200",NA
"15","Bianchi_et_al_2012","TSB12_MI_Mangrove_1","M0201",NA
"16","Bianchi_et_al_2012","TSB12_MI_Mangrove_2","M0202",NA
"17","Osland_et_al_2012","MJO12_Robinson_Preserve","M0331",NA
"18","Osland_et_al_2012","MJO12_Emerson_Point","M0332",NA
"19","Osland_et_al_2012","MJO12_East_Cockroach_Bay","M0333",NA
"20","Osland_et_al_2012","MJO12_South Cockroach_Bay","M0334",NA
"21","Osland_et_al_2012","MJO12_Little_Cockroach_Bay","M0335",NA
"22","Osland_et_al_2012","MJO12_Bishop_Harbor","M0336",NA
"23","Osland_et_al_2012","MJO12_Wolf_Branch","M0337",NA
"24","Osland_et_al_2012","MJO12_Apollo Beach","M0338",NA
"25","Osland_et_al_2012","MJO12_Bullfrog_Creek","M0339",NA
"26","Marchio_et_al_2016","DAM16_SC_Basin","M0340",NA
"27","Marchio_et_al_2016","DAM16_HA_Basin","M0341",NA
"28","Marchio_et_al_2016","DAM16_SC_Fringe","M0342",NA
"29","Marchio_et_al_2016","DAM16_HA_Fringe","M0343",NA
"30","Marchio_et_al_2016","DAM16_SC_Riverine","M0344",NA
"31","Marchio_et_al_2016","DAM16_HA_Riverine","M0345",NA
"32","Marchio_et_al_2016","DAM16_SC_Dwarf","M0346",NA
"33","Breithaupt_et_al_2014","JLB16_SH3-1","M0647","Rhizophora mangle"
"34","Breithaupt_et_al_2014","JLB16_SH3-1","M0647"," Avicennia germinans"
"35","Breithaupt_et_al_2014","JLB16_SH3-1","M0647"," Laguncularia racemosa"
"36","Breithaupt_et_al_2014","JLB16_SH3-3","M0648","Rhizophora mangle"
"37","Breithaupt_et_al_2014","JLB16_SH3-3","M0648"," Avicennia germinans"
"38","Breithaupt_et_al_2014","JLB16_SH3-3","M0648"," Laguncularia racemosa"
"39","Breithaupt_et_al_2014","JLB16_SH3-5","M0649","Rhizophora mangle"
"40","Breithaupt_et_al_2014","JLB16_SH3-5","M0649"," Avicennia germinans"
"41","Breithaupt_et_al_2014","JLB16_SH3-5","M0649"," Laguncularia racemosa"
"42","Breithaupt_et_al_2014","JLB16_SH3-7","M0650","Rhizophora mangle"
"43","Breithaupt_et_al_2014","JLB16_SH3-7","M0650"," Avicennia germinans"
"44","Breithaupt_et_al_2014","JLB16_SH3-7","M0650"," Laguncularia racemosa"
"45","Breithaupt_et_al_2014","JLB16_SH3-8/SH3-9","M0651","Rhizophora mangle"
"46","Breithaupt_et_al_2014","JLB16_SH3-8/SH3-9","M0651"," Avicennia germinans"
"47","Breithaupt_et_al_2014","JLB16_SH3-8/SH3-9","M0651"," Laguncularia racemosa"
"48","Smoak_et_al_2013","JMS13_SH4","M0690","Rhizophora mangle"
"49","Smoak_et_al_2013","JMS13_SH4","M0690"," Avicennia germinans"
"50","Smoak_et_al_2013","JMS13_SH4","M0690"," Laguncularia racemosa"
"51","Yando_et_al_2016","ESY16_Port_Aransas","M0967","Avicennia germinans"
"52","Yando_et_al_2016","ESY16_Port_Fourchon","M0968","Avicennia germinans"
"53","Yando_et_al_2016","ESY16_Cedar_Key","M0969","Avicennia germinans"
"54","Callaway_et_al_1997","JCC97_Black_mangroves","M0972","Avicennia germinans"
"55","Chmura_et_al_2003","GLC03CL_Rookery_Bay_1","M0973",NA
"56","Chmura_et_al_2003","GLC03CL_Rookery_Bay_2","M0974",NA
"57","Cahoon_and_Lynch_1997","DRC97_Fringe","M1302","Rhizophora mangle"
"58","Cahoon_and_Lynch_1997","DRC97_Basin","M1303","Rhizophora mangle"
"59","Cahoon_and_Lynch_1997","DRC97_Basin","M1303"," Avicennia germinans"
"60","Cahoon_and_Lynch_1997","DRC97_Basin","M1303"," Laguncularia racemosa"
"61","Cahoon_and_Lynch_1997","DRC97_Exposed_island","M1304","Rhizophora mangle"
"62","Cahoon_and_Lynch_1997","DRC97_Sheltered_island","M1305","Rhizophora mangle"
