study_id,core_id,site_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,CD_reported,Ocstock_reported,carbon_density,fraction_carbon_type,DBD_measured_or_modeled,OC_measured_or_modeled,CD_measured_or_modeled,carbon_profile_notes
Alongi_1996,M0022,DMA96 Low,0,20,0.61,NA,0.06233333333333333,NA,NA,0.03802333333333333,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_1996,M0023,DMA96 Med,0,20,0.56,NA,0.12533333333333332,NA,NA,0.07018666666666667,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_1996,M0024,DMA96 High,0,20,0.6,NA,0.12633333333333333,NA,NA,0.07579999999999999,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_1996,M0025,DMA96 Creek Bank,0,20,0.68,NA,0.045,NA,NA,0.030600000000000002,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0027,DMA00 PH2,35.224,42.316,0.8227285669466428,NA,0.02809,NA,NA,0.023110445445531196,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0027,DMA00 PH2,55.711,68.903,0.9256505659546607,NA,0.01902,NA,NA,0.017605873764457644,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0028,DMA00 D1,25.075999999999997,30.097,0.642091184230801,NA,0.059059999999999994,NA,NA,0.03792190534067111,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0028,DMA00 D1,50.224999999999994,55.63600000000001,0.7376231134512667,NA,0.04009,NA,NA,0.029571310618261286,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0028,DMA00 D1,65.558,70.865,0.8243196270494789,NA,0.02791,NA,NA,0.02300676079095096,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0028,DMA00 D1,78.725,80.924,0.8737770964435913,NA,0.023,NA,NA,0.0200968732182026,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0029,DMA00 D2,81.26,83.107,1.142720291131269,NA,0.009210000000000001,NA,NA,0.01052445388131899,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2000,M0030,DMA00 MB1,50.28,55.247,0.5903452267374278,NA,0.07143,NA,NA,0.04216835954585447,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Matsui_1998,M0043,NM98 T11,0,5,0.8604621122811454,NA,0.0242,NA,NA,0.020823183117203718,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Wooller_et_al_2003,M0073,MW03 D14,0,2,0.1774500932631529,NA,0.294,NA,NA,0.052170327419366946,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2005,M0084,DMA05 JJ1,4.266666666666667,6.333333333333334,0.8919303223361141,NA,0.02149,NA,NA,0.01916758262700309,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2005,M0084,DMA05 JJ1,6.333333333333334,8.3,0.9177985627385891,NA,0.01956,NA,NA,0.017952139887166804,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2005,M0084,DMA05 JJ1,10.2,12.233333333333334,0.8467060888828524,NA,0.02553,NA,NA,0.021616406449179223,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2005,M0085,DMA05 JJ2,76.56666666666666,80.53333333333333,1.1469668842703362,NA,0.00908,NA,NA,0.010414459309174652,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2005,M0086,DMA05 JJ3,14.233333333333334,16.166666666666664,0.9755764611319834,NA,0.016,NA,NA,0.015609223378111733,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Twilley_et_al_1997,M0087,RRT97 M1 25m,0,5,0.51,NA,0.06420999999999999,NA,NA,0.032747099999999994,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Twilley_et_al_1997,M0088,RRT97 M1 50m,0,5,0.5,NA,0.051390000000000005,NA,NA,0.025695000000000003,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Twilley_et_al_1997,M0091,RRT97 M3 25m,0,5,0.39,NA,0.09622,NA,NA,0.0375258,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Twilley_et_al_1997,M0092,RRT97 M3 50m,0,5,0.45,NA,0.08731,NA,NA,0.0392895,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchand_et_al_2004,M0104,CM04 C21,5,40,0.9244689104699281,NA,0.0191,NA,NA,0.017657356189975625,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchand_et_al_2004,M0108,CM04 C25,5,40,0.8372630608311369,NA,0.0265,NA,NA,0.022187471112025126,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchand_et_al_2004,M0111,CM04 C28,5,40,0.9244689104699281,NA,0.0191,NA,NA,0.017657356189975625,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lallier-Verges_et_al_1998,M0113,EL98 Laguncularia,58.599999999999994,66.10000000000001,0.18399974046917994,NA,0.28475,NA,NA,0.05239392609859899,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lallier-Verges_et_al_1998,M0116,EL98 Pterocarpus,30.5,40.2,0.13610295034164285,NA,0.37624,NA,NA,0.05120737403653971,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lallier-Verges_et_al_1998,M0116,EL98 Pterocarpus,40.2,50.1,0.15856753512417449,NA,0.32519,NA,NA,0.0515645767470303,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lallier-Verges_et_al_1998,M0116,EL98 Pterocarpus,60.3,68,0.13562974928332583,NA,0.37756999999999996,NA,NA,0.05120972443690533,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lallier-Verges_et_al_1998,M0116,EL98 Pterocarpus,108.4,118.7,0.1339420704194533,NA,0.38243000000000005,NA,NA,0.05122346599051153,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Bouillon_et_al_2003,M0117,SB03 Coringa 1,0,5,1.177774047507898,NA,0.00818,NA,NA,0.009634191708614605,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Bouillon_et_al_2003,M0119,SB03 Coringa 3,0,5,1.177774047507898,NA,0.00818,NA,NA,0.009634191708614605,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Bouillon_et_al_2003,M0135,SB03 Coringa 19,0,5,1.134056902427651,NA,0.009479999999999999,NA,NA,0.01075085943501413,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Bouillon_et_al_2003,M0146,SB03 Galle Excoecarcia 7,0,5,0.7697042910394976,NA,0.035,NA,NA,0.026939650186382415,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0173,MFA13 Isla Pitaya,0,15,0.3,NA,0.28800000000000003,NA,NA,0.0864,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0173,MFA13 Isla Pitaya,15,30,0.25,NA,0.294,NA,NA,0.0735,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0173,MFA13 Isla Pitaya,30,50,0.26,NA,0.33899999999999997,NA,NA,0.08814,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0173,MFA13 Isla Pitaya,50,100,0.21,NA,0.335,NA,NA,0.07035,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0173,MFA13 Isla Pitaya,100,147,0.23,NA,0.35100000000000003,NA,NA,0.08073000000000001,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0174,MFA13 Cayo Culebra,0,15,0.15,NA,0.32299999999999995,NA,NA,0.04844999999999999,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0174,MFA13 Cayo Culebra,15,30,0.11,NA,0.27699999999999997,NA,NA,0.030469999999999997,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0174,MFA13 Cayo Culebra,30,50,0.22,NA,0.126,NA,NA,0.02772,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0174,MFA13 Cayo Culebra,50,100,0.67,NA,0.032,NA,NA,0.02144,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0175,MFA13 Hualaxtoc,0,15,0.32,NA,0.278,NA,NA,0.08896000000000001,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0175,MFA13 Hualaxtoc,15,30,0.41,NA,0.233,NA,NA,0.09553,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0175,MFA13 Hualaxtoc,30,50,0.44,NA,0.14800000000000002,NA,NA,0.06512000000000001,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0175,MFA13 Hualaxtoc,50,100,0.91,NA,0.015,NA,NA,0.01365,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0176,MFA13 Laguna Negra,0,15,0.18,NA,0.276,NA,NA,0.04968,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0176,MFA13 Laguna Negra,15,30,0.18,NA,0.21899999999999997,NA,NA,0.03942,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0176,MFA13 Laguna Negra,30,50,0.3,NA,0.21,NA,NA,0.063,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0176,MFA13 Laguna Negra,50,100,0.7,NA,0.081,NA,NA,0.0567,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0177,MFA13 Laguna Xamach,0,15,0.4,NA,0.09300000000000001,NA,NA,0.037200000000000004,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0177,MFA13 Laguna Xamach,15,30,0.55,NA,0.06,NA,NA,0.033,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0177,MFA13 Laguna Xamach,30,50,0.95,NA,0.028999999999999998,NA,NA,0.027549999999999998,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0177,MFA13 Laguna Xamach,50,100,0.74,NA,0.038,NA,NA,0.02812,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0178,MFA13 La Raya,0,15,0.18,NA,0.28800000000000003,NA,NA,0.051840000000000004,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0178,MFA13 La Raya,15,30,0.77,NA,0.06,NA,NA,0.0462,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0178,MFA13 La Raya,30,50,0.89,NA,0.039,NA,NA,0.03471,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0178,MFA13 La Raya,50,85,0.73,NA,0.048,NA,NA,0.03504,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0179,MFA13 El Playon,0,15,0.16,NA,0.293,NA,NA,0.04688,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0179,MFA13 El Playon,15,30,0.3,NA,0.16699999999999998,NA,NA,0.05009999999999999,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0179,MFA13 El Playon,30,50,0.63,NA,0.046,NA,NA,0.02898,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Adame_et_al_2013,M0179,MFA13 El Playon,50,100,0.39,NA,0.094,NA,NA,0.03666,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0180,AA14 AV1,10,20,1.26,NA,0.00623,NA,NA,0.0078498,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0180,AA14 AV1,20,40,1.5,NA,0.005719999999999999,NA,NA,0.008579999999999999,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0181,AA14 AV2,10,20,1.2,NA,0.016300000000000002,NA,NA,0.01956,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0181,AA14 AV2,40,80,0.89,NA,0.040709999999999996,NA,NA,0.0362319,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0182,AA14 AV3,0,10,1.48,NA,0.00542,NA,NA,0.0080216,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0183,AA14 CER,10,20,1.22,NA,0.010960000000000001,NA,NA,0.013371200000000001,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0183,AA14 CER,20,40,1.1586500655948033,NA,0.00873,NA,NA,0.010115015072642633,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0184,AA14 RHI,0,10,0.77,NA,0.04897,NA,NA,0.0377069,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0184,AA14 RHI,10,20,0.69,NA,0.04284000000000001,NA,NA,0.029559600000000005,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0184,AA14 RHI,20,40,0.64,NA,0.02883,NA,NA,0.0184512,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Andreetta_et_al_2014,M0184,AA14 RHI,40,80,0.75,NA,0.06383,NA,NA,0.0478725,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Banerjee_et_al_2012,M0190,KB12 Stn. 6,30,40,1.0820530406232025,NA,0.011252,NA,NA,0.012175260813092274,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Banerjee_et_al_2012,M0192,KB12 Stn. 8,0,10,1.1469668842703362,NA,0.00908,NA,NA,0.010414459309174652,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Banerjee_et_al_2012,M0192,KB12 Stn. 8,20,30,1.1889098817357693,NA,0.007872,NA,NA,0.009359098589023977,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Dutta_et_al_2013,M0216,MKD13 MLZ,10,15,0.9035893242144879,NA,0.02059,NA,NA,0.018604904185576306,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Dutta_et_al_2013,M0217,MKD13 LLZ,10,15,0.945322961954445,NA,0.01775,NA,NA,0.016779482574691397,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Chen_et_al_2010,M0230,NFYT10 SKT SW,0,15,0.9290844394215838,NA,0.01879,NA,NA,0.01745749661673156,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Allen_et_al_2007,M0236,DEA07 Brisbane River,0,5,0.6799999999999999,NA,0.023054,NA,NA,0.015676719999999998,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
