study_id,site_id,plot_id,core_id,year,month,day,latitude,longitude,position_method,habitat,salinity_class,salinity_method,vegetation_class
Morrissette_et_al_2023,Hicks Caye,Hicks Caye_1_1,Hicks Caye_1_1_mangrove,2021,9,2,17.691465,-88.11592,handheld,mangrove,brine,measurement,forested
Morrissette_et_al_2023,Hicks Caye,Hicks Caye_1_2,Hicks Caye_1_2_mangrove,2021,9,2,17.691475,-88.116119,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Hicks Caye,Hicks Caye_1_3,Hicks Caye_1_3_mangrove,2021,9,2,17.691509,-88.116355,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Hicks Caye,Hicks Caye_1_4,Hicks Caye_1_4_mangrove,2021,9,2,17.691458,-88.116596,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Hicks Caye,Hicks Caye_1_5,Hicks Caye_1_5_mangrove,2021,9,2,17.691358,-88.116795,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Hicks Caye,Hicks Caye_1_6,Hicks Caye_1_6_mangrove,2021,9,2,17.691317,-88.117022,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_1_1,Drowned Caye_1_1_mangrove,2021,9,3,17.489636,-88.06327,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_1_2,Drowned Caye_1_2_mangrove,2021,9,3,17.489653,-88.063488,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_1_3,Drowned Caye_1_3_mangrove,2021,9,3,17.489699,-88.063664,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_1_4,Drowned Caye_1_4_mangrove,2021,9,3,17.489674,-88.063867,handheld,mangrove,polyhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_1_5,Drowned Caye_1_5_mangrove,2021,9,3,17.489761,-88.06411,handheld,mangrove,polyhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_1_6,Drowned Caye_1_6_mangrove,2021,9,3,17.489805,-88.064345,handheld,mangrove,polyhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_2_1,Drowned Caye_2_1_mangrove,2021,9,3,17.491791,-88.062677,handheld,mangrove,mixoeuhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_2_2,Drowned Caye_2_2_mangrove,2021,9,3,17.491817,-88.062985,handheld,mangrove,NA,NA,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_2_3,Drowned Caye_2_3_mangrove,2021,9,3,17.491855,-88.063197,handheld,mangrove,polyhaline,measurement,forested
Morrissette_et_al_2023,Drowned Caye,Drowned Caye_2_4,Drowned Caye_2_4_mangrove,2021,9,3,17.491839,-88.063451,handheld,mangrove,polyhaline,measurement,forested
