study_id,site_id,habitat,species_code,code_type
Morrissette_et_al_2023,Hicks Caye,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Hicks Caye,mangrove,Avicennia germinans,Genus species
Morrissette_et_al_2023,Drowned Caye,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Shipstern Lagoon,mangrove,Laguncularia racemosa,Genus species
Morrissette_et_al_2023,Shipstern Lagoon,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Shipstern Lagoon,mangrove,Avicennia germinans,Genus species
Morrissette_et_al_2023,New River,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Gra Gra Lagoon,mangrove,Avicennia germinans,Genus species
Morrissette_et_al_2023,Gra Gra Lagoon,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Channel Caye,mangrove,Avicennia germinans,Genus species
Morrissette_et_al_2023,Channel Caye,mangrove,Laguncularia racemosa,Genus species
Morrissette_et_al_2023,Big Creek,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Big Creek,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Big Creek,mangrove,Avicennia germinans,Genus species
Morrissette_et_al_2023,Big Creek,mangrove,Laguncularia racemosa,Genus species
Morrissette_et_al_2023,Payne's Creek,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Frenchman Caye,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Turneffe Atoll,mangrove,Rhizophora mangle,Genus species
Morrissette_et_al_2023,Channel Caye,seagrass,Thalassia testudinum,Genus species
Morrissette_et_al_2023,Channel Caye,seagrass,Syringodium filiforme,Genus species
