study_id,site_id,method_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,0,5,0.3012,0.33970300000000003,0.133897
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,5,10,0.409,0.278195,0.11086700000000001
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,10,15,0.31,0.27216799999999997,0.10565300000000001
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,15,20,0.26,0.385867,0.19475
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,20,25,0.2062,0.457097,0.391774
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,25,30,0.1896,0.529685,0.244161
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,30,35,0.1879,0.561487,0.25795
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,35,40,0.2415,0.623078,0.284127
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,40,45,0.3026,0.67549,0.328478
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,45,50,0.2959,0.6645099999999999,0.32066
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_1_mangrove,72.5,77.5,0.4969,0.138945,0.048798
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,0,5,0.1748,0.583295,0.28386
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,5,10,0.1724,0.6330939999999999,0.30661
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,10,15,0.1717,0.5985240000000001,0.290886
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,15,20,0.1884,0.555094,0.29147
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,20,25,0.2083,0.611269,0.306275
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,25,30,0.178,0.684868,0.33594499999999994
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,30,35,0.1812,0.641396,0.33945099999999995
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,35,40,0.1671,0.630464,0.30151
