study_id,site_id,plot_id,plot_radius,species,alive_or_dead,decay_class,plot_density,height,canopy_width,basal_width,biomass_decay_corrected,plant_aboveground_mass,plant_aboveground_carbon,plant_belowground_mass,plant_organic_matter_total,plant_belowground_carbon,plot_area,diameter_flag,diameter,aboveground_carbon_conversion,belowground_carbon_conversion
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,110,40,NA,NA,2.396735563,0.4068851683,0.8180266921,1.136997114,0.1128346754,28.274333882308138,DBH,2,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,120,30,NA,NA,2.396735563,0.4068851683,0.8180266921,1.136997114,0.1128346754,28.274333882308138,DBH,2,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,140,34,NA,NA,1.456636429,0.2472879226,0.4319201643,0.6679446959,0.05957699424,28.274333882308138,DBH,1.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,115,50,NA,NA,1.456636429,0.2472879226,0.4319201643,0.6679446959,0.05957699424,28.274333882308138,DBH,1.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,120,50,NA,NA,0.722,0.1225713408,0.175582361,0.3174569294,0.02421898808,28.274333882308138,DBH,1,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,90,60,NA,NA,1.456636429,0.2472879226,0.4319201643,0.6679446959,0.05957699424,28.274333882308138,DBH,1.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,3,Rhizophora mangle,alive,NA,353.68,85,50,NA,NA,2.396735563,0.4068851683,0.8180266921,1.136997114,0.1128346754,28.274333882308138,DBH,2,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,dead,2,64.9612,550,NA,20,20.076,23.619,0.6260117,NA,NA,NA,153.93804002589985,DBH,7.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,2,Rhizophora mangle,dead,1,795.7747,NA,NA,65,8.792,9.017,3.358204,NA,NA,NA,12.566370614359172,DBH,4.3,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,500,70,NA,NA,13.80718084,0.4305268973,7.728337065,1.398973086,0.1957963994,153.93804002589985,DBH,5.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,557,90,NA,NA,23.61936647,0.7364843467,15.38568686,2.53381507,0.3897943458,153.93804002589985,DBH,7.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,700,150,NA,NA,29.33332932,0.9146535708,20.31378725,3.225136269,0.5146471184,153.93804002589985,DBH,8.5,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,290,150,NA,NA,16.05155133,0.5005094575,9.375116223,1.651746836,0.237517332,153.93804002589985,DBH,6,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,700,150,NA,NA,20.96051287,0.6535776328,13.20074778,2.219156485,0.3344392025,153.93804002589985,DBH,7,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,600,110,NA,NA,32.38403658,1.009778821,23.06212148,3.601848963,0.5842758035,153.93804002589985,DBH,9,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,650,200,NA,NA,26.4110681,0.823533445,17.75581681,2.869133844,0.4498412751,153.93804002589985,DBH,8,0.48,0.39
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,7,Rhizophora mangle,alive,NA,64.9612,400,50,NA,NA,14.24461358,0.4441666519,8.043745188,1.447878531,0.2037872226,153.93804002589985,DBH,5.6,0.48,0.39
