No ID,Site ID,Plot,Sub-plot,Depth interval (cm),Collected sample depth/depth range (cm),Soil organic matter depth (cm),Bag. No,Wet weight (gr),Dry weight (g),Auger volume (cm3),Bulk density (g/cm3),Carbon content (%),Nitrogen content (%),C/N ratio,Carbon density (mg/cm3),Carbon stocks (Mg/ha),Salinity (ppt),pH,Temperature (Celcius)
1,MAR,Marisma Low,1,0-15,,,,,,,0.84,1.193,0.096,,,15.02,,,
2,MAR,Marisma Low,1,15-30,,,,,,,1.13,0.552,0.043,,,9.38,,,
3,MAR,Marisma Low,1,30-50,,,,,,,0.90,0.693,0.066,,,12.44,,,
4,MAR,Marisma Low,1,50-100,,,,,,,1.04,0.593,0.050,,,30.87,,,
5,MAR,Marisma Low,1,300,,,,,,,1.09,1.053,0.048,,,228.78,,,
6,MAR,Marisma Low,2,0-15,,,,,,,0.74,1.346,0.117,,,14.86,,,
7,MAR,Marisma Low,2,15-30,,,,,,,1.20,0.831,0.064,,,14.99,,,
8,MAR,Marisma Low,2,30-50,,,,,,,1.07,0.856,0.069,,,18.40,,,
9,MAR,Marisma Low,2,50-100,,,,,,,0.91,1.071,0.084,,,48.86,,,
10,MAR,Marisma Low,2,300,,,,,,,0.90,0.830,0.055,,,150.07,,,
11,MAR,Marisma Low,3,0-15,,,,,,,1.06,0.975,0.086,,,15.51,,,
12,MAR,Marisma Low,3,15-30,,,,,,,1.10,0.777,0.070,,,12.82,,,
13,MAR,Marisma Low,3,30-50,,,,,,,0.96,0.809,0.069,,,15.50,,,
14,MAR,Marisma Low,3,50-100,,,,,,,0.88,0.746,0.055,,,32.82,,,
15,MAR,Marisma Low,3,300,,,,,,,0.84,1.980,0.073,,,330.68,,,
16,MAR,Marisma Low,4,0-15,,,,,,,0.66,2.291,0.183,,,22.80,,,
17,MAR,Marisma Low,4,15-30,,,,,,,0.81,1.578,0.143,,,19.17,,,
18,MAR,Marisma Low,4,30-50,,,,,,,0.63,1.501,0.117,,,18.82,,,
19,MAR,Marisma Low,4,50-100,,,,,,,0.76,2.425,0.165,,,91.95,,,
20,MAR,Marisma Low,4,300,,,,,,,0.92,1.480,0.085,,,273.41,,,
21,MAR,Marisma Low,5,0-15,,,,,,,0.91,1.454,0.129,,,19.81,,,
22,MAR,Marisma Low,5,15-30,,,,,,,1.08,0.970,0.088,,,15.64,,,
23,MAR,Marisma Low,5,30-50,,,,,,,1.13,1.000,0.084,,,22.62,,,
24,MAR,Marisma Low,5,50-100,,,,,,,0.95,0.925,0.070,,,43.95,,,
25,MAR,Marisma Low,5,300,,,,,,,1.02,1.155,0.061,,,235.50,,,
26,MAR,Marisma Low,6,0-15,,,,,,,0.93,1.201,0.115,,,16.67,,,
27,MAR,Marisma Low,6,15-30,,,,,,,1.25,0.881,0.084,,,16.57,,,
28,MAR,Marisma Low,6,30-50,,,,,,,1.18,0.661,0.056,,,15.63,,,
29,MAR,Marisma Low,6,50-100,,,,,,,0.90,1.050,0.078,,,47.21,,,
30,MAR,Marisma Low,6,300,,,,,,,0.94,1.621,0.058,,,304.65,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
