No ID,Site ID,Plot,Sub-plot,Depth interval (cm),Collected sample depth/depth range (cm),Soil organic matter depth (cm),Bag. No,Wet weight (gr),Dry weight (g),Auger volume (cm3),Bulk density (g/cm3),Carbon content (%),Nitrogen content (%),C/N ratio,Carbon density (mg/cm3),Carbon stocks (Mg/ha),Salinity (ppt),pH,Temperature (Celcius)
1,MAR,Marisma High,1,0-15,,,,,,,0.92,3.30,0.249,,,45.33,,,
2,MAR,Marisma High,1,15-30,,,,,,,1.32,0.82,0.078,,,16.26,,,
3,MAR,Marisma High,1,30-50,,,,,,,1.43,0.84,0.090,,,23.93,,,
4,MAR,Marisma High,1,50-100,,,,,,,1.36,0.49,0.062,,,32.99,,,
5,MAR,Marisma High,1,300,,,,,,,0.94,0.82,0.062,,,153.64,,,
6,MAR,Marisma High,2,0-15,,,,,,,0.96,3.77,0.296,,,54.09,,,
7,MAR,Marisma High,2,15-30,,,,,,,1.29,1.77,0.192,,,34.12,,,
8,MAR,Marisma High,2,30-50,,,,,,,1.49,0.65,0.074,,,19.37,,,
9,MAR,Marisma High,2,50-100,,,,,,,1.52,0.34,0.042,,,25.80,,,
10,MAR,Marisma High,2,300,,,,,,,1.34,0.36,0.043,,,50.24,,,
11,MAR,Marisma High,3,0-15,,,,,,,0.98,3.59,0.280,,,52.63,,,
12,MAR,Marisma High,3,15-30,,,,,,,1.42,1.63,0.185,,,34.73,,,
13,MAR,Marisma High,3,30-50,,,,,,,1.51,0.56,0.065,,,16.81,,,
14,MAR,Marisma High,3,50-100,,,,,,,1.45,0.24,0.035,,,17.53,,,
15,MAR,Marisma High,3,300,,,,,,,1.26,0.52,0.024,,,131.05,,,
16,MAR,Marisma High,4,0-15,,,,,,,1.01,3.59,0.346,,,54.39,,,
17,MAR,Marisma High,4,15-30,,,,,,,1.36,0.35,0.025,,,7.11,,,
18,MAR,Marisma High,4,30-50,,,,,,,1.60,0.45,0.054,,,14.36,,,
19,MAR,Marisma High,4,50-100,,,,,,,1.61,0.29,0.038,,,23.13,,,
20,MAR,Marisma High,4,300,,,,,,,1.66,0.19,0.027,,,24.85,,,
21,MAR,Marisma High,5,0-15,,,,,,,0.86,4.16,0.436,,,53.94,,,
22,MAR,Marisma High,5,15-30,,,,,,,1.49,0.44,0.047,,,9.76,,,
23,MAR,Marisma High,5,30-50,,,,,,,1.74,0.31,0.042,,,10.85,,,
24,MAR,Marisma High,5,50-100,,,,,,,1.66,0.49,0.057,,,40.54,,,
25,MAR,Marisma High,5,300,,,,,,,1.84,0.15,0.027,,,46.20,,,
26,MAR,Marisma High,6,0-15,,,,,,,0.90,6.47,0.638,,,87.79,,,
27,MAR,Marisma High,6,15-30,,,,,,,1.76,0.55,0.076,,,14.54,,,
28,MAR,Marisma High,6,30-50,,,,,,,1.60,0.40,0.050,,,12.90,,,
29,MAR,Marisma High,6,50-100,,,,,,,1.80,0.17,0.030,,,15.77,,,
30,MAR,Marisma High,6,300,,,,,,,1.54,0.18,0.000,,,55.31,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
