No,Site,Sub-Plot,Site Plot,Latitude_original,lat_deg,lat_min,Latitude,Longitude_original,Long_deg,Long_min,Longitude
1,Barreto,1,Barreto 1,S00 39.335,0,39.335,-0.655583333,W047 23.654,47,23.654,-47.39423333
2,Barreto,2,Barreto 2,S00 39.328,0,39.328,-0.655466667,W047 23.654,47,23.654,-47.39423333
3,Barreto,3,Barreto 3,S00 39.317,0,39.317,-0.655283333,W047 23.658,47,23.658,-47.3943
4,Barreto,4,Barreto 4,S00 39.309,0,39.309,-0.65515,W047 23.652,47,23.652,-47.3942
5,Barreto,6,Barreto 6,S00 39.302,0,39.302,-0.655033333,W047 23.650,47,23.65,-47.39416667
6,Barreto,6,Barreto 6,S00 39.292,0,39.292,-0.654866667,W047 23.648,47,23.648,-47.39413333
7,Boca Grande,1,Boca Grande 1,S00 51.070,0,51.07,-0.851166667,W047 21.068,47,21.068,-47.35113333
8,Boca Grande,2,Boca Grande 2,S00 51.063,0,51.063,-0.85105,W047 21.059,47,21.059,-47.35098333
9,Boca Grande,3,Boca Grande 3,S00 51.057,0,51.057,-0.85095,W047 21.058,47,21.058,-47.35096667
10,Boca Grande,4,Boca Grande 4,S00 51.051,0,51.051,-0.85085,W047 21.052,47,21.052,-47.35086667
11,Boca Grande,5,Boca Grande 5,S00 51.044,0,51.044,-0.850733333,W047 21.045,47,21.045,-47.35075
12,Boca Grande,6,Boca Grande 6,S00 51.036,0,51.036,-0.8506,W047 21.040,47,21.04,-47.35066667
13,Caete,1,Caete 1,S00 59.031,0,59.031,-0.98385,W047 22.044,47,22.044,-47.3674
14,Caete,2,Caete 2,S00 59.019,0,59.019,-0.98365,W047 22.044,47,22.044,-47.3674
15,Caete,3,Caete 3,S00 59.016,0,59.016,-0.9836,W047 22.049,47,22.049,-47.36748333
16,Caete,4,Caete 4,S00 59.012,0,59.012,-0.983533333,W047 22.052,47,22.052,-47.36753333
17,Caete,5,Caete 5,S00 59.003,0,59.003,-0.983383333,W047 22.055,47,22.055,-47.36758333
18,Caete,6,Caete 6,S00 58.995,0,58.995,-0.98325,W047 22.059,47,22.059,-47.36765
19,Furo Do Chato,1,Furo Do Chato 1,S00 52.873,0,52.873,-0.881216667,W048 00.824,48,0.824,-48.01373333
20,Furo Do Chato,2,Furo Do Chato 2,S00 52.882,0,52.882,-0.881366667,W048 00.817,48,0.817,-48.01361667
21,Furo Do Chato,3,Furo Do Chato 3,S00 52.895,0,52.895,-0.881583333,W048 00.813,48,0.813,-48.01355
22,Furo Do Chato,4,Furo Do Chato 4,S00 52.904,0,52.904,-0.881733333,W048 00.800,48,0.8,-48.01333333
23,Furo Do Chato,5,Furo Do Chato 5,S00 52.916,0,52.916,-0.881933333,W048 00.793,48,0.793,-48.01321667
24,Furo Do Chato,6,Furo Do Chato 6,S00 52.926,0,52.926,-0.8821,W048 00.786,48,0.786,-48.0131
25,Furo Grande,1,Furo Grande 1,S00 50.480,0,50.48,-0.841333333,W046 41.565,46,41.565,-46.69275
26,Furo Grande,2,Furo Grande 2,S00 50.517,0,50.517,-0.84195,W046 41.562,46,41.562,-46.6927
27,Mangue Sul,1,Mangue Sul 1,S00 55.082,0,55.082,-0.918033333,W046 41.557,46,41.557,-46.69261667
28,Mangue Sul,2,Mangue Sul 2,S00 55.086,0,55.086,-0.9181,W046 41.555,46,41.555,-46.69258333
29,Mangue Sul,3,Mangue Sul 3,S00 55.097,0,55.097,-0.918283333,W046 41.551,46,41.551,-46.69251667
30,Mangue Sul,4,Mangue Sul 4,S00 55.100,0,55.1,-0.918333333,W046 41.549,46,41.549,-46.69248333
31,Mangue Sul,5,Mangue Sul 5,S00 55.113,0,55.113,-0.91855,W046 43.480,46,43.48,-46.72466667
32,Mangue Sul,6,Mangue Sul 6,S00 55.122,0,55.122,-0.9187,W046 43.467,46,43.467,-46.72445
33,Marisma high,1,Marisma high 1,S00 54.944,0,54.944,-0.915733333,W046 43.460,46,43.46,-46.72433333
34,Marisma high,2,Marisma high 2,S00 54.940,0,54.94,-0.915666667,W046 43.453,46,43.453,-46.72421667
35,Marisma high,3,Marisma high 3,S00 54.936,0,54.936,-0.9156,W046 43.441,46,43.441,-46.72401667
36,Marisma high,4,Marisma high 4,S00 54.932,0,54.932,-0.915533333,W046 43.439,46,43.439,-46.72398333
37,Marisma high,5,Marisma high 5,S00 54.928,0,54.928,-0.915466667,W046 40.759,46,40.759,-46.67931667
38,Marisma high,6,Marisma high 6,S00 54.925,0,54.925,-0.915416667,W046 40.751,46,40.751,-46.67918333
39,Marisma low,1,Marisma low 1,S00 54.812,0,54.812,-0.913533333,W046 40.746,46,40.746,-46.6791
40,Marisma low,2,Marisma low 2,S00 54.821,0,54.821,-0.913683333,W046 40.741,46,40.741,-46.67901667
41,Marisma low,3,Marisma low 3,S00 54.832,0,54.832,-0.913866667,W046 40.737,46,40.737,-46.67895
42,Marisma low,4,Marisma low 4,S00 54.841,0,54.841,-0.914016667,W046 40.731,46,40.731,-46.67885
43,Marisma low,5,Marisma low 5,S00 54.852,0,54.852,-0.9142,W046 40.726,46,40.726,-46.67876667
44,Marisma low,6,Marisma low 6,S00 54.864,0,54.864,-0.9144,W046 40.890,46,40.89,-46.6815
45,Marisma medium,1,Marisma medium 1,S00 54.741,0,54.741,-0.91235,W046 40.901,46,40.901,-46.68168333
46,Marisma medium,2,Marisma medium 2,S00 54.739,0,54.739,-0.912316667,W046 40.910,46,40.91,-46.68183333
47,Marisma medium,3,Marisma medium 3,S00 54.736,0,54.736,-0.912266667,W046 40.920,46,40.92,-46.682
48,Marisma medium,4,Marisma medium 4,S00 54.734,0,54.734,-0.912233333,W046 40.930,46,40.93,-46.68216667
49,Marisma medium,5,Marisma medium 5,S00 54.733,0,54.733,-0.912216667,W046 40.942,46,40.942,-46.68236667
50,Marisma medium,6,Marisma medium 6,S00 54.730,0,54.73,-0.912166667,W046 39.138,46,39.138,-46.6523
51,Maruipe,1,Maruipe 1,S00 39.296,0,39.296,-0.654933333,W046 39.143,46,39.143,-46.65238333
52,Maruipe,2,Maruipe 2,S00 39.309,0,39.309,-0.65515,W046 39.147,46,39.147,-46.65245
53,Maruipe,3,Maruipe 3,S00 39.319,0,39.319,-0.655316667,W046 39.149,46,39.149,-46.65248333
54,Maruipe,4,Maruipe 4,S00 39.333,0,39.333,-0.65555,W046 39.150,46,39.15,-46.6525
55,Maruipe,5,Maruipe 5,S00 39.341,0,39.341,-0.655683333,W046 39.154,46,39.154,-46.65256667
56,Maruipe,6,Maruipe 6,S00 39.352,0,39.352,-0.655866667,W046 40.998,46,40.998,-46.6833
57,Sa˜o Caetano,1,Sa˜o Caetano 1,S00 44.949,0,44.949,-0.74915,W046 40.988,46,40.988,-46.68313333
58,Sa˜o Caetano,2,Sa˜o Caetano 2,S00 44.960,0,44.96,-0.749333333,W046 40.977,46,40.977,-46.68295
59,Sa˜o Caetano,3,Sa˜o Caetano 3,S00 44.969,0,44.969,-0.749483333,W046 40.967,46,40.967,-46.68278333
60,Sa˜o Caetano,4,Sa˜o Caetano 4,S00 44.974,0,44.974,-0.749566667,W046 40.956,46,40.956,-46.6826
61,Sa˜o Caetano,5,Sa˜o Caetano 5,S00 44.984,0,44.984,-0.749733333,W046 40.945,46,40.945,-46.68241667
62,Sa˜o Caetano,6,Sa˜o Caetano 6,S00 44.989,0,44.989,-0.749816667,W046 38.316,46,38.316,-46.6386
