No ID,Site ID,Plot,Sub-plot,Depth interval (cm),Collected sample depth/depth range (cm),Soil organic matter depth (cm),Bag. No,Wet weight (gr),Dry weight (g),Auger volume (cm3),Bulk density (g/cm3),Carbon content (%),Nitrogen content (%),C/N ratio,Carbon density (mg/cm3),Carbon stocks (Mg/ha),Salinity (ppt),pH,Temperature (Celcius)
1,MAR,Marisma Medium,1,0-15,,,,,,,0.98,2.52,0.174,,,36.84,,,
2,MAR,Marisma Medium,1,15-30,,,,,,,1.25,1.47,0.115,,,27.63,,,
3,MAR,Marisma Medium,1,30-50,,,,,,,1.27,0.79,0.067,,,20.03,,,
4,MAR,Marisma Medium,1,50-100,,,,,,,1.12,0.56,0.046,,,31.50,,,
5,MAR,Marisma Medium,1,300,,,,,,,0.88,0.92,0.058,,,162.87,,,
6,MAR,Marisma Medium,2,0-15,,,,,,,1.20,2.02,0.134,,,36.38,,,
7,MAR,Marisma Medium,2,15-30,,,,,,,1.33,0.89,0.064,,,17.88,,,
8,MAR,Marisma Medium,2,30-50,,,,,,,1.27,0.46,0.048,,,11.72,,,
9,MAR,Marisma Medium,2,50-100,,,,,,,1.08,0.46,0.048,,,24.87,,,
10,MAR,Marisma Medium,2,300,,,,,,,0.94,0.66,0.051,,,123.48,,,
11,MAR,Marisma Medium,3,0-15,,,,,,,1.05,2.26,0.154,,,35.71,,,
12,MAR,Marisma Medium,3,15-30,,,,,,,1.27,1.47,0.098,,,28.06,,,
13,MAR,Marisma Medium,3,30-50,,,,,,,1.34,0.86,0.066,,,23.04,,,
14,MAR,Marisma Medium,3,50-100,,,,,,,1.37,0.51,0.046,,,34.99,,,
15,MAR,Marisma Medium,3,300,,,,,,,1.19,0.43,0.035,,,102.40,,,
16,MAR,Marisma Medium,4,0-15,,,,,,,1.29,1.09,0.078,,,21.17,,,
17,MAR,Marisma Medium,4,15-30,,,,,,,1.33,0.75,0.058,,,14.94,,,
18,MAR,Marisma Medium,4,30-50,,,,,,,1.18,0.45,0.047,,,10.60,,,
19,MAR,Marisma Medium,4,50-100,,,,,,,1.00,0.52,0.054,,,26.10,,,
20,MAR,Marisma Medium,4,300,,,,,,,0.91,0.51,0.048,,,93.37,,,
21,MAR,Marisma Medium,5,0-15,,,,,,,1.09,1.64,0.115,,,26.73,,,
22,MAR,Marisma Medium,5,15-30,,,,,,,1.13,1.09,0.085,,,18.49,,,
23,MAR,Marisma Medium,5,30-50,,,,,,,1.10,0.53,0.048,,,11.65,,,
24,MAR,Marisma Medium,5,50-100,,,,,,,1.05,0.73,0.048,,,38.27,,,
