study_id,site_id,core_id,species_code
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Oligohaline_Marsh,Typha latifolia
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Oligohaline_Marsh,Spartina cynosuroides
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Oligohaline_Marsh,Scirpus robustus
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Oligohaline_Marsh,Schoenoplectus montevidensis
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Heavily_Salt_Impacted_Swamp,Taxodium distichum
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Heavily_Salt_Impacted_Swamp,Nyssa biflora
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Heavily_Salt_Impacted_Swamp,Nyssa aquatica
Jones_et_al_2017,Waccamaw_River_Butler_Island,Moderately_Salt_Impacted,Taxodium distichum
Jones_et_al_2017,Waccamaw_River_Butler_Island,Moderately_Salt_Impacted,Nyssa biflora
Jones_et_al_2017,Waccamaw_River_Butler_Island,Moderately_Salt_Impacted,Nyssa aquatica
