study_id,site_id,plot_id,depth_min,depth_max,dry_bulk_density,percent_carbon,percent_nitrogen,carbon_stock,nitrogen_stock
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,0,15,1.00153846153846,2.38,0.24,35.7549230769231,3.60553846153846
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,15,30,1.45230769230769,1.41,0.15,30.7163076923077,3.26769230769231
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,30,50,0.858461538461538,2.23,0.22,38.2873846153846,3.77723076923077
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_1,50,100,1.11153846153846,1.07,0.12,59.4673076923077,6.66923076923077
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,0,15,0.842307692307692,2.43,0.22,30.7021153846154,2.77961538461538
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,15,30,0.867692307692308,1.99,0.19,25.9006153846154,2.47292307692308
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,30,50,1.04461538461538,1.41,0.15,29.4581538461538,3.13384615384615
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_2,50,100,1.23384615384615,1,0.12,61.6923076923077,7.40307692307692
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,0,15,0.753076923076923,2.48,0.25,28.0144615384615,2.82403846153846
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,15,30,1.15692307692308,1.72,0.15,29.8486153846154,2.60307692307692
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,30,50,0.903846153846154,1.34,0.15,24.2230769230769,2.71153846153846
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_3,50,100,0.903076923076923,0.98,0.1,44.2507692307692,4.51538461538462
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,0,15,0.9,2.13,0.22,28.755,2.97
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,15,30,0.946153846153846,0.81,0.07,11.4957692307692,0.993461538461539
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,30,50,0.804615384615385,1.3,0.18,20.92,2.89661538461538
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_4,50,100,1.26076923076923,1.18,0.16,74.3853846153846,10.0861538461538
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,0,15,0.781538461538462,2.37,0.23,27.7836923076923,2.69630769230769
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,15,30,0.952307692307692,1.55,0.16,22.1411538461538,2.28553846153846
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,30,50,1.11538461538462,1.07,0.16,23.8692307692308,3.56923076923077
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_5,50,100,1.15307692307692,0.88,0.09,50.7353846153846,5.18884615384615
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,0,15,0.891538461538462,1.93,0.17,25.8100384615385,2.27342307692308
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,15,30,0.886153846153846,0.98,0.1,13.0264615384615,1.32923076923077
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,30,50,0.860769230769231,0.81,0.09,13.9444615384615,1.54938461538462
Cifuentes_et_al_2024_ElSalvador,El_encanto,El_encanto_1_6,50,100,1.06384615384615,0.77,0.12,40.9580769230769,6.38307692307692
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,0,15,0.793846153846154,2.24,0.17,26.6732307692308,2.02430769230769
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,15,30,1.15846153846154,1.22,0.15,21.1998461538462,2.60653846153846
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,30,50,0.704615384615385,0.66,0.11,9.30092307692308,1.55015384615385
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_1,50,100,0.939230769230769,0.59,0.08,27.7073076923077,3.75692307692308
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,0,15,0.69,1.23,0.12,12.7305,1.242
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,15,30,0.632307692307692,1.64,0.15,15.5547692307692,1.42269230769231
Cifuentes_et_al_2024_ElSalvador,Colonia_Melara,Colonia_Melara_2_2,30,50,1.11846153846154,0.84,0.09,18.7901538461538,2.01323076923077
