study_id,site_id,plot_id,latitude,longitude,field_or_manipulation_code,land_use_class,land_use_status,habitat
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,13.227360376425882,-88.60436965931343,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,13.227360376425882,-88.60436965931343,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_4,13.227360376425882,-88.60436965931343,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_3,13.227360376425882,-88.60436965931343,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_2,13.227360376425882,-88.60436965931343,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_1,13.227360376425882,-88.60436965931343,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_6,13.18718236595375,-88.32957619089184,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_5,13.18718236595375,-88.32957619089184,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_4,13.18718236595375,-88.32957619089184,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_3,13.18718236595375,-88.32957619089184,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_2,13.18718236595375,-88.32957619089184,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_1,13.18718236595375,-88.32957619089184,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,13.199313945612474,-88.33673736866605,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,13.199313945612474,-88.33673736866605,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,13.199313945612474,-88.33673736866605,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_3,13.199313945612474,-88.33673736866605,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_2,13.199313945612474,-88.33673736866605,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,13.199313945612474,-88.33673736866605,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_6,13.202544595221848,-88.32814867984379,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_5,13.202544595221848,-88.32814867984379,field,low disturbance,NA,mangrove
