study_id,site_id,plot_id,transect,subtransect_id,debris_transect_length,debris_diameter,debris_class,habitat
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,12.31,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,18.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,15.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,10.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,25.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,24.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,8.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,5,7.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,8.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,a,12,15.3,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,b,5,7.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,b,12,16.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,b,12,10.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,b,12,18.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,b,12,11.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,12,13.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,5,7.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,12,9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,12,12.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,12,13.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,12,29.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,c,12,9.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,d,12,19.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,d,12,23.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,d,12,15.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_1,7,d,12,10.4,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,a,12,23.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,a,12,18.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,a,12,8.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,a,12,11.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,a,12,26.7,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,b,5,5,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,b,12,8.4,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,b,5,2.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,b,12,7.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,b,12,15.3,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,b,12,17.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,15.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,13,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,20.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,21.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,5,4.9,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,5,6.8,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,16.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,8.4,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,11.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,c,12,12.3,rotten,mangrove
