"","study_id","core_id","species_code","site_id"
"1","Weis_et_al_2001","Tijuana_Estuary_East_low","Spartina foliosa",NA
"2","Weis_et_al_2001","Tijuana_Estuary_East_low","Salicornia virginica",NA
"3","Weis_et_al_2001","Tijuana_Estuary_East_mid_1","Jaumea carnosa",NA
"4","Weis_et_al_2001","Tijuana_Estuary_East_mid_1","Batis maritima",NA
"5","Weis_et_al_2001","Tijuana_Estuary_East_mid_1","Salicornia virginica",NA
"6","Weis_et_al_2001","Tijuana_Estuary_East_mid_2","Salicornia virginica",NA
"7","Weis_et_al_2001","Tijuana_Estuary_East_mid_2","Batis maritima",NA
"8","Weis_et_al_2001","Tijuana_Estuary_East_mid_2","Frankenia salina",NA
"9","Weis_et_al_2001","Tijuana_Estuary_West_low","Jaumea carnosa",NA
"10","Weis_et_al_2001","Tijuana_Estuary_West_low","Salicornia virginica",NA
"11","Weis_et_al_2001","Tijuana_Estuary_West_mid_1","Salicornia virginica",NA
"12","Weis_et_al_2001","Tijuana_Estuary_West_mid_1","Spartina foliosa",NA
"13","Weis_et_al_2001","Tijuana_Estuary_West_mid_2","Salicornia virginica",NA
"14","Weis_et_al_2001","Tijuana_Estuary_West_mid_2","Batis maritima",NA
"15","Weis_et_al_2001","Tijuana_Estuary_West_mid_2","Jaumea carnosa",NA
