"","study_id","site_id","core_id","core_latitude","core_longitude","core_position_notes","core_elevation","salinity_class","vegetation_class","inundation_class","core_length_flag","core_date","core_notes","core_elevation_datum","core_position_accuracy","vegetation_notes","core_position_method","core_elevation_method"
"1","Weis_et_al_2001","Tijuana_Estuary","Tijuana_Estuary_East_low",32.567032,-117.130867,"c1",NA,"saline","emergent","Low","core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"2","Weis_et_al_2001","Tijuana_Estuary","Tijuana_Estuary_East_mid_1",32.566902,-117.130284,"c1",NA,"saline","emergent","Mid","core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"3","Weis_et_al_2001","Tijuana_Estuary","Tijuana_Estuary_East_mid_2",32.566728,-117.129669,"c1",NA,"saline","emergent","Mid","core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"4","Weis_et_al_2001","Tijuana_Estuary","Tijuana_Estuary_West_low",32.571838,-117.129704,"c1",NA,"saline","emergent","Low","core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"5","Weis_et_al_2001","Tijuana_Estuary","Tijuana_Estuary_West_mid_1",32.572039,-117.130432,"c1",NA,"saline","emergent","Mid","core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"6","Weis_et_al_2001","Tijuana_Estuary","Tijuana_Estuary_West_mid_2",32.572335,-117.131078,"c1",NA,"saline","emergent","Mid","core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
