study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_1,single set of methods,0,15,0.430062630480167,0.0262
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_1,single set of methods,15,30,0.465727209464161,0.024900000000000002
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_1,single set of methods,30,50,0.362560890744607,0.026000000000000002
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_1,single set of methods,50,100,0.417536534446764,0.024399999999999998
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_1,single set of methods,100,200,0.553757828810021,0.0223
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_2,single set of methods,0,15,0.698503827418232,0.0265
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_2,single set of methods,15,30,0.583159359777314,0.0265
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_2,single set of methods,30,50,0.653096729297147,0.0242
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_2,single set of methods,50,100,0.57446068197634,0.0207
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_2,single set of methods,100,200,0.643006263048017,0.0218
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_3,single set of methods,0,15,0.712073764787752,0.0268
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_3,single set of methods,15,30,0.787926235212248,0.0253
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_3,single set of methods,30,50,0.708246346555324,0.0194
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_3,single set of methods,50,100,0.565066109951287,0.0258
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_3,single set of methods,100,200,0.507828810020877,0.027999999999999997
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_4,single set of methods,0,15,0.667710508002784,0.030299999999999997
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_4,single set of methods,15,30,0.46624913013222,0.024700000000000003
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_4,single set of methods,30,50,0.612908837856646,0.024
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_4,single set of methods,50,100,0.689457202505219,0.0236
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_4,single set of methods,100,200,0.458768267223382,0.023700000000000002
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_5,single set of methods,0,15,0.49669450243563,0.0333
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_5,single set of methods,15,30,0.603514265831594,0.0319
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_5,single set of methods,30,50,0.373173277661795,0.0362
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_5,single set of methods,50,100,0.468162839248434,0.0434
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_5,single set of methods,100,200,0.447286012526096,0.0492
Cifuentes_et_al_2024_Nicoya,Bebedero,Bebedero_Manglar_4_6,single set of methods,0,15,0.606123869171886,0.0253
