"study_id","site_id","plot_id","year","latitude","longitude","position_method","habitat","land_use_class","land_use_status","plot_basal_density","plot_plant_carbon"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1",2012,10.25298477595526,-85.24869036819523,"handheld","mangrove","natural",NA,4.3258673476666,53.5348835147401
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2",2012,10.25315845728881,-85.24854438327802,"handheld","mangrove","natural",NA,46.6903571507127,203.0561319267126
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3",2012,10.25333213857375,-85.24839839820515,"handheld","mangrove","natural",NA,27.2395918413177,114.41595760952191
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4",2012,10.253505819810066,-85.24825241297667,"handheld","mangrove","natural",NA,1.30612244919935,66.899208323937
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5",2012,10.253679500997768,-85.24810642759255,"handheld","mangrove","natural",NA,39.2943877617133,215.145964883943
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6",2012,10.253853182136838,-85.24796044205277,"handheld","mangrove","natural",NA,8.87984694026953,73.1905094538377
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_1",2012,10.177661732303662,-85.14309627750517,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_2",2012,10.177661732303662,-85.14309627750517,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_3",2012,10.177661732303662,-85.14309627750517,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_1",2012,10.172186453095785,-85.15767652623805,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_2",2012,10.172186453095785,-85.15767652623805,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_3",2012,10.172186453095785,-85.15767652623805,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_1",2012,10.178700705461656,-85.15869463068648,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_2",2012,10.178700705461656,-85.15869463068648,"handheld","mangrove","shrimp pond","active",0,0
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_3",2012,10.178700705461656,-85.15869463068648,"handheld","mangrove","shrimp pond","active",0,0
