"study_id","site_id","plot_id","species","alive_or_dead","plot_radius","decay_class","diameter","diameter_flag","diameter_crown","height","basal_area","basal_density","plant_notes"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,8.2,"DBH",NA,NA,0.00528101725068444,0.343061224547515,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,6.7,"DBH",NA,8,0.00352565235549115,0.229030612283432,"cut for firewood"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,8.5,"DBH",NA,8,0.00567450173054657,0.368622449041612,"cut for firewood"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,6,"DBH",NA,NA,0.00282743338823081,0.183673469418658,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,7.4,"DBH",NA,NA,0.00430084034276443,0.279387755149048,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","dead",7,3,11,"DBH",NA,3,0.00950331777710912,0.617346938879378,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,8.6,"DBH",NA,NA,0.00580880481648753,0.377346938838998,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,8,"DBH",NA,NA,0.00502654824574367,0.326530612299836,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,5.6,"DBH",NA,NA,0.0024630086404144,0.16000000002692,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,8.3,"DBH",NA,NA,0.00541060794764502,0.351479591895871,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,7.4,"DBH",NA,NA,0.00430084034276443,0.279387755149048,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",7,NA,12.6,"DBH",NA,20,0.0124689812420979,0.810000000136281,"cut for firewood"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,4.9,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,0.9,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,1.3,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,0.3,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,0.6,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,0.4,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,0.5,"DBH",NA,NA,NA,NA,NA
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","Rhizophora mangle","alive",2,NA,0.5,"DBH",NA,NA,NA,NA,NA
