"study_id","site_id","core_id","species_code","code_type"
"Kumar_et_al_2020","Guadiana Estuary","BT T1","Sarcocornia","Genus"
"Kumar_et_al_2020","Guadiana Estuary","BT T2","Spartina","Genus"
"Kumar_et_al_2020","Guadiana Estuary","CMT T1","Sarcocornia","Genus"
"Kumar_et_al_2020","Guadiana Estuary","CMT T2","Spartina","Genus"
"Kumar_et_al_2020","Guadiana Estuary","PMT T1","Sarcocornia","Genus"
"Kumar_et_al_2020","Guadiana Estuary","PMT T2","Spartina","Genus"
"Raw_et_al_2020","Knysna Estuary","Knysna_1_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_1_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_1_3","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_2_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_2_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_2_3","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_3_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_3_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_3_3","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_4_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_4_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_4_3","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_5_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_5_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_5_3","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_6_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_6_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_6_3","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_7_1","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_7_2","Spartina maritima","Genus species"
"Raw_et_al_2020","Knysna Estuary","Knysna_7_3","Spartina maritima","Genus species"
